Afirik	Africa
Modèle:User eo-3	Template:Utente eo-3
Modèle:User de	Template:Utente de
Modèle:User de-1	Template:Utente de-1
Modèle:User eu	Template:Utente eu
Modèle:User et-1	Template:Utente et-1
Modèle:User es	Template:Utente es
Modèle:User de-3	Template:Utente de-3
Modèle:User en-3	Template:Utente en-3
Modèle:User en-1	Template:Utente en-1
Modèle:User en-2	Template:Utente en-2
Modèle:User eo-2	Template:Utente eo-2
Modèle:User en-4	Template:Utente en-4
Modèle:User fi	Template:Utente fi
Modèle:User en-0	Template:Utente en-0
Modèle:User es-4	Template:Utente es-4
Modèle:User en	Template:Utente en
Modèle:User de-2	Template:Utente de-2
Modèle:User es-1	Template:Utente es-1
Modèle:User fr-1	Template:Utente fr-1
Modèle:User ia-2	Template:Utente ia-2
Modèle:User he-1	Template:Utente he-1
Modèle:User io-3	Template:Utente io-3
Modèle:User it-3	Template:Utente it-3
Modèle:User ja-4	Template:Utente ja-4
Modèle:User sk	Template:Utente sk
Modèle:User tr-2	Template:Utente tr-2
Modèle:User fr-2	Template:Utente fr-2
Modèle:User tr	Template:Utente tr
Modèle:User ja	Template:Utente ja
Modèle:User ja-1	Template:Utente ja-1
Modèle:User it-1	Template:Utente it-1
Modèle:User hr-1	Template:Utente hr-1
Modèle:User fr	Template:Utente fr
Modèle:User he	Template:Utente he
Catégorie:Aasiya	Categoria:Asia
Catégorie:User uk	Categoria:Utenti uk
Modèle:Mod	Template:Mod
Modèle:User sv	Template:Utente sv
Modèle:User it	Template:Utente it
Modèle:User es-2	Template:Utente es-2
Catégorie:User fr-1	Categoria:Utenti fr-1
Catégorie:User en-4	Categoria:Utenti en-4
Catégorie:User en	Categoria:Utenti en
Catégorie:User zh	Categoria:Utenti zh
Catégorie:User zh-N	Categoria:Utenti zh-M
Catégorie:User en-2	Categoria:Utenti en-2
Modèle:User eo	Template:Utente eo
Modèle:User zh	Template:Utente zh
Modèle:User ru-4	Template:Utente ru-4
Modèle:User nl-1	Template:Utente nl-1
Modèle:User nl-2	Template:Utente nl-2
Modèle:User ru	Template:Utente ru
Catégorie:Aameerik	Categoria:America
Modèle:User eo-4	Template:Utente eo-4
Modèle:User pt-1	Template:Utente pt-1
Modèle:User pl	Template:Utente pl
Modèle:User nl	Template:Utente nl
Modèle:User no-2	Template:Utente no-2
Modèle:User fr-3	Template:Utente fr-3
Modèle:User lt	Template:Utente lt
Modèle:Oppose	Template:Contrario
Modèle:User ar-2	Template:Utente ar-2
Modèle:User ar-3	Template:Utente ar-3
Modèle:User ar	Template:Utente ar
Modèle:User fr-0	Template:Utente fr-0
Catégorie:User ja-N	Categoria:Utenti ja-M
Modèle:User als	Template:Utente als
Modèle:User no	Template:Utente no
Modèle:User pt-0	Template:Utente pt-0
Modèle:User pt-2	Template:Utente pt-2
Modèle:User fr-4	Template:Utente fr-4
Modèle:User eo-0	Template:Utente eo-0
Catégorie:User az	Categoria:Utenti az
Catégorie:User be	Categoria:Utenti be
Catégorie:User hr	Categoria:Utenti hr
Catégorie:User sk	Categoria:Utenti sk
Catégorie:User eo	Categoria:Utenti eo
Catégorie:User fr	Categoria:Utenti fr
Catégorie:User ja	Categoria:Utenti ja
Catégorie:User lt	Categoria:Utenti lt
Catégorie:User mk	Categoria:Utenti mk
Catégorie:User pt	Categoria:Utenti pt
Catégorie:User sv	Categoria:Utenti sv
Catégorie:User it-3	Categoria:Utenti it-3
Catégorie:User ar-3	Categoria:Utenti ar-3
Catégorie:User cs-1	Categoria:Utenti cs-1
Catégorie:User da-1	Categoria:Utenti da-1
Catégorie:User mk-1	Categoria:Utenti mk-1
Catégorie:User nl-1	Categoria:Utenti nl-1
Catégorie:User be-2	Categoria:Utenti be-2
Catégorie:User da-2	Categoria:Utenti da-2
Catégorie:User fr-2	Categoria:Utenti fr-2
Catégorie:User nl-2	Categoria:Utenti nl-2
Catégorie:User tr-2	Categoria:Utenti tr-2
Catégorie:User ar-2	Categoria:Utenti ar-2
Catégorie:User fr-N	Categoria:Utenti fr-M
Catégorie:User lt-N	Categoria:Utenti lt-M
Catégorie:User no-N	Categoria:Utenti no-M
Catégorie:User ru-N	Categoria:Utenti ru-M
Catégorie:User af	Categoria:Utenti af
Catégorie:User af-1	Categoria:Utenti af-1
Catégorie:User als	Categoria:Utenti als
Catégorie:User als-1	Categoria:Utenti als-1
Catégorie:User ar	Categoria:Utenti ar
Catégorie:User ast	Categoria:Utenti ast
Catégorie:User ast-1	Categoria:Utenti ast-1
Catégorie:User az-N	Categoria:Utenti az-M
Catégorie:User bar	Categoria:Utenti bar
Catégorie:User bg	Categoria:Utenti bg
Catégorie:User bg-1	Categoria:Utenti bg-1
Catégorie:User ca	Categoria:Utenti ca
Catégorie:User ca-1	Categoria:Utenti ca-1
Catégorie:User cs	Categoria:Utenti cs
Catégorie:User da	Categoria:Utenti da
Catégorie:User sk-N	Categoria:Utenti sk-M
Catégorie:User de	Categoria:Utenti de
Catégorie:User de-2	Categoria:Utenti de-2
Catégorie:User de-3	Categoria:Utenti de-3
Catégorie:User de-N	Categoria:Utenti de-M
Catégorie:User en-3	Categoria:Utenti en-3
Catégorie:User en-N	Categoria:Utenti en-M
Catégorie:User eo-1	Categoria:Utenti eo-1
Catégorie:User eo-3	Categoria:Utenti eo-3
Catégorie:User eo-N	Categoria:Utenti eo-M
Catégorie:User es	Categoria:Utenti es
Catégorie:User es-1	Categoria:Utenti es-1
Catégorie:User es-2	Categoria:Utenti es-2
Catégorie:User es-4	Categoria:Utenti es-4
Catégorie:User es-N	Categoria:Utenti es-M
Catégorie:User hr-1	Categoria:Utenti hr-1
Catégorie:User pl-N	Categoria:Utenti pl-M
Catégorie:User it	Categoria:Utenti it
Catégorie:User it-1	Categoria:Utenti it-1
Catégorie:User ja-1	Categoria:Utenti ja-1
Catégorie:Wikipedia articles needing translation	Categoria:Tradurre
Catégorie:User ru-1	Categoria:Utenti ru-1
Modèle:User sv-1	Template:Utente sv-1
Catégorie:Njuɓɓudi naangeyankoori	Categoria:Sistema solare
Modèle:User cs	Template:Utente cs
Modèle:User ru-2	Template:Utente ru-2
Modèle:User ko-3	Template:Utente ko-3
Catégorie:User pt-0	Categoria:Utenti pt-0
Catégorie:User pt-N	Categoria:Utenti pt-M
Catégorie:User ru	Categoria:Utenti ru
Catégorie:User ru-2	Categoria:Utenti ru-2
Catégorie:User ru-4	Categoria:Utenti ru-4
Catégorie:User sr	Categoria:Utenti sr
Catégorie:User sr-1	Categoria:Utenti sr-1
Catégorie:User sv-1	Categoria:Utenti sv-1
Catégorie:User sv-3	Categoria:Utenti sv-3
Catégorie:User tr	Categoria:Utenti tr
Catégorie:User tr-N	Categoria:Utenti tr-M
Catégorie:User uk-4	Categoria:Utenti uk-4
Catégorie:User vi	Categoria:Utenti vi
Catégorie:User vi-N	Categoria:Utenti vi-M
Modèle:User sv-3	Template:Utente sv-3
Catégorie:Gine	Categoria:Guinea
Catégorie:Maali	Categoria:Mali
Catégorie:Muritani	Categoria:Mauritania
Modèle:User ar-0	Template:Utente ar-0
Modèle:User ko	Template:Utente ko
Modèle:User mk-1	Template:Utente mk-1
Modèle:User no-1	Template:Utente no-1
Modèle:User pt	Template:Utente pt
Modèle:User ru-1	Template:Utente ru-1
Modèle:User sr-1	Template:Utente sr-1
Modèle:User uk-4	Template:Utente uk-4
Modèle:User zh-1	Template:Utente zh-1
Modèle:User zh-2	Template:Utente zh-2
Modèle:User zh-3	Template:Utente zh-3
Catégorie:Senegal	Categoria:Senegal
Catégorie:User nl	Categoria:Utenti nl
Catégorie:User no-1	Categoria:Utenti no-1
Catégorie:User no-2	Categoria:Utenti no-2
Catégorie:User no	Categoria:Utenti no
Catégorie:User zh-1	Categoria:Utenti zh-1
Catégorie:User zh-2	Categoria:Utenti zh-2
Catégorie:East Timor	Categoria:Timor Est
Catégorie:Dabbaji	Categoria:Animali
Catégorie:Alqur'aana	Categoria:Corano
Catégorie:User pl	Categoria:Utenti pl
Trojany	Trojany
Modèle:User vi	Template:Utente vi
Catégorie:User en-1	Categoria:Utenti en-1
Catégorie:User de-1	Categoria:Utenti de-1
Catégorie:User da-N	Categoria:Utenti da-M
Modèle:User ru-3	Template:Utente ru-3
Modèle:User li	Template:Utente li
Spécial:Modifications récentes	Speciale:UltimeModifiche
Catégorie:User ja-4	Categoria:Utenti ja-4
