Afrika	Africa
Decemberi 8	8 dicembre
Decemberi 10	10 dicembre
Decemberi 6	6 dicembre
Decemberi 9	9 dicembre
Decemberi 4	4 dicembre
Februaari 1	1º febbraio
Februaari 2	2 febbraio
Februaari 3	3 febbraio
Kurów (Puławy eqqaaniittoq)	Kurów
Februaari 4	4 febbraio
Februaari 5	5 febbraio
Februaari 6	6 febbraio
Februaari 7	7 febbraio
Februaari 8	8 febbraio
Februaari 9	9 febbraio
Februaari 10	10 febbraio
Februaari 14	14 febbraio
Februaari 13	13 febbraio
Februaari 15	15 febbraio
Februaari 11	11 febbraio
Februaari 12	12 febbraio
Februaari 19	19 febbraio
Februaari 17	17 febbraio
Februaari 16	16 febbraio
Februaari 18	18 febbraio
Februaari 20	20 febbraio
Februaari 21	21 febbraio
Februaari 22	22 febbraio
Februaari 23	23 febbraio
Februaari 24	24 febbraio
Februaari 25	25 febbraio
Februaari 26	26 febbraio
Februaari 27	27 febbraio
Februaari 28	28 febbraio
Decemberi 11	11 dicembre
Februaari 29	29 febbraio
Decemberi 12	12 dicembre
Decemberi 13	13 dicembre
Decemberi 14	14 dicembre
Decemberi 15	15 dicembre
Martsi 2	2 marzo
Martsi 3	3 marzo
Martsi 5	5 marzo
Martsi 1	1º marzo
Martsi 7	7 marzo
Martsi 8	8 marzo
Martsi 4	4 marzo
Martsi 10	10 marzo
Martsi 11	11 marzo
Martsi 6	6 marzo
Martsi 13	13 marzo
Martsi 9	9 marzo
Martsi 12	12 marzo
Martsi 15	15 marzo
Martsi 14	14 marzo
Decemberi 16	16 dicembre
Decemberi 17	17 dicembre
Kristiansand	Kristiansand
Martsi 16	16 marzo
Martsi 17	17 marzo
Martsi 18	18 marzo
Martsi 19	19 marzo
Martsi 20	20 marzo
Martsi 21	21 marzo
Martsi 22	22 marzo
Decemberi 18	18 dicembre
Martsi 23	23 marzo
Decemberi 19	19 dicembre
Martsi 24	24 marzo
Martsi 25	25 marzo
Decemberi 20	20 dicembre
Martsi 26	26 marzo
Martsi 27	27 marzo
Martsi 28	28 marzo
Martsi 29	29 marzo
Martsi 30	30 marzo
Martsi 31	31 marzo
Sana'a	Sana’a
Apriili 15	15 aprile
Apriili 13	13 aprile
Apriili 12	12 aprile
Apriili 14	14 aprile
Apriili 11	11 aprile
Apriili 10	10 aprile
Apriili 8	8 aprile
Apriili 9	9 aprile
Apriili 7	7 aprile
Apriili 6	6 aprile
Apriili 5	5 aprile
Apriili 4	4 aprile
Apriili 3	3 aprile
Apriili 1	1º aprile
Apriili 2	2 aprile
Apriili 16	16 aprile
Apriili 17	17 aprile
Apriili 18	18 aprile
Apriili 19	19 aprile
Apriili 20	20 aprile
Apriili 21	21 aprile
Apriili 22	22 aprile
Apriili 23	23 aprile
Apriili 24	24 aprile
Apriili 25	25 aprile
Apriili 26	26 aprile
Apriili 27	27 aprile
Apriili 28	28 aprile
Apriili 29	29 aprile
Apriili 30	30 aprile
Maaji 1	1º maggio
Maaji 2	2 maggio
Maaji 3	3 maggio
Maaji 4	4 maggio
Maaji 5	5 maggio
Maaji 6	6 maggio
Maaji 7	7 maggio
Maaji 8	8 maggio
Maaji 9	9 maggio
Maaji 10	10 maggio
Maaji 11	11 maggio
Maaji 12	12 maggio
Maaji 13	13 maggio
Maaji 14	14 maggio
Maaji 15	15 maggio
Maaji 16	16 maggio
Maaji 17	17 maggio
Maaji 18	18 maggio
Maaji 19	19 maggio
Maaji 20	20 maggio
Maaji 21	21 maggio
Maaji 22	22 maggio
Maaji 23	23 maggio
Maaji 24	24 maggio
Maaji 25	25 maggio
Maaji 26	26 maggio
Maaji 27	27 maggio
Maaji 28	28 maggio
Maaji 29	29 maggio
Maaji 30	30 maggio
Maaji 31	31 maggio
Decemberi 21	21 dicembre
Juuni 14	14 giugno
Juuni 15	15 giugno
Juuni 13	13 giugno
Juuni 10	10 giugno
Juuni 7	7 giugno
Juuni 11	11 giugno
Juuni 9	9 giugno
Juuni 12	12 giugno
Juuni 6	6 giugno
Juuni 8	8 giugno
Juuni 5	5 giugno
Juuni 3	3 giugno
Juuni 2	2 giugno
Juuni 1	1º giugno
Juuni 4	4 giugno
Decemberi 22	22 dicembre
Juuni 16	16 giugno
Juuni 30	30 giugno
Juuni 29	29 giugno
Juuni 28	28 giugno
Juuni 26	26 giugno
Juuni 25	25 giugno
Juuni 22	22 giugno
Juuni 27	27 giugno
Juuni 24	24 giugno
Juuni 20	20 giugno
Juuni 23	23 giugno
Juuni 19	19 giugno
Juuni 18	18 giugno
Juuni 21	21 giugno
Juuni 17	17 giugno
Decemberi 23	23 dicembre
Arnold Schwarzenegger	Arnold Schwarzenegger
Juuli 15	15 luglio
Juuli 13	13 luglio
Juuli 12	12 luglio
Juuli 10	10 luglio
Juuli 9	9 luglio
Juuli 14	14 luglio
Juuli 8	8 luglio
Juuli 7	7 luglio
Juuli 6	6 luglio
Juuli 5	5 luglio
Juuli 2	2 luglio
Juuli 4	4 luglio
Juuli 3	3 luglio
Juuli 1	1º luglio
Juuli 11	11 luglio
Decemberi 24	24 dicembre
Juuli 31	31 luglio
Juuli 30	30 luglio
Juuli 29	29 luglio
Juuli 28	28 luglio
Juuli 27	27 luglio
Juuli 25	25 luglio
Juuli 24	24 luglio
Juuli 23	23 luglio
Juuli 26	26 luglio
Juuli 22	22 luglio
Juuli 19	19 luglio
Juuli 21	21 luglio
Juuli 20	20 luglio
Juuli 17	17 luglio
Juuli 18	18 luglio
Juuli 16	16 luglio
Decemberi 25	25 dicembre
Decemberi 26	26 dicembre
Aggusti 14	14 agosto
Aggusti 15	15 agosto
Aggusti 13	13 agosto
Aggusti 12	12 agosto
Aggusti 11	11 agosto
Aggusti 10	10 agosto
Aggusti 8	8 agosto
Aggusti 7	7 agosto
Aggusti 9	9 agosto
Aggusti 5	5 agosto
Aggusti 4	4 agosto
Aggusti 2	2 agosto
Aggusti 3	3 agosto
Aggusti 6	6 agosto
Aggusti 1	1º agosto
Decemberi 27	27 dicembre
Madrid	Madrid
Aggusti 16	16 agosto
Aggusti 29	29 agosto
Aggusti 28	28 agosto
Aggusti 30	30 agosto
Aggusti 25	25 agosto
Aggusti 26	26 agosto
Aggusti 23	23 agosto
Aggusti 27	27 agosto
Aggusti 21	21 agosto
Aggusti 20	20 agosto
Aggusti 24	24 agosto
Aggusti 18	18 agosto
Aggusti 17	17 agosto
Aggusti 22	22 agosto
Aggusti 19	19 agosto
Aggusti 31	31 agosto
Decemberi 28	28 dicembre
Bogotá	Bogotá
Brasilia	Brasilia
Septemberi 15	15 settembre
Septemberi 14	14 settembre
Septemberi 13	13 settembre
Septemberi 12	12 settembre
Septemberi 8	8 settembre
Septemberi 11	11 settembre
Septemberi 7	7 settembre
Septemberi 10	10 settembre
Septemberi 5	5 settembre
Septemberi 4	4 settembre
Septemberi 9	9 settembre
Septemberi 2	2 settembre
Septemberi 6	6 settembre
Septemberi 1	1º settembre
Septemberi 3	3 settembre
Decemberi 29	29 dicembre
Canadami nunatat killeqarfiillu	Province e territori del Canada
Septemberi 30	30 settembre
Septemberi 29	29 settembre
Septemberi 28	28 settembre
Septemberi 27	27 settembre
Septemberi 26	26 settembre
Septemberi 25	25 settembre
Santiago (Chile)	Santiago del Cile
Septemberi 23	23 settembre
Septemberi 22	22 settembre
Septemberi 24	24 settembre
Septemberi 21	21 settembre
Septemberi 20	20 settembre
Septemberi 18	18 settembre
Septemberi 17	17 settembre
Septemberi 19	19 settembre
Septemberi 16	16 settembre
Decemberi 30	30 dicembre
Sucre	Sucre (città)
Decemberi 31	31 dicembre
Oktoberi 1	1º ottobre
Oktoberi 15	15 ottobre
Oktoberi 12	12 ottobre
Oktoberi 10	10 ottobre
Oktoberi 14	14 ottobre
Oktoberi 9	9 ottobre
Oktoberi 8	8 ottobre
Oktoberi 13	13 ottobre
Oktoberi 7	7 ottobre
Oktoberi 11	11 ottobre
Oktoberi 6	6 ottobre
Oktoberi 4	4 ottobre
Oktoberi 5	5 ottobre
Oktoberi 3	3 ottobre
Oktoberi 2	2 ottobre
Oktoberi 31	31 ottobre
Oktoberi 30	30 ottobre
Oktoberi 29	29 ottobre
Oktoberi 28	28 ottobre
Oktoberi 26	26 ottobre
Oktoberi 25	25 ottobre
Oktoberi 24	24 ottobre
Oktoberi 27	27 ottobre
Oktoberi 22	22 ottobre
Oktoberi 23	23 ottobre
Oktoberi 20	20 ottobre
Oktoberi 21	21 ottobre
Oktoberi 19	19 ottobre
Oktoberi 17	17 ottobre
Oktoberi 16	16 ottobre
Oktoberi 18	18 ottobre
Novemberi 15	15 novembre
Novemberi 14	14 novembre
Novemberi 13	13 novembre
Novemberi 12	12 novembre
Novemberi 11	11 novembre
Novemberi 10	10 novembre
Novemberi 7	7 novembre
Novemberi 8	8 novembre
Novemberi 9	9 novembre
Novemberi 6	6 novembre
Novemberi 5	5 novembre
Novemberi 4	4 novembre
Novemberi 3	3 novembre
Novemberi 2	2 novembre
Novemberi 1	1º novembre
Novemberi 30	30 novembre
Novemberi 29	29 novembre
Novemberi 28	28 novembre
Novemberi 27	27 novembre
Novemberi 26	26 novembre
Novemberi 25	25 novembre
Novemberi 23	23 novembre
Novemberi 24	24 novembre
Novemberi 21	21 novembre
Novemberi 20	20 novembre
Novemberi 22	22 novembre
Novemberi 19	19 novembre
Novemberi 18	18 novembre
Novemberi 17	17 novembre
Novemberi 16	16 novembre
Canberra	Canberra
Sydney	Sydney
Melbourne	Melbourne
Tripoli	Tripoli
Angol	Angol
Antofagasta	Antofagasta
Tehran	Teheran
Jakarta	Giacarta
Ankara	Ankara
Riyadh	Riyad
Chiguayante	Chiguayante
Damascus	Damasco
Chillán	Chillán
Amman	Amman
Coyhaique	Coyhaique
Beirut	Beirut
Masqat, Oman	Mascate
Nicosia	Nicosia
Doha	Doha
Dodoma	Dodoma
Copiapó	Copiapó
Nairobi	Nairobi
Manama	Manama
Kampala	Kampala
Antananarivo	Antananarivo
Osasco	Osasco (San Paolo)
Mittarfik Dong Hoi	Aeroporto di Dong Hoi
Arusha	Arusha
Kuritiba	Curitiba
Talca, Chile	Talca
Rancagua, Chile	Rancagua
Konfusiusi	Confucio
Corbin Bleu	Corbin Bleu
Sumut atassuseq:Matematikki	Categoria:Matematica
Savalimmiut	Fær Øer
Surat	Surat (India)
Hangzhou	Hangzhou
Céline Dion	Céline Dion
Nunavissuaq	Continente
Illoqarfiit pingaarnersaat	Capitale (città)
Monzón	Monzón
Ukiup qaammatai	Mese
Almazán	Almazán
Japanimiusut	Lingua giapponese
Encyklopædi	Enciclopedia
Saqqaa	Pagina principale
Eurasia	Eurasia
Francisco Goya	Francisco Goya
Tatarstan	Tatarstan
Salvador Dalí	Salvador Dalí
Vincent van Gogh	Vincent van Gogh
Henri Matisse	Henri Matisse
Michelangelo	Michelangelo Buonarroti
Pablo Picasso	Pablo Picasso
Raphael	Raffaello Sanzio
Rembrandt	Rembrandt
Jericho	Gerico
Bethlehem	Betlemme
Mekka	La Mecca
Xi'an	Xi'an
Kabul	Kabul
Inuunerup isumalerineq	Filosofia
Sumut atassuseq:Candidates for speedy deletion	Categoria:Cancellare subito
Medan	Medan
Hebe Camargo	Hebe Camargo
Seinäjoki	Seinäjoki
Montpellier	Montpellier
Guovdageaidnu	Kautokeino
Airbus A330	Airbus A330
Sumut atassuseq:Ullorissanik ilisimatusarneq	Categoria:Astronomia
Strasbourg	Strasburgo
Ekutaq	Sacha-Jacuzia
Guitar	Chitarra
Dijon	Digione
Økologi	Ecologia
Politikki	Politica
Naalakkersueriaaseq	Governo
Sevastopol	Sebastopoli
Angallassissutit	Trasporto
Inuttut pisinnaatitaafiit pillugit silarsuarmioqatigiinut nalunaarut	Dichiarazione universale dei diritti umani
WHO	Organizzazione mondiale della sanità
Swahilimiutut	Lingua swahili
Kineserisut (oqaatsit)	Lingua cinese
Toulouse	Tolosa
Malagassiskisut	Lingua malgascia
Qagiirgiin	Anadyr' (città)
Leksikoni	Lessico
Palembang	Palembang
Suliffissualerineq	Industria
Sumut atassuseq:Bulgaria	Categoria:Bulgaria
Sumut atassuseq:Frankrigi	Categoria:Francia
Sumut atassuseq:Nipilersorneq	Categoria:Musica
Ilinniartitaaneq	Educazione
Hongkong	Hong Kong
Karachi	Karachi
Seoul	Seul
Shanghai	Shanghai
Internetprotokol	Internet Protocol
Ukrainimiusut	Lingua ucraina
Cancún	Cancún
Guadalajara (Jalisco)	Guadalajara (Messico)
Svenskisuut	Lingua svedese
Qallunaatut	Lingua danese
Slovakimiusut	Lingua slovacca
Estlandimiutut	Lingua estone
Letlandimiutut	Lingua lettone
Litauenimiutut	Lingua lituana
Isarukitsoq	Spheniscidae
Farsimiutut	Lingua persiana
Upperisarsiorneq	Religione
Koreamiusut	Lingua coreana
Vietnamimiusut	Lingua vietnamita
Thailandimiutut	Lingua thailandese
Indonesiamiutut	Lingua indonesiana
Mongoliamiutut	Lingua mongola
Juutit	Ebraismo
Hebraimiutut	Lingua ebraica
Aserbajdsjaniskisut	Lingua azera
Tarnip ilinniarnera	Psicologia
Taoisme	Taoismo
Bengalimiutut	Lingua bengalese
Ukiuunerani OL 2010	XXI Giochi olimpici invernali
Ronald Reagan	Ronald Reagan
Serang	Serang (città)
Tangerang	Tangerang
Sasaskisut	Lingua zazaki
Bandung	Bandung
Bekasi	Bekasi
Depok	Depok
Saskatoon	Saskatoon
Tórshavn	Tórshavn
Ingeniørilerineq	Ingegneria
Attaveqaqatigiinneq	Comunicazione
Oqarasuaat	Telefono
Kulturi	Cultura
Aritmetikki	Aritmetica
Sumut atassuseq:Brazil	Categoria:Brasile
Nikerartuusisitsineq	Animazione
Nunaateqarneq	Agricoltura
Surabaya	Surabaya
Taparneq	Danza
Innallangialerineq	Elettronica
Silasiorneq	Tempo (meteorologia)
Shenyang	Shenyang
Chongqing	Chongqing
Tianjin	Tientsin
Lahore	Lahore
Wuhan	Wuhan
Silarsuarmi nunat	Stati del mondo
Nagoya	Nagoya
Ursidae	Ursidae
Ullorsiut	Calendario
Gregorianskit ullorsiutaat	Calendario gregoriano
Peqqinneq	Salute
Nantes	Nantes
Brest	Brest (Francia)
Ilisserut:Kortpositioner Islandi	Template:Mappa di localizzazione/ISL
Ilisserut:Kortpositioner Norge	Template:Mappa di localizzazione/NOR
Ilisserut:Kortpositioner Danmarki	Template:Mappa di localizzazione/DNK
Ilisserut:Kortpositioner Litaueni	Template:Mappa di localizzazione/LTU
Ilisserut:Kortpositioner Franskit Nunaat	Template:Mappa di localizzazione/FRA
Ilisserut:Kortpositioner Andorra	Template:Mappa di localizzazione/AND
Ilisserut:Kortpositioner Spania	Template:Mappa di localizzazione/ESP
Ilusilersugaaneq	Architettura
Ilisserut:Kortpositioner Poleni	Template:Mappa di localizzazione/POL
Ilisserut:Kortpositioner Tjekkia	Template:Mappa di localizzazione/CZE
Malgrat de Mar	Malgrat de Mar
Hualqui	Hualqui
Ilisserut:Kortpositioner Grønland	Template:Mappa di localizzazione/GRL
Arabiamiutut	Lingua araba
Tartu	Tartu
Iquique	Iquique
La Serena	La Serena
Makassar	Makassar
Erfalasoq	Bandiera
Brno	Brno
Qungasersooq	Giraffa camelopardalis
Shenzhen	Shenzhen
Queen	Queen
Franche-Comté	Franca Contea
Wikipedia:Anbefalet	Wikipedia:Vetrina
Wikipedia:Katersortarfik	Wikipedia:Bar
Busan	Pusan
Guangzhou	Canton
Nanjing	Nanchino
ABBA	ABBA
Amaroq	Canis lupus
Pyongyang	Pyongyang
Bien Hoa	Biên Hòa
San Pedro de la Paz	San Pedro de la Paz
Nha Trang	Nha Trang
Simferopol	Sinferopoli
Bukarest	Bucarest
Tirana	Tirana
Motorhead	Motörhead
Ukioq ilassutilik	Anno bisestile
Suwon	Suwon
Daejeon	Daejeon
Daegu	Taegu
Incheon	Incheon
Falköping	Falköping
Skövde	Skövde
Enköping	Enköping
Varberg	Varberg
Piteå	Piteå
Viborg	Viborg
Næstved	Næstved
Sønderborg	Sønderborg
Fredericia	Fredericia
Hjørring	Hjørring
Vung Tau	Vũng Tàu
Qarasaasialerinermik ilisimatusarneq	Informatica
Jean Dominique Ingres	Jean-Auguste-Dominique Ingres
Cervidae	Cervidae
Ataatarpooq	Padre nostro
Inuup ineriartorneranik ilisimatusarneq	Antropologia
Ulan Bator	Ulan Bator
Marseille	Marsiglia
Moshchena	Moščena
Ittarnisarsiorneq	Archeologia
Entrena	Entrena
Wellington	Wellington
Inuiaqatigiinni erinaq	Inno nazionale
Palæstina	Palestina
Vancouver	Vancouver
Mittarfik Cam Ranh	Aeroporto internazionale di Cam Ranh
Svalbard	Isole Svalbard
Benetice	Benetice (Světlá nad Sázavou)
Savalimmiutut	Lingua faroese
Ca Mau	Cà Mau
Da Lat	Da Lat
Uppsala	Uppsala
Göteborg	Göteborg
Racibórz	Racibórz
Phan Thiet	Phan Thiết
Aarhus	Aarhus
Odense	Odense
Qeerlutooq	Anas platyrhynchos
Kalaallisut	Lingua groenlandese
Jylland	Jutland
Aalborg	Aalborg
Helsingborg	Helsingborg
Västerås	Västerås
Linköping	Linköping
Jönköping	Jönköping
Stavanger	Stavanger
Oqaatsoq	Phalacrocorax carbo
Karlstad	Karlstad (Svezia)
Mölnlycke	Mölnlycke
Sjælland	Sjælland
Umeå	Umeå
Qussuk	Cygnus cygnus
Norrköping	Norrköping
Örebro	Örebro
Gävle	Gävle
Karlskrona	Karlskrona
Trondheim	Trondheim
Kaniina	Leporidae
Borås	Borås
Tromsø	Tromsø
Växjö	Växjö
Esbjerg	Esbjerg
Luleå	Luleå
Kalmar	Kalmar
Appaliarsuk	Alle alle
Sundsvall	Sundsvall
Eskilstuna	Eskilstuna
Fyn	Fionia
Falun	Falun
Östersund	Östersund
Södertälje	Södertälje
Halmstad	Halmstad
Drammen	Drammen
Roskilde	Roskilde
Zahlé	Zahle
Ciudad Juárez	Ciudad Juárez
Fukuoka	Fukuoka
Qarsaaq	Gavia stellata
Bergen (Norge)	Bergen
Aarluk	Orcinus orca
Helsingør	Helsingør
Taliffak	Arenaria interpres
Qaqulluk	Fulmarus glacialis
Kristianstad	Kristianstad
Trelleborg	Trelleborg
Niisa	Phocoena phocoena
Apparluk	Alca torda
Kolding	Kolding
Herning	Herning
Mölndal	Mölndal
Uddevalla	Uddevalla
Frederikshavn	Frederikshavn
Kungälv	Kungälv
Afrika-Eurasia	Eurafrasia
Ippernaq	Nematocera
Ystad	Ystad
Kungsbacka	Kungsbacka
Lahti	Lahti
Akureyri	Akureyri
Chengdu	Chengdu
Nyborg	Nyborg
Pinnipedia	Pinnipedia
Zhengzhou	Zhengzhou
Pleiku	Pleiku
Kraków	Cracovia
Invercargill	Invercargill
Siutitooq nimeruaartoq	Zebra
Drake	Drake (rapper)
