Aphrika	Africa
Indiku mama qucha	Oceano Indiano
Luigi Einaudi	Luigi Einaudi
Veneto	Veneto
Kusuwu	Kosovo
Bohriyu	Bohrio
Hasyu	Hassio
Kofi Annan	Kofi Annan
Liguria	Liguria
Butros Butros-Ghali	Boutros Boutros-Ghali
Meitneryu	Meitnerio
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar Guerra
Kurt Waldheim	Kurt Waldheim
Colorado suyu	Colorado
Emilia-Romagna	Emilia-Romagna
U Thant	U Thant
Darmstadtiyu	Darmstadtio
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Fryderyk Chopin
Trygve Lie	Trygve Lie
Roentgenyu	Roentgenio
Toscana	Toscana
Kopernisyu	Copernicio
Katiguriya:Qhapaq katiguriya	Categoria:Categorie
Abruzzo	Abruzzo
Alpikuna	Alpi
Grenoble	Grenoble
Dortmund	Dortmund
Chicago	Chicago
The Beatles	The Beatles
Ununtriyu	Ununtrio
Ununkwadyu	Flerovio
Ununpentyu	Ununpentio
Ununheksiyu	Livermorio
Ununseptiyu	Ununseptio
Ununoktiyu	Ununoctio
Como	Como
Maastricht	Maastricht
Arnhem	Arnhem
Chiri mit'a	Inverno
Ch'iraw mit'a	Primavera
Ruphay mit'a	Estate
Puquy mit'a	Autunno
Saddam Hussein	Saddam Hussein
Kastilla simi	Lingua spagnola
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Taki aranway	Opera
Philadelphia (Pennsylvania)	Filadelfia (Stati Uniti d'America)
Kolkata	Calcutta
Chennai	Chennai
Dilhi	Delhi
Bangalore	Bangalore
Kunti Banla	Bengala occidentale
Awaq uru	Araneae
Pakcha	Arachnida
Sillwichaki	Arthropoda
Ruru	Frutto
Rantina qullqi	Denaro
Virginia suyu	Virginia
West Virginia suyu	Virginia Occidentale
Wata uchu	Capsicum annuum
Huron qucha	Lago Huron
New York suyu	New York (Stato)
Seryu	Cerio
Praseodimyu	Praseodimio
Rhode Island suyu	Rhode Island
Neodimyu	Neodimio
Palama	Insecta
Maryland suyu	Maryland
Delaware suyu	Delaware
Lenin	Lenin
Iwrupyu	Europio
Ohio suyu	Ohio
Pennsylvania suyu	Pennsylvania
Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Uetersen	Uetersen
Augustus	Augusto
Windows	Microsoft Windows
New Jersey suyu	New Jersey
Phinis simi	Lingua finlandese
Indiana suyu	Indiana
Antawa	Autovettura
Juventus FC	Juventus Football Club
Roger Federer	Roger Federer
Georgia suyu	Georgia (Stati Uniti d'America)
Zagreb	Zagabria
Texas suyu	Texas
Tamil Nadu	Tamil Nadu
Genova	Genova
North Carolina suyu	Carolina del Nord
South Carolina suyu	Carolina del Sud
Sicilia	Sicilia
Manila	Manila
Sardegna	Sardegna
Bordeaux	Bordeaux
Corazón Aquino	Corazón Aquino
Buenos Aires	Buenos Aires
Mishiku llaqta	Città del Messico
Tokyo	Tokyo
Chuqiyapu	La Paz
Barcelona	Barcellona
Chirimaway	Ananas comosus
Mississippi suyu	Mississippi
Fernão de Magalhães	Ferdinando Magellano
Mississippi mayu	Mississippi (fiume)
Mizoram	Mizoram
Pataqunya	Patagonia
Tennessee suyu	Tennessee
Richard Wagner	Richard Wagner
Astana	Astana
Musuq Mishiku suyu	Nuovo Messico
Athina	Atene
Minnesota suyu	Minnesota
Bagdad	Baghdad
Karakas	Caracas
Wisconsin suyu	Wisconsin
Marcus Tullius Cicero	Marco Tullio Cicerone
AC Milan	Associazione Calcio Milan
Iowa suyu	Iowa
Nebraska suyu	Nebraska
Watimala llaqta	Città del Guatemala
Kansas suyu	Kansas
La Habana	L'Avana
Hindi simi	Lingua hindi
Marathi simi	Lingua marathi
Siyaru	Sigaretta
Missouri suyu	Missouri
Louisiana suyu	Louisiana
Luigi Galvani	Luigi Galvani
Kentucky suyu	Kentucky
Arkansas suyu	Arkansas
Neil Armstrong	Neil Armstrong
Urdu simi	Lingua urdu
Oklahoma suyu	Oklahoma
Danuwyu mayu	Danubio
Düsseldorf	Düsseldorf
Wiesbaden	Wiesbaden
München	Monaco di Baviera
Makiyasiy	Pallavolo
Innsbruck	Innsbruck
Wien	Vienna
København	Copenaghen
Stockholm	Stoccolma
Helsinki	Helsinki
Baile Átha Cliath	Dublino
Reykjavík	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Tallinn	Tallinn
Riga	Riga
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gdańsk	Danzica
Frankfurt am Main	Francoforte sul Meno
Wrocław	Breslavia
Lanthanu	Lantanio
Prometyu	Promezio
Samaryu	Samario
Kaliningrad	Kaliningrad
Gadolinyu	Gadolinio
Zinedine Zidane	Zinédine Zidane
Terbyu	Terbio
Laurent Blanc	Laurent Blanc
Luksimbur (llaqta)	Lussemburgo (città)
Disprosyu	Disprosio
Vaduz	Vaduz
Dyuspa Simin Qillqa	Bibbia
Holmyu	Olmio
San Marino (uma llaqta)	Città di San Marino
Erbyu	Erbio
Phnom Penh	Phnom Penh
Thulyu	Tulio
Ho Chi Minh llaqta	Ho Chi Minh (città)
Iterbyu	Itterbio
Lutesyu	Lutezio
Ha Nui	Hanoi
Chiqap Jesuspa Inlisyan	Vera Chiesa di Gesù
Inlish simi	Lingua inglese
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
T'aypik	Taipei
Amerisyu	Americio
Kuriyu	Curio
Dong Hoi	Dong Hoi
Concepción (Chile)	Concepción (Cile)
Berkelyu	Berkelio
Kalifornyu	Californio
Bologna	Bologna
Einsteinyu	Einsteinio
Fermyu	Fermio
Cagliari	Cagliari
Mendelewyu	Mendelevio
Kiyiw	Kiev
Nobelyu	Nobelio
Catania	Catania
Ontario pruwinsya	Ontario
Lawrensyu	Laurenzio
Caserta	Caserta
Mathieu Debuchy	Mathieu Debuchy
Karim Benzema	Karim Benzema
Franck Ribéry	Franck Ribéry
Ottawa	Ottawa
Éric Abidal	Éric Abidal
Nicolas Anelka	Nicolas Anelka
Jérémy Toulalan	Jérémy Toulalan
Manitoba pruwinsya	Manitoba
Alberta pruwinsya	Alberta
Nova Scotia pruwinsya	Nuova Scozia
Yerevan	Erevan
Końskowola	Końskowola
Dar es Salaam	Dar es Salaam
New Brunswick pruwinsya	Nuovo Brunswick
British Columbia pruwinsya	Columbia Britannica
Prince Edward Island pruwinsya	Isola del Principe Edoardo
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan pruwinsya	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Chimlasay	Anidride carbonica
2013	2013
2014	2014
2015	2015
Newfoundland wan Labrador pruwinsya	Terranova e Labrador
2008	2008
2004	2004
2005	2005
2006	2006
Cesare Pavese	Cesare Pavese
2007	2007
Verona	Verona
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Firenze
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
ACF Fiorentina	ACF Fiorentina
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
Juan Manuel Fangio	Juan Manuel Fangio
1996	1996
1910	1910
1911	1911
1912	1912
Leipzig	Lipsia
1913	1913
Saint John (Newfoundland wan Labrador)	Saint John's (Canada)
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Mikhuna	Alimento
Edmonton	Edmonton
Mach'aqway	Serpentes
Jacques Chirac	Jacques Chirac
Arika Parinaqutapas suyu	Regione di Arica e Parinacota
Tarapaka suyu	Regione di Tarapacá
Antofagasta suyu	Regione di Antofagasta
Atakama suyu	Regione di Atacama
Kukimpu suyu	Regione di Coquimbo
Regina (Saskatchewan)	Regina (Canada)
Valéry Giscard d'Estaing	Valéry Giscard d'Estaing
Charlottetown	Charlottetown
Santiago suyu	Regione Metropolitana di Santiago
Victoria (British Columbia)	Victoria (Canada)
O'Higgins suyu	Regione del Libertador General Bernardo O'Higgins
Winnipeg	Winnipeg
Fredericton	Fredericton
Halifax (Nova Scotia)	Halifax (Canada)
Quebec llaqta	Québec (città)
1 ñiqin qhulla puquy killapi	1º gennaio
