Āfrika	Africa
Neons	Neon
Čivava	Chihuahua (stato)
Sanktpēterburga	San Pietroburgo
Čada	Ciad
Nātrijs	Sodio
Ziemeļi	Nord
Magnijs	Magnesio
Alumīnijs	Alluminio
Jaunzēlande	Nuova Zelanda
Dienvidi	Sud
Indija	India
Silīcijs	Silicio
Francijs	Francio
Tuvalu	Tuvalu
Fosfors	Fosforo
Andrē Marī Ampērs	André-Marie Ampère
Proza	Prosa
Dzelzs	Ferro
Tonga	Tonga
Rietumi	Ovest
Alesandro Volta	Alessandro Volta
Sērs	Zolfo
Samoa	Samoa
Austrumi	Est
Zālamana Salas	Isole Salomone
Vanuatu	Vanuatu
Moljērs	Molière
Hlors	Cloro
Delfta	Delft
Papua-Jaungvineja	Papua Nuova Guinea
Viljams Šekspīrs	William Shakespeare
Fabula	Favola
Dienvidholande	Olanda Meridionale
Palau	Palau (stato)
Argons	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Pasaka	Fiaba
Ziemeļholande	Olanda Settentrionale
Mikronēzija (valsts)	Stati Federati di Micronesia
Kālijs	Potassio
Lionas @@@u0026Olympique"	Olympique Lyonnais
Zēlande (province)	Zelanda (Paesi Bassi)
Kalcijs	Calcio (elemento chimico)
Flevolande	Flevoland
Svins	Piombo
Māršala Salas	Isole Marshall
Kiribati	Kiribati
Mongolija	Mongolia
Fidži	Figi
Skandijs	Scandio
Stīvijs Vonders	Stevie Wonder
Heilbronna	Heilbronn
Titāns	Titanio
Venecuēla	Venezuela
Šahs	Scacchi
Čingishans	Gengis Khan
Vanādijs	Vanadio
Meina	Maine
Hroms	Cromo
Mājas zirgs	Equus caballus
Amsterdama	Amsterdam
Ierocis	Arma
Dzīvnieki	Animalia
Surinama	Suriname
Mangāns	Manganese
Paragvaja	Paraguay
Gajāna	Guyana
Māksla	Arte
Ekvadora	Ecuador
Rēnijs	Renio
Kolumbija	Colombia
Kobalts	Cobalto
Žans Rasins	Jean Racine
Volframs	Tungsteno
Niķelis	Nichel
Zemenes	Fragaria
Pjērs Korneijs	Pierre Corneille
Budisms	Buddhismo
Groningena	Groninga
Bolīvija	Bolivia
Osmijs	Osmio
Groningena (province)	Groninga (provincia)
Varš	Rame
Trinidāda un Tobāgo	Trinidad e Tobago
Pols Verlēns	Paul Verlaine
Augi	Plantæ
Sentvinsenta un Grenadīnas	Saint Vincent e Grenadine
Cinks	Zinco
Ņūhempšīra	New Hampshire
Sentlūsija	Santa Lucia (Stato)
Bjalistoka	Białystok
Leonardo da Vinči	Leonardo da Vinci
Sentkitsa un Nevisa	Saint Kitts e Nevis
Sēnes	Fungi
Dario Fo	Dario Fo
Jamaika	Giamaica
Stefans Malarmē	Stéphane Mallarmé
Grenāda	Grenada
Frīzlande	Frisia (Paesi Bassi)
Masačūsetsa	Massachusetts
Drente	Drenthe
Overeisela	Overijssel
Gvatemala	Guatemala
Gelderlande	Gheldria (provincia)
Utrehta (province)	Utrecht (provincia)
Google Chrome	Google Chrome
Bahamas	Bahamas
Konektikuta	Connecticut
Mājas vista	Gallus gallus domesticus
Antigva un Barbuda	Antigua e Barbuda
Havajas	Hawaii
Hondurasa	Honduras
Dominika	Dominica
Džērsija	Baliato di Jersey
Dominikāna	Repubblica Dominicana
Mājas cūka	Sus scrofa domesticus
Ziemeļu Ledus okeāns	Mar Glaciale Artico
Haiti	Haiti
Taumatafakatanihanakoauauotamateaturipukakapikimaunahoronukupokaifenuakitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
Salvadora	El Salvador
Zvolle	Zwolle
Irāna	Iran
Irāka	Iraq
Aļaska	Alaska
Asena	Assen
Gudrība	Saggezza
Kostarika	Costa Rica
Izraēla	Israele
Novi Sonča	Nowy Sącz
Utrehta	Utrecht
Panama	Panamá
Jemena	Yemen
Lozanna	Losanna
Vīruss	Virus (biologia)
Poļu valoda	Lingua polacca
Jordānija	Giordania
Nikaragva	Nicaragua
Florida	Florida
Kirgizstāna	Kirghizistan
Arizona	Arizona
Kuveita	Kuwait
Laosa	Laos
Libāna	Libano
Oregona	Oregon
Maldīvija	Maldive
Amerika	America
Jūta	Utah
Liellops	Bos taurus
Čau	Ciao
Malaizija	Malesia
Valē kantons	Canton Vallese
Mihails Bulgakovs	Michail Afanas'evič Bulgakov
Mjanma	Birmania
Nepāla	Nepal
Omāna	Oman
Pakistāna	Pakistan
Džeimss Bonds	James Bond
Katara	Qatar
Teniss	Tennis
MySQL	MySQL
Saūda Arābija	Arabia Saudita
Andrejs Tarkovskis	Andrej Arsen'evič Tarkovskij
Šrilanka	Sri Lanka
Josifs Staļins	Iosif Stalin
Svītrkods	Codice a barre
Sīrija	Siria
Platons	Platone
Gallijs	Gallio (elemento chimico)
Josifs Brodskis	Iosif Aleksandrovič Brodskij
Tadžikistāna	Tagikistan
Pokemoni	Pokémon
Ķīnas Republika	Taiwan
YouTube	YouTube
Germānijs	Germanio
Aristotelis	Aristotele
Taizeme	Thailandia
Vilciens	Treno
Arsēns	Arsenico
Radio	Radio (elettronica)
Merila Strīpa	Meryl Streep
Turkmenistāna	Turkmenistan
Abakana	Abakan (città)
Selēns	Selenio
Irīdijs	Iridio
Apvienotie Arābu Emirāti	Emirati Arabi Uniti
Broms	Bromo
Platīns	Platino
Vjetnama	Vietnam
Čārlijs Čaplins	Charlie Chaplin
Novosibirska	Novosibirsk
Dienvidkoreja	Corea del Sud
Juzefs Pilsudskis	Józef Piłsudski
Simpsoni	I Simpson
Jekaterinburga	Ekaterinburg
Kriptons	Kripton
Afganistāna	Afghanistan
Gangnam Style	Gangnam Style
Ņižņijnovgoroda	Nižnij Novgorod
Džons Ronalds Rūels Tolkīns	J. R. R. Tolkien
Samara	Samara (città)
Rubīdijs	Rubidio
Zelts	Oro
Omska	Omsk
Suecas kanāls	Canale di Suez
Kazaņa	Kazan'
Zinātnieks	Scienziato
Bangladeša	Bangladesh
Bleach (manga)	Bleach (manga)
Francs Kafka	Franz Kafka
Čeļabinska	Čeljabinsk
Gordons Frīmens	Gordon Freeman
Rostova pie Donas	Rostov sul Don
Horhe Luiss Borhess	Jorge Luis Borges
Ufa	Ufa (Russia)
Mali	Mali
Sokrats	Socrate
Volgograda	Volgograd
Angola	Angola
Perma	Perm'
Butāna	Bhutan
Twitter	Twitter
Krasnojarska	Krasnojarsk
Bruneja	Brunei
Tanzānija	Tanzania
Dzīvsudrabs	Mercurio (elemento chimico)
Roalds Amundsens	Roald Amundsen
Harijs Mulišs	Harry Mulisch
Filipīnas	Filippine
Centrālāfrikas Republika	Repubblica Centrafricana
Naruto Udzumaki	Naruto Uzumaki
Tallijs	Tallio
Dienvidpols	Polo sud
Ziemeļpols	Polo nord
Īzaks Ņūtons	Isaac Newton
OpenStreetMap	OpenStreetMap
Alberts Einšteins	Albert Einstein
Stroncijs	Stronzio
Pedru I	Pietro I del Brasile
Narkotikas	Narcotico
Itrijs	Ittrio
Bismuts	Bismuto
Dzeltenā krāsa	Giallo
Kvantu mehānika	Meccanica quantistica
Togo	Togo
Donalds Tusks	Donald Tusk
Tunisija	Tunisia
Džons Bardīns	John Bardeen
Zambija	Zambia
Zimbabve	Zimbabwe
Pekina	Pechino
Dienvidsudāna	Sudan del Sud
Vladivostoka	Vladivostok
Tiva	Tuva
Benina	Benin
Botsvana	Botswana
Wikinews	Wikinotizie
Burkinafaso	Burkina Faso
Burundi	Burundi
Komoras	Comore
Kongo Republika	Repubblica del Congo
Alkmāra	Alkmaar
Oba	Ob' (fiume)
Kongo Demokrātiskā Republika	Repubblica Democratica del Congo
Sanantonio	San Antonio
Tomska	Tomsk
Džibutija	Gibuti
Mēme	Meme
Polonijs	Polonio
Bavārija	Baviera
Pasaules kauss kalnu slēpošanā	Coppa del Mondo di sci alpino
Ekvatoriālā Gvineja	Guinea Equatoriale
Bādene-Virtemberga	Baden-Württemberg
Eritreja	Eritrea
Ņūdeli	Nuova Delhi
Jānis Pāvils II	Papa Giovanni Paolo II
Fjodors Dostojevskis	Fëdor Dostoevskij
Amersforta	Amersfoort
Kamčatkas pussala	Kamčatka
Tbilisi	Tbilisi
Andrejs Saharovs	Andrej Dmitrievič Sacharov
Astats	Astato
Gabona	Gabon
Mohandass Karamčands Gandijs	Mahatma Gandhi
Čukču pussala	Penisola dei Ciukci
Komikss	Fumetto
Gambija	Gambia
Gvineja	Guinea
Gvineja-Bisava	Guinea-Bissau
Kotdivuāra	Costa d'Avorio
Kamerūna	Camerun
Maribora	Maribor
Kaboverde	Capo Verde
Lesoto	Lesotho
Libērija	Liberia
Lībija	Libia
Āhene	Aquisgrana
Madagaskara	Madagascar
Malāvija	Malawi
Štutgarte	Stoccarda
Mauritānija	Mauritania
Poļi	Polacchi
Maurīcija	Mauritius
Maroka	Marocco
Mozambika	Mozambico
Namībija	Namibia
Nigēra	Niger
Nigērija	Nigeria
Čārlzs Darvins	Charles Darwin
Uganda	Uganda
Ruanda	Ruanda
Cirkonijs	Zirconio
Santome un Prinsipi	São Tomé e Príncipe
Karlsrūe	Karlsruhe
Senegāla	Senegal
Seišelas	Seychelles
Kārlis Linnejs	Linneo
Sjerraleone	Sierra Leone
Somālija	Somalia
Niobijs	Niobio
Džavaharlals Neru	Jawaharlal Nehru
Jūlijs Cēzars	Gaio Giulio Cesare
Sudāna	Sudan
Svazilenda	Swaziland
Varavīksne	Arcobaleno
Molibdēns	Molibdeno
Tehnēcijs	Tecnezio
Hamburga	Amburgo
Vielmaiņa	Metabolismo
Narēndra Modi	Narendra Modi
Imūnsistēma	Sistema immunitario
Gudžarāta	Gujarat
Ontārio ezers	Lago Ontario
Evolūcija	Evoluzione
Apvienoto Nāciju Organizācija	Organizzazione delle Nazioni Unite
Augšezers	Lago Superiore
Dante Aligjēri	Dante Alighieri
Ģeoloģija	Geologia
Amdāvāda	Ahmedabad
Ģeogrāfija	Geografia
Sirds	Cuore umano
Smadzenes	Cervello
Āda	Pelle
Krāsa	Colore
Pārkāpt robežu	Breaking Bad - Reazioni collaterali
Salerno	Salerno
Lietvārds	Sostantivo
Prāga	Praga
Rutēnijs	Rutenio
Rodijs	Rodio
Zilā krāsa	Blu
Pallādijs	Palladio (elemento chimico)
Sudrabs	Argento
Kadmijs	Cadmio
Zvaigžņu ceļš	Star Trek
Limburga (Nīderlande)	Limburgo (Paesi Bassi)
Indijs	Indio
Limburga (Beļģija)	Provincia del Limburgo (Belgio)
Alva	Stagno (elemento chimico)
Urāns (elements)	Uranio
Antimons	Antimonio
Telūrs	Tellurio
Ziemeļbrabante	Brabante Settentrionale
Plutonijs	Plutonio
Jods (elements)	Iodio
Neptūnijs	Nettunio
Ksenons	Xeno
Anime	Anime
Cēzijs	Cesio (elemento chimico)
Protaktīnijs	Protoattinio
Elektriskais lādiņš	Carica elettrica
Bārijs	Bario
Rietumflandrija	Provincia delle Fiandre Occidentali
Austrumflandrija	Provincia delle Fiandre Orientali
Torijs	Torio
Antverpenes province	Provincia di Anversa
Flāmu Brabante	Provincia del Brabante Fiammingo
Hafnijs	Afnio
Aktīnijs	Attinio
Valoņu Brabante	Provincia del Brabante Vallone
Tantals	Tantalio
Bills Klintons	Bill Clinton
Namīras province	Provincia di Namur
Luksemburgas province	Provincia del Lussemburgo
Ljēžas province	Provincia di Liegi
Rādijs	Radio (elemento chimico)
Eno	Provincia dell'Hainaut
Ālene (Ziemeļreina-Vestfālene)	Ahlen
Radons	Radon
Lotringa	Lorena (regione francese)
Elzasa	Alsazia
Žans Filips Ramo	Jean-Philippe Rameau
Indira Gandija	Indira Gandhi
Merkurs (mitoloģija)	Mercurio (divinità)
Ektors Berliozs	Hector Berlioz
Overņa	Alvernia
Mumbaja	Mumbai
Starptautiskā vieglatlētikas federācija	International Association of Athletics Federations
Āndhra Pradēša	Andhra Pradesh
Arunāčala Pradēša	Arunachal Pradesh
Asama	Assam
Bihāra	Bihar
Mičigana	Michigan
Čhatīsgarha	Chhattisgarh
Mičigans	Lago Michigan
Goa	Goa
Burgundija	Borgogna
Harjāna	Haryana
Himāčala Pradēša	Himachal Pradesh
Moriss Ravēls	Maurice Ravel
Akvitānija	Aquitania
Džammu un Kašmīra	Jammu e Kashmir
Puertoriko	Porto Rico
Džhārkhanda	Jharkhand
Karnātaka	Karnataka
Kerala	Kerala
Madhja Pradēša	Madhya Pradesh
Useins Bolts	Usain Bolt
Limuzēna	Limosino
Mahārāštra	Maharashtra
Žans Batists Lulli	Jean-Baptiste Lully
Manipura	Manipur
Šlēsviga-Holšteina	Schleswig-Holstein
Meghālaja	Meghalaya
Mēklenburga-Priekšpomerānija	Meclemburgo-Pomerania Anteriore
Lejassaksija	Bassa Sassonia
Ziemeļreina-Vestfālene	Renania Settentrionale-Vestfalia
Hesene	Assia
Reinzeme-Pfalca	Renania-Palatinato
Zāra (zeme)	Saarland
Saksija	Sassonia
Džons Lenons	John Lennon
Ilinoisa	Illinois
Tīringene	Turingia
Saksija-Anhalte	Sassonia-Anhalt
Ziemeļdakota	Dakota del Nord
Brandenburga (zeme)	Brandeburgo
Brēmene (federālā zeme)	Brema (stato)
Lombardija	Lombardia
Dienviddakota	Dakota del Sud
Montāna	Montana
Vaiominga	Wyoming
Pjemonta	Piemonte
Jeruzaleme	Gerusalemme
Džordžo Napolitāno	Giorgio Napolitano
Aidaho	Idaho
Valle d'Aosta	Valle d'Aosta
Vašingtona (štats)	Washington (stato)
Brūss Springstīns	Bruce Springsteen
Rezerfordijs	Rutherfordio
Nevada	Nevada
Dona	Don (fiume russo)
Dubnijs	Dubnio
Sīborgijs	Seaborgio
Trentīno-Alto Adidže	Trentino-Alto Adige
Indijas okeāns	Oceano Indiano
Veneto	Veneto
Kosova	Kosovo
Karību jūra	Mare Caraibico
Borijs	Bohrio
Friuli-Venēcija Džūlija	Friuli-Venezia Giulia
Hasijs	Hassio
Pans Kimuns	Ban Ki-moon
Kofi Annans	Kofi Annan
Ligūrija	Liguria
Butross Butross-Gali	Boutros Boutros-Ghali
Meitnērijs	Meitnerio
Kurts Valdheims	Kurt Waldheim
Kolorādo	Colorado
Emīlija-Romanja	Emilia-Romagna
U Tans	U Thant
Kolorādo (upe)	Colorado (Colorado)
Darmštatijs	Darmstadtio
