Afrik	Africa
Bouroundi	Burundi
Komò	Comore
Kongo (Brazavil)	Repubblica del Congo
Kongo (Kinchasa)	Repubblica Democratica del Congo
San Antonio (Teksas)	San Antonio
Djibouti (peyi)	Gibuti
Polonyòm	Polonio
Gine ekwateryal	Guinea Equatoriale
Eritre	Eritrea
Niou Deli	Nuova Delhi
Tbilisi	Tbilisi
Andrei Dmitrievich Sakharov	Andrej Dmitrievič Sacharov
Gabon	Gabon
Mohandas Karamchand Gandhi	Mahatma Gandhi
Ganbi	Gambia
Gine	Guinea
Gine-Bisao	Guinea-Bissau
Kòt divwa	Costa d'Avorio
Kamewoun	Camerun
Kap Vè	Capo Verde
Lezoto	Lesotho
Liberya	Liberia
Libi	Libia
Madagaskar	Madagascar
Malawi	Malawi
Moritani	Mauritania
Moris	Mauritius
Mawòk	Marocco
Mozanbik	Mozambico
Namibi	Namibia
Nijè	Niger
Nijerya	Nigeria
Ouganda	Uganda
Rwanda	Ruanda
Zikonyòm	Zirconio
Sen Tome ak Pwènsip	São Tomé e Príncipe
Senegal	Senegal
Sechèl	Seychelles
Syera Leòn	Sierra Leone
Somali	Somalia
Nyobyòm	Niobio
Julius Caesar	Gaio Giulio Cesare
Soudan	Sudan
Swazilann	Swaziland
Lakansyèl	Arcobaleno
Tèknesyòm	Tecnezio
Metabolis	Metabolismo
Evolisyon	Evoluzione
Aleksand Manzoni	Alessandro Manzoni
ONI	Organizzazione delle Nazioni Unite
Jewoloji	Geologia
Jewografi	Geografia
Kè	Cuore umano
Sèvo	Cervello
Po	Pelle
Koulè	Colore
Prag	Praga
Rodyòm	Rodio
Ble (koulè)	Blu
Paladyòm	Palladio (elemento chimico)
Ajan (metal)	Argento
Kadmyòm	Cadmio
Endyòm	Indio
Eten	Stagno (elemento chimico)
Iranyòm	Uranio
Antimwàn	Antimonio
Plitonyòm	Plutonio
Yòd	Iodio
Neptinyòm	Nettunio
Sezyòm	Cesio (elemento chimico)
Baryòm	Bario
Toryòm	Torio
Aktiniòm	Attinio
Tantal	Tantalio
Radyòm	Radio (elemento chimico)
Radon	Radon
Alzas	Alsazia
Michigàn	Michigan
Pòtoriko	Porto Rico
Usain Bolt	Usain Bolt
Ilinwa	Illinois
Dakota dinò	Dakota del Nord
Dakota disid	Dakota del Sud
Montana	Montana
Wayoming	Wyoming
Aydawo	Idaho
Wachintòn (eta)	Washington (stato)
Nevada	Nevada
Endyen	Oceano Indiano
Bòryòm	Bohrio
Asyòm	Hassio
Kolorado	Colorado
Kategori:Rasin	Categoria:Categorie
Blaise Pascal	Blaise Pascal
Chikago	Chicago
The Beatles	The Beatles
Livè	Inverno
Prentan	Primavera
Lete	Estate
Lotòn	Autunno
Ekinòks otòn	Equinozio
Panyòl	Lingua spagnola
Montevideo	Montevideo
Pittsburgh, Pennsilvani	Pittsburgh
Philadelphia, Pennsilvani	Filadelfia (Stati Uniti d'America)
Daka	Dacca
Areye	Araneae
Atwopòd	Arthropoda
Islamabad	Islamabad
Fwi	Frutto
Lajan	Denaro
Vijini	Virginia
Vijini de Lwès	Virginia Occidentale
Nou Yòk (eta)	New York (Stato)
Seryòm	Cerio
Rod Aylann	Rhode Island
Neyodim	Neodimio
Ensèk	Insecta
Merilann	Maryland
Delawè	Delaware
Lenine	Lenin
Ewòpyòm	Europio
Owayo (eta)	Ohio
Pènsilvani	Pennsylvania
Uetersen	Uetersen
Nou Jèze	New Jersey
Indiana	Indiana
Machin	Autovettura
Djòdji	Georgia (Stati Uniti d'America)
Zagreb	Zagabria
Teksas	Texas
Karolin dinò	Carolina del Nord
Karolin disid	Carolina del Sud
Manyl	Manila
Bwènozè	Buenos Aires
Meksiko	Città del Messico
Tokyo	Tokyo
La Paz	La Paz
Zannanna	Ananas comosus
Misisipi (eta)	Mississippi
Misisipi (rivyè)	Mississippi (fiume)
Tenèsi	Tennessee
Abou Dabi	Abu Dhabi
Astana	Astana
Nou Meksiko	Nuovo Messico
Atèn	Atene
Minesota	Minnesota
Bagdad	Baghdad
Karakas	Caracas
Wiskonnsenn	Wisconsin
Ayowa	Iowa
Nebraska	Nebraska
Siwdad	Città del Guatemala
Kènsas	Kansas
La Avàn	L'Avana
Misouri (eta)	Missouri
Georg Ohm	Georg Ohm
Lwiziana	Louisiana
Luigi Galvani	Luigi Galvani
Kèntòki	Kentucky
Akennsas (eta)	Arkansas
Neil Armstrong	Neil Armstrong
Oklawoma	Oklahoma
Volebòl	Pallavolo
Vyèn	Vienna
Kopènag	Copenaghen
Stokolm	Stoccolma
Èlzinki	Helsinki
Diblin	Dublino
Rèkyavik	Reykjavík
Talin	Tallinn
Riga	Riga
Bratislava	Bratislava
Boudapès	Budapest
Gdańsk	Danzica
Frankfurt	Francoforte sul Meno
Lantàn	Lantanio
Samaryòm	Samario
Gadolinyòm	Gadolinio
Liksanbou (kapital)	Lussemburgo (città)
Vadouz	Vaduz
Bib	Bibbia
Sen Maren (kapital)	Città di San Marino
Phnom Penh	Phnom Penh
Hô-Chi-Minh-Vil	Ho Chi Minh (città)
Litesyòm	Lutezio
Anòy	Hanoi
Legliz de Vre Jezi	Vera Chiesa di Gesù
Angle	Lingua inglese
Bangkok	Bangkok
Andò-la-Vyèy	Andorra la Vella
Kouala Loumpou	Kuala Lumpur
Taypè	Taipei
Amerisyòm	Americio
Dong Hoi	Dong Hoi
Concepción, Chili	Concepción (Cile)
Bèkelyòm	Berkelio
Kalifònyòm	Californio
Achtaynyòm	Einsteinio
Fèmyòm	Fermio
Kyèv	Kiev
Nobèlyòm	Nobelio
Otawa	Ottawa
Erevàn	Erevan
Końskowola	Końskowola
Kartoum	Khartum
2000 (almanak gregoryen)	2000
2003 (almanak gregoryen)	2003
2002 (almanak gregoryen)	2002
2001 (almanak gregoryen)	2001
2012 (almanak gregoryen)	2012
2011 (almanak gregoryen)	2011
2010 (almanak gregoryen)	2010
2009 (almanak gregoryen)	2009
Dyoksid kabòn	Anidride carbonica
2008 (almanak gregoryen)	2008
2004 (almanak gregoryen)	2004
2005 (almanak gregoryen)	2005
Dragon Ball	Dragon Ball
2006 (almanak gregoryen)	2006
2007 (almanak gregoryen)	2007
Monoksid kabòn	Monossido di carbonio
1900 (almanak gregoryen)	1900
1901 (almanak gregoryen)	1901
1902 (almanak gregoryen)	1902
1903 (almanak gregoryen)	1903
1904 (almanak gregoryen)	1904
1905 (almanak gregoryen)	1905
1907 (almanak gregoryen)	1907
1906 (almanak gregoryen)	1906
1908 (almanak gregoryen)	1908
1909 (almanak gregoryen)	1909
1992 (almanak gregoryen)	1992
1991 (almanak gregoryen)	1991
1990 (almanak gregoryen)	1990
1993 (almanak gregoryen)	1993
1994 (almanak gregoryen)	1994
1995 (almanak gregoryen)	1995
1996 (almanak gregoryen)	1996
1910 (almanak gregoryen)	1910
1911 (almanak gregoryen)	1911
1912 (almanak gregoryen)	1912
1913 (almanak gregoryen)	1913
1914 (almanak gregoryen)	1914
1915 (almanak gregoryen)	1915
1916 (almanak gregoryen)	1916
1997 (almanak gregoryen)	1997
1998 (almanak gregoryen)	1998
1999 (almanak gregoryen)	1999
1917 (almanak gregoryen)	1917
1918 (almanak gregoryen)	1918
Koulèv	Serpentes
1e janvye	1º gennaio
2 janvye	2 gennaio
1920 (almanak gregoryen)	1920
3 janvye	3 gennaio
1919 (almanak gregoryen)	1919
1921 (almanak gregoryen)	1921
1922 (almanak gregoryen)	1922
4 janvye	4 gennaio
1923 (almanak gregoryen)	1923
1924 (almanak gregoryen)	1924
5 janvye	5 gennaio
Arica	Arica
6 janvye	6 gennaio
Elektwon	Elettrone
7 janvye	7 gennaio
8 janvye	8 gennaio
9 janvye	9 gennaio
10 janvye	10 gennaio
11 janvye	11 gennaio
12 janvye	12 gennaio
13 janvye	13 gennaio
14 janvye	14 gennaio
15 janvye	15 gennaio
16 janvye	16 gennaio
17 janvye	17 gennaio
18 janvye	18 gennaio
19 janvye	19 gennaio
20 janvye	20 gennaio
21 janvye	21 gennaio
22 janvye	22 gennaio
23 janvye	23 gennaio
24 janvye	24 gennaio
25 janvye	25 gennaio
Minsk	Minsk
26 janvye	26 gennaio
Microsoft	Microsoft
27 janvye	27 gennaio
28 janvye	28 gennaio
29 janvye	29 gennaio
30 janvye	30 gennaio
31 janvye	31 gennaio
Pwoton	Protone
2 desanm	2 dicembre
1e desanm	1º dicembre
3 desanm	3 dicembre
7 desanm	7 dicembre
5 desanm	5 dicembre
8 desanm	8 dicembre
10 desanm	10 dicembre
6 desanm	6 dicembre
9 desanm	9 dicembre
4 desanm	4 dicembre
1e fevriye	1º febbraio
2 fevriye	2 febbraio
3 fevriye	3 febbraio
Kurów (vil)	Kurów
4 fevriye	4 febbraio
5 fevriye	5 febbraio
6 fevriye	6 febbraio
7 fevriye	7 febbraio
8 fevriye	8 febbraio
9 fevriye	9 febbraio
10 fevriye	10 febbraio
Chimi	Chimica
14 fevriye	14 febbraio
13 fevriye	13 febbraio
15 fevriye	15 febbraio
11 fevriye	11 febbraio
12 fevriye	12 febbraio
19 fevriye	19 febbraio
17 fevriye	17 febbraio
16 fevriye	16 febbraio
18 fevriye	18 febbraio
20 fevriye	20 febbraio
Netwon	Neutrone
21 fevriye	21 febbraio
22 fevriye	22 febbraio
23 fevriye	23 febbraio
24 fevriye	24 febbraio
25 fevriye	25 febbraio
26 fevriye	26 febbraio
27 (almanak jilyen)	27
27 fevriye	27 febbraio
28 fevriye	28 febbraio
11 desanm	11 dicembre
29 fevriye	29 febbraio
12 desanm	12 dicembre
13 desanm	13 dicembre
14 desanm	14 dicembre
15 desanm	15 dicembre
2 mas	2 marzo
3 mas	3 marzo
5 mas	5 marzo
1e mas	1º marzo
7 mas	7 marzo
8 mas	8 marzo
4 mas	4 marzo
10 mas	10 marzo
11 mas	11 marzo
6 mas	6 marzo
13 mas	13 marzo
9 mas	9 marzo
12 mas	12 marzo
15 mas	15 marzo
14 mas	14 marzo
16 desanm	16 dicembre
17 desanm	17 dicembre
16 mas	16 marzo
17 mas	17 marzo
18 mas	18 marzo
19 mas	19 marzo
1989 (almanak gregoryen)	1989
1988 (almanak gregoryen)	1988
20 mas	20 marzo
1987 (almanak gregoryen)	1987
1986 (almanak gregoryen)	1986
1985 (almanak gregoryen)	1985
1984 (almanak gregoryen)	1984
21 mas	21 marzo
1983 (almanak gregoryen)	1983
22 mas	22 marzo
1982 (almanak gregoryen)	1982
1981 (almanak gregoryen)	1981
18 desanm	18 dicembre
1980 (almanak gregoryen)	1980
23 mas	23 marzo
Moukdicho	Mogadiscio
19 desanm	19 dicembre
24 mas	24 marzo
25 mas	25 marzo
20 desanm	20 dicembre
26 mas	26 marzo
27 mas	27 marzo
28 mas	28 marzo
29 mas	29 marzo
30 mas	30 marzo
31 mas	31 marzo
Naso	Nassau
Sanaa	Sana’a
1970 (almanak gregoryen)	1970
1971 (almanak gregoryen)	1971
1972 (almanak gregoryen)	1972
1973 (almanak gregoryen)	1973
1974 (almanak gregoryen)	1974
1975 (almanak gregoryen)	1975
1976 (almanak gregoryen)	1976
1977 (almanak gregoryen)	1977
1978 (almanak gregoryen)	1978
1979 (almanak gregoryen)	1979
1969 (almanak gregoryen)	1969
Tarawa	Tarawa
Benwa XVI	Papa Benedetto XVI
15 avril	15 aprile
13 avril	13 aprile
12 avril	12 aprile
14 avril	14 aprile
11 avril	11 aprile
10 avril	10 aprile
8 avril	8 aprile
9 avril	9 aprile
7 avril	7 aprile
6 avril	6 aprile
5 avril	5 aprile
4 avril	4 aprile
3 avril	3 aprile
1e avril	1º aprile
2 avril	2 aprile
16 avril	16 aprile
17 avril	17 aprile
18 avril	18 aprile
19 avril	19 aprile
20 avril	20 aprile
21 avril	21 aprile
22 avril	22 aprile
23 avril	23 aprile
24 avril	24 aprile
25 avril	25 aprile
26 avril	26 aprile
27 avril	27 aprile
28 avril	28 aprile
29 avril	29 aprile
30 avril	30 aprile
Satelit	Satellite naturale
1e me	1º maggio
2 me	2 maggio
3 me	3 maggio
4 me	4 maggio
5 me	5 maggio
6 me	6 maggio
7 me	7 maggio
8 me	8 maggio
9 me	9 maggio
10 me	10 maggio
11 me	11 maggio
12 me	12 maggio
13 me	13 maggio
14 me	14 maggio
15 me	15 maggio
16 me	16 maggio
17 me	17 maggio
18 me	18 maggio
19 me	19 maggio
20 me	20 maggio
21 me	21 maggio
22 me	22 maggio
23 me	23 maggio
24 me	24 maggio
25 me	25 maggio
26 me	26 maggio
27 me	27 maggio
28 me	28 maggio
29 me	29 maggio
30 me	30 maggio
31 me	31 maggio
21 desanm	21 dicembre
14 jen	14 giugno
15 jen	15 giugno
13 jen	13 giugno
10 jen	10 giugno
7 jen	7 giugno
11 jen	11 giugno
9 jen	9 giugno
12 jen	12 giugno
6 jen	6 giugno
8 jen	8 giugno
5 jen	5 giugno
3 jen	3 giugno
2 jen	2 giugno
1e jen	1º giugno
4 jen	4 giugno
22 desanm	22 dicembre
1968 (almanak gregoryen)	1968
1967 (almanak gregoryen)	1967
1966 (almanak gregoryen)	1966
1965 (almanak gregoryen)	1965
1964 (almanak gregoryen)	1964
16 jen	16 giugno
30 jen	30 giugno
29 jen	29 giugno
28 jen	28 giugno
26 jen	26 giugno
25 jen	25 giugno
22 jen	22 giugno
27 jen	27 giugno
24 jen	24 giugno
20 jen	20 giugno
23 jen	23 giugno
19 jen	19 giugno
18 jen	18 giugno
21 jen	21 giugno
17 jen	17 giugno
23 desanm	23 dicembre
15 jiyè	15 luglio
13 jiyè	13 luglio
12 jiyè	12 luglio
10 jiyè	10 luglio
9 jiyè	9 luglio
14 jiyè	14 luglio
8 jiyè	8 luglio
7 jiyè	7 luglio
6 jiyè	6 luglio
5 jiyè	5 luglio
2 jiyè	2 luglio
4 jiyè	4 luglio
3 jiyè	3 luglio
1e jiyè	1º luglio
11 jiyè	11 luglio
24 desanm	24 dicembre
31 jiyè	31 luglio
30 jiyè	30 luglio
29 jiyè	29 luglio
28 jiyè	28 luglio
27 jiyè	27 luglio
25 jiyè	25 luglio
24 jiyè	24 luglio
23 jiyè	23 luglio
26 jiyè	26 luglio
22 jiyè	22 luglio
19 jiyè	19 luglio
21 jiyè	21 luglio
20 jiyè	20 luglio
17 jiyè	17 luglio
18 jiyè	18 luglio
16 jiyè	16 luglio
Foutbòl	Calcio (sport)
25 desanm	25 dicembre
1963 (almanak gregoryen)	1963
Lech Kaczynski	Lech Kaczyński
26 desanm	26 dicembre
1962 (almanak gregoryen)	1962
14 out	14 agosto
15 out	15 agosto
13 out	13 agosto
12 out	12 agosto
11 out	11 agosto
10 out	10 agosto
8 out	8 agosto
7 out	7 agosto
9 out	9 agosto
5 out	5 agosto
4 out	4 agosto
2 out	2 agosto
3 out	3 agosto
6 out	6 agosto
1e out	1º agosto
27 desanm	27 dicembre
Madrid	Madrid
16 out	16 agosto
29 out	29 agosto
28 out	28 agosto
30 out	30 agosto
25 out	25 agosto
26 out	26 agosto
23 out	23 agosto
27 out	27 agosto
21 out	21 agosto
20 out	20 agosto
24 out	24 agosto
18 out	18 agosto
17 out	17 agosto
22 out	22 agosto
19 out	19 agosto
31 out	31 agosto
Michael Jackson	Michael Jackson
28 desanm	28 dicembre
Bogota	Bogotá
Brazilia	Brasilia
15 septanm	15 settembre
14 septanm	14 settembre
13 septanm	13 settembre
12 septanm	12 settembre
8 septanm	8 settembre
11 septanm	11 settembre
7 septanm	7 settembre
10 septanm	10 settembre
5 septanm	5 settembre
4 septanm	4 settembre
9 septanm	9 settembre
2 septanm	2 settembre
6 septanm	6 settembre
1e septanm	1º settembre
3 septanm	3 settembre
29 desanm	29 dicembre
Lima	Lima
30 septanm	30 settembre
29 septanm	29 settembre
28 septanm	28 settembre
27 septanm	27 settembre
26 septanm	26 settembre
25 septanm	25 settembre
Santyago	Santiago del Cile
23 septanm	23 settembre
22 septanm	22 settembre
24 septanm	24 settembre
21 septanm	21 settembre
20 septanm	20 settembre
18 septanm	18 settembre
17 septanm	17 settembre
19 septanm	19 settembre
16 septanm	16 settembre
Kito	Quito
30 desanm	30 dicembre
Sik	Sucre (città)
31 desanm	31 dicembre
1e oktòb	1º ottobre
15 oktòb	15 ottobre
12 oktòb	12 ottobre
10 oktòb	10 ottobre
14 oktòb	14 ottobre
9 oktòb	9 ottobre
8 oktòb	8 ottobre
13 oktòb	13 ottobre
7 oktòb	7 ottobre
11 oktòb	11 ottobre
6 oktòb	6 ottobre
4 oktòb	4 ottobre
5 oktòb	5 ottobre
3 oktòb	3 ottobre
2 oktòb	2 ottobre
Asounsyòn	Asunción
Kabrit	Capra hircus
31 oktòb	31 ottobre
30 oktòb	30 ottobre
29 oktòb	29 ottobre
28 oktòb	28 ottobre
26 oktòb	26 ottobre
25 oktòb	25 ottobre
24 oktòb	24 ottobre
27 oktòb	27 ottobre
22 oktòb	22 ottobre
23 oktòb	23 ottobre
20 oktòb	20 ottobre
21 oktòb	21 ottobre
19 oktòb	19 ottobre
17 oktòb	17 ottobre
16 oktòb	16 ottobre
18 oktòb	18 ottobre
15 novanm	15 novembre
14 novanm	14 novembre
13 novanm	13 novembre
12 novanm	12 novembre
11 novanm	11 novembre
10 novanm	10 novembre
7 novanm	7 novembre
8 novanm	8 novembre
9 novanm	9 novembre
6 novanm	6 novembre
5 novanm	5 novembre
4 novanm	4 novembre
3 novanm	3 novembre
2 novanm	2 novembre
1e novanm	1º novembre
Paramaribo	Paramaribo
30 novanm	30 novembre
29 novanm	29 novembre
28 novanm	28 novembre
27 novanm	27 novembre
26 novanm	26 novembre
