আফ্রিকা	Africa
গায়ানা	Guyana
শিল্প	Arte
ইকুয়েডর	Ecuador
রিনিয়াম	Renio
কলম্বিয়া	Colombia
কোবাল্ট	Cobalto
টাংস্টেন	Tungsteno
নিকেল	Nichel
বৌদ্ধ ধর্ম	Buddhismo
খ্রোনিঙেন	Groninga
বলিভিয়া	Bolivia
অসমিয়াম	Osmio
তামা	Rame
ত্রিনিদাদ ও টোবাগো	Trinidad e Tobago
পল ভের্লেন	Paul Verlaine
উদ্ভিদ	Plantæ
সেন্ট ভিনসেন্ট ও গ্রেনাডাইন দ্বীপপুঞ্জ	Saint Vincent e Grenadine
দস্তা	Zinco
নিউ হ্যাম্প্‌শায়ার	New Hampshire
সেন্ট লুসিয়া	Santa Lucia (Stato)
লিওনার্দো দা ভিঞ্চি	Leonardo da Vinci
সেন্ট কিট্‌স ও নেভিস	Saint Kitts e Nevis
ছত্রাক	Fungi
জামাইকা	Giamaica
গ্রেনাডা	Grenada
ম্যাসাচুসেট্‌স	Massachusetts
গুয়াতেমালা	Guatemala
গুগল ক্রোম	Google Chrome
বাহামা দ্বীপপুঞ্জ	Bahamas
কানেটিকাট	Connecticut
মুরগি	Gallus gallus domesticus
অ্যান্টিগুয়া ও বার্বুডা	Antigua e Barbuda
হাওয়াই	Hawaii
হন্ডুরাস	Honduras
ডোমিনিকা	Dominica
ডোমিনিকান প্রজাতন্ত্র	Repubblica Dominicana
শূকর	Sus scrofa domesticus
উত্তর মহাসাগর	Mar Glaciale Artico
হাইতি	Haiti
এল সালভাদোর	El Salvador
ইরান	Iran
ইরাক	Iraq
আলাস্কা	Alaska
কোস্টা রিকা	Costa Rica
ইসরায়েল	Israele
পানামা	Panamá
ইয়েমেন	Yemen
লোজান	Losanna
ভাইরাস	Virus (biologia)
পোলীয় ভাষা	Lingua polacca
জর্দান	Giordania
নিকারাগুয়া	Nicaragua
ফ্লোরিডা	Florida
কিরগিজিস্তান	Kirghizistan
অ্যারিজোনা	Arizona
কুয়েত	Kuwait
লাওস	Laos
লেবানন	Libano
অরেগন	Oregon
মালদ্বীপ	Maldive
আমেরিকা অঞ্চল	America
ইউটা	Utah
গরু	Bos taurus
মালয়েশিয়া	Malesia
মায়ানমার	Birmania
নেপাল	Nepal
ওমান	Oman
পাকিস্তান	Pakistan
কাতার	Qatar
টেনিস	Tennis
আর্তুরো আলেস্‌সান্দ্রি	Arturo Alessandri Palma
সৌদি আরব	Arabia Saudita
আন্দ্রেই তার্কভ্‌স্কি	Andrej Arsen'evič Tarkovskij
শ্রীলঙ্কা	Sri Lanka
ইওসিফ স্তালিন	Iosif Stalin
সিরিয়া	Siria
প্লেটো	Platone
গ্যালিয়াম	Gallio (elemento chimico)
জোসেফ ব্রডস্কি	Iosif Aleksandrovič Brodskij
তাজিকিস্তান	Tagikistan
পোকেমন	Pokémon
তাইওয়ান	Taiwan
ইউটিউব	YouTube
জার্মেনিয়াম	Germanio
এরিস্টটল	Aristotele
থাইল্যান্ড	Thailandia
রেলগাড়ি	Treno
আর্সেনিক	Arsenico
বেতার	Radio (elettronica)
মেরিল স্ট্রিপ	Meryl Streep
তুর্কমেনিস্তান	Turkmenistan
সেলেনিয়াম	Selenio
ইরিডিয়াম	Iridio
সংযুক্ত আরব আমিরাত	Emirati Arabi Uniti
ব্রোমিন	Bromo
প্লাটিনাম	Platino
ভিয়েতনাম	Vietnam
চার্লি চ্যাপলিন	Charlie Chaplin
দক্ষিণ কোরিয়া	Corea del Sud
দ্য সিম্পসন্‌স	I Simpson
ইয়েকাতেরিনবুর্গ	Ekaterinburg
ক্রিপ্টন	Kripton
আফগানিস্তান	Afghanistan
গ্যাংনাম স্টাইল	Gangnam Style
জে. আর. আর. টলকিন	J. R. R. Tolkien
রুবিডিয়াম	Rubidio
সোনা	Oro
সুয়েজ খাল	Canale di Suez
বিজ্ঞানী	Scienziato
বাংলাদেশ	Bangladesh
ফ্রান্‌ৎস কাফকা	Franz Kafka
চেলিয়াবিন্‌স্ক	Čeljabinsk
হোর্হে লুইস বোর্হেস	Jorge Luis Borges
মালি	Mali
সক্রেটিস	Socrate
অ্যাঙ্গোলা	Angola
ভূটান	Bhutan
টুইটার	Twitter
ব্রুনাই	Brunei
তানজানিয়া	Tanzania
পারদ (মৌল)	Mercurio (elemento chimico)
রুয়াল আমুনসেন	Roald Amundsen
ফিলিপাইন	Filippine
মধ্য আফ্রিকান প্রজাতন্ত্র	Repubblica Centrafricana
থ্যালিয়াম	Tallio
দক্ষিণ মেরু	Polo sud
উত্তর মেরু	Polo nord
আইজাক নিউটন	Isaac Newton
আলবার্ট আইনস্টাইন	Albert Einstein
স্ট্রনশিয়াম	Stronzio
ব্রাজিলের প্রথম পেদ্রো	Pietro I del Brasile
নেশাদায়ক পদার্থ	Narcotico
ইট্রিয়াম	Ittrio
বিসমাথ	Bismuto
হলুদ (বর্ণ)	Giallo
কোয়ান্টাম বলবিজ্ঞান	Meccanica quantistica
টোগো	Togo
তিউনিসিয়া	Tunisia
জন বারডিন	John Bardeen
জাম্বিয়া	Zambia
জিম্বাবুয়ে	Zimbabwe
বেইজিং	Pechino
দক্ষিণ সুদান	Sudan del Sud
বেনিন	Benin
বতসোয়ানা	Botswana
উইকিসংবাদ	Wikinotizie
বুর্কিনা ফাসো	Burkina Faso
বুরুন্ডি	Burundi
কোমোরোস	Comore
কঙ্গো প্রজাতন্ত্র	Repubblica del Congo
ওব নদী	Ob' (fiume)
গণতান্ত্রিক কঙ্গো প্রজাতন্ত্র	Repubblica Democratica del Congo
স্যান অ্যান্টোনিও	San Antonio
জিবুতি	Gibuti
পোলোনিয়াম	Polonio
বাভারিয়া	Baviera
বিষুবীয় গিনি	Guinea Equatoriale
বাডেন-ভুর্টেমবার্গ	Baden-Württemberg
ইরিত্রিয়া	Eritrea
নতুন দিল্লি	Nuova Delhi
ফিওদোর দস্তয়েভ্‌স্কি	Fëdor Dostoevskij
কামচাতকা উপদ্বীপ	Kamčatka
তিবি‌লিসি	Tbilisi
আন্দ্রে শাখারভ	Andrej Dmitrievič Sacharov
এস্টাটিন	Astato
গাবন	Gabon
মোহনদাস করমচাঁদ গান্ধী	Mahatma Gandhi
গাম্বিয়া	Gambia
গিনি	Guinea
গিনি-বিসাউ	Guinea-Bissau
কোত দিভোয়ার	Costa d'Avorio
ক্যামেরুন	Camerun
কেপ ভার্দ	Capo Verde
লেসোথো	Lesotho
লাইবেরিয়া	Liberia
লিবিয়া	Libia
মাদাগাস্কার	Madagascar
মালাউই	Malawi
স্টুটগার্ট	Stoccarda
মৌরিতানিয়া	Mauritania
মরিশাস	Mauritius
মরোক্কো	Marocco
মোজাম্বিক	Mozambico
নামিবিয়া	Namibia
নাইজার	Niger
নাইজেরিয়া	Nigeria
চার্লস ডারউইন	Charles Darwin
উগান্ডা	Uganda
রুয়ান্ডা	Ruanda
জারকোনিয়াম	Zirconio
সাঁউ তুমি ও প্রিন্সিপি	São Tomé e Príncipe
সেনেগাল	Senegal
সেশেল	Seychelles
কার্ল লিনিয়াস	Linneo
সিয়েরা লিওন	Sierra Leone
সোমালিয়া	Somalia
নাইওবিয়াম	Niobio
জওহরলাল নেহ্‌রু	Jawaharlal Nehru
জুলিয়াস সিজার	Gaio Giulio Cesare
সুদান	Sudan
সোয়াজিল্যান্ড	Swaziland
রংধনু	Arcobaleno
মলিবডিনাম	Molibdeno
টেকনিসিয়াম	Tecnezio
হামবুর্গ	Amburgo
বিপাক	Metabolismo
নরেন্দ্র মোদী	Narendra Modi
গুজরাত	Gujarat
বিবর্তন	Evoluzione
জাতিসংঘ	Organizzazione delle Nazioni Unite
লেক সুপিরিয়র	Lago Superiore
দান্তে আলিগিয়েরি	Dante Alighieri
আহমেদাবাদ	Ahmedabad
ভূগোল	Geografia
হৃৎপিণ্ড	Cuore umano
মস্তিষ্ক	Cervello
ত্বক	Pelle
রঙ	Colore
বিশেষ্য	Sostantivo
প্রাগ	Praga
রুথেনিয়াম	Rutenio
রোহডিয়াম	Rodio
নীল (বর্ণ)	Blu
প্যালাডিয়াম	Palladio (elemento chimico)
রূপা	Argento
ক্যাডমিয়াম	Cadmio
স্টার ট্রেক	Star Trek
ইন্ডিয়াম	Indio
টিন	Stagno (elemento chimico)
ইউরেনিয়াম	Uranio
অ্যান্টিমনি	Antimonio
টেলুরিয়াম	Tellurio
প্লুটোনিয়াম	Plutonio
আয়োডিন	Iodio
নেপচুনিয়াম	Nettunio
জেনন	Xeno
আনিমে	Anime
সিজিয়াম	Cesio (elemento chimico)
প্রোটেক্টিনিয়াম	Protoattinio
বৈদ্যুতিক আধান	Carica elettrica
বেরিয়াম	Bario
থোরিয়াম	Torio
হ্যাফনিয়াম	Afnio
অ্যাক্টিনিয়াম	Attinio
ট্যানটালাম	Tantalio
বিল ক্লিনটন	Bill Clinton
রেডিয়াম	Radio (elemento chimico)
রেডন	Radon
লোরেন	Lorena (regione francese)
আল্‌জাস	Alsazia
ইন্দিরা গান্ধী	Indira Gandhi
মারকিউরি	Mercurio (divinità)
ওভের্ন	Alvernia
মুম্বই	Mumbai
আন্তর্জাতিক অ্যাথলেটিক্স ফেডারেশন	International Association of Athletics Federations
অন্ধ্রপ্রদেশ	Andhra Pradesh
অরুণাচল প্রদেশ	Arunachal Pradesh
অসম	Assam
বিহার	Bihar
মিশিগান	Michigan
ছত্তীসগঢ়	Chhattisgarh
লেক মিশিগান	Lago Michigan
গোয়া	Goa
বুর্‌গোইন	Borgogna
হরিয়াণা	Haryana
হিমাচল প্রদেশ	Himachal Pradesh
আকিতেন	Aquitania
জম্মু ও কাশ্মীর	Jammu e Kashmir
পুয়ের্তো রিকো	Porto Rico
ঝাড়খণ্ড	Jharkhand
কর্ণাটক	Karnataka
কেরল	Kerala
মধ্যপ্রদেশ	Madhya Pradesh
উসেইন বোল্ট	Usain Bolt
মহারাষ্ট্র	Maharashtra
মণিপুর	Manipur
শ্লেসভিগ-হোলস্টাইন	Schleswig-Holstein
মেঘালয়	Meghalaya
মেকলেনবুর্গ-ভোপোমান	Meclemburgo-Pomerania Anteriore
নিডারজাখসেন	Bassa Sassonia
নর্থ রিনে-ভেস্টফালিয়া	Renania Settentrionale-Vestfalia
হেসে	Assia
রিনেল্যান্ড-প্যালাটিনাটা	Renania-Palatinato
জারল্যান্ড	Saarland
জ্যাক্সোনি	Sassonia
জন লেনন	John Lennon
ইলিনয়	Illinois
থুরিনগিয়া	Turingia
জ্যাক্সোনি-আনহাল্ট	Sassonia-Anhalt
নর্থ ডাকোটা	Dakota del Nord
ব্র্যান্ডেনবুর্গ	Brandeburgo
সাউথ ডাকোটা	Dakota del Sud
মন্টানা	Montana
ওয়াইয়োমিং	Wyoming
জেরুসালেম	Gerusalemme
জর্জো নেপোলিতানো	Giorgio Napolitano
আইডাহো	Idaho
ওয়াশিংটন (অঙ্গরাজ্য)	Washington (stato)
কার্লো আজেলিও চিয়াম্পি	Carlo Azeglio Ciampi
রাদারফোর্ডিয়াম	Rutherfordio
নেভাডা	Nevada
ডুবনিয়াম	Dubnio
সিবোরজিয়াম	Seaborgio
ভারত মহাসাগর	Oceano Indiano
কসোভো	Kosovo
ক্যারিবীয় সাগর	Mare Caraibico
বোহরিয়াম	Bohrio
হ্যাসিয়াম	Hassio
বান কি মুন	Ban Ki-moon
কোফি আন্নান	Kofi Annan
বুত্রোস বুত্রোস গালি	Boutros Boutros-Ghali
মিটনেরিয়াম	Meitnerio
হাভিয়ের পেরেজ ডে কুয়েইয়ার	Javier Pérez de Cuéllar Guerra
কার্ট ওয়াল্ডহেইম	Kurt Waldheim
কলোরাডো	Colorado
উ থান্ট	U Thant
ডার্মস্টেটিয়াম	Darmstadtio
দগ হামারহোল্ড	Dag Hammarskjöld
ফ্রেদেরিক শোপাঁ	Fryderyk Chopin
ট্রিগভে হাভডেন লি	Trygve Lie
রন্টজেনিয়াম	Roentgenio
