Африк	Africa
Суэцийн суваг	Canale di Suez
Казань	Kazan'
Бангладеш	Bangladesh
Блич	Bleach (manga)
Франц Кафка	Franz Kafka
Челябинск	Čeljabinsk
Донын Ростов	Rostov sul Don
Уфа	Ufa (Russia)
Мали	Mali
Сократ	Socrate
Волгоград	Volgograd
Ангол	Angola
Пермь	Perm'
Бутан	Bhutan
Твиттер	Twitter
Красноярск	Krasnojarsk
Бруней	Brunei
Танзани	Tanzania
Мөнгөн ус	Mercurio (elemento chimico)
Филиппин	Filippine
Үзүмаки Нарүто	Naruto Uzumaki
Өмнөд туйл	Polo sud
Умард туйл	Polo nord
Исаак Ньютон	Isaac Newton
Альберт Эйнштейн	Albert Einstein
Иттри	Ittrio
Висмут	Bismuto
Квант механик	Meccanica quantistica
Дональд Туск	Donald Tusk
Тунис	Tunisia
Жон Бардин	John Bardeen
Замби	Zambia
Зимбабве	Zimbabwe
Бээжин	Pechino
Владивосток	Vladivostok
Бүгд Найрамдах Тува Улс	Tuva
Бенин	Benin
Ботсвана	Botswana
Бурунди	Burundi
Бүгд Найрамдах Конго Улс	Repubblica del Congo
Обь	Ob' (fiume)
Бүгд Найрамдах Ардчилсан Конго Улс	Repubblica Democratica del Congo
Полони	Polonio
Бавар	Baviera
Баден-Вюртемберг	Baden-Württemberg
Эритрей	Eritrea
Шинэ Дели	Nuova Delhi
II Иоанн Павел	Papa Giovanni Paolo II
Фёдор Достоевский	Fëdor Dostoevskij
Камчаткын хойг	Kamčatka
Тбилис	Tbilisi
Андрей Сахаров	Andrej Dmitrievič Sacharov
Астат	Astato
Габон	Gabon
Махатма Ганди	Mahatma Gandhi
Чукотын хойг	Penisola dei Ciukci
Комикс	Fumetto
Гамби	Gambia
Гвиней	Guinea
Кот д'Ивуар	Costa d'Avorio
Камерун	Camerun
Лесото	Lesotho
Ливи	Libia
Ахен	Aquisgrana
Мадагаскар	Madagascar
Малави	Malawi
Штутгарт	Stoccarda
Мавритан	Mauritania
Марокко	Marocco
Мозамбик	Mozambico
Намиби	Namibia
Нигер	Niger
Нигери	Nigeria
Чарльз Дарвин	Charles Darwin
Уганда	Uganda
Руанда	Ruanda
Циркони	Zirconio
Карлсруэ	Karlsruhe
Сенегал	Senegal
Карл Линней	Linneo
Сьерра-Леоне	Sierra Leone
Сомали	Somalia
Жавахарлал Неру	Jawaharlal Nehru
Юлий Цезарь	Gaio Giulio Cesare
Судан	Sudan
Свазиланд	Swaziland
Солонго	Arcobaleno
Молибден	Molibdeno
Бодисын солилцоо	Metabolismo
Онтарио нуур	Lago Ontario
Эволюци	Evoluzione
Нэгдсэн Үндэстний Байгууллага	Organizzazione delle Nazioni Unite
Данте Алигери	Dante Alighieri
Геологи	Geologia
Ахмадабад	Ahmedabad
Газарзүй	Geografia
Зүрх	Cuore umano
Тархи	Cervello
Арьс	Pelle
Өнгө	Colore
Нэр үг	Sostantivo
Прага	Praga
Роди	Rodio
Мөнгө (химийн элемент)	Argento
Уран (химийн элемент)	Uranio
Умар Брабант	Brabante Settentrionale
Плутони	Plutonio
Анимэ	Anime
Цахилгаан цэнэг	Carica elettrica
Бари	Bario
Тори	Torio
Актини	Attinio
Билл Клинтон	Bill Clinton
Индира Ганди	Indira Gandhi
Гектор Берлиоз	Hector Berlioz
Мумбай	Mumbai
Андра Прадеш	Andhra Pradesh
Бихар	Bihar
Мичиган	Michigan
Аквитан муж	Aquitania
Жарканд	Jharkhand
Карнатака	Karnataka
Мадхья-Прадеш	Madhya Pradesh
Усэйн Болт	Usain Bolt
Лимузен	Limosino
Махараштра	Maharashtra
Мекленбург – Өрнө Померан	Meclemburgo-Pomerania Anteriore
Доор Саксон	Bassa Sassonia
Хессен	Assia
Жон Леннон	John Lennon
Иллиной	Illinois
Саксон-Анхальт	Sassonia-Anhalt
Хойд Дакота	Dakota del Nord
Бранденбург	Brandeburgo
Бремен муж	Brema (stato)
Ломбард муж	Lombardia
Өмнөд Дакота	Dakota del Sud
Вайоминг	Wyoming
Иерусалим	Gerusalemme
Жиоржио Наполитано	Giorgio Napolitano
Айдахо	Idaho
Вашингтон Муж Улс	Washington (stato)
Невада	Nevada
Энэтхэгийн далай	Oceano Indiano
Энрико Де Никола	Enrico De Nicola
Косово	Kosovo
Карибын тэнгис	Mare Caraibico
Хасси	Hassio
Кофи Аннан	Kofi Annan
Колорадо	Colorado
У Тант	U Thant
Колорадо мөрөн	Colorado (Colorado)
Даг Хаммаршёлд	Dag Hammarskjöld
Фредерик Шопен	Fryderyk Chopin
Леонард Коэн	Leonard Cohen
Ангилал:Тулгуур	Categoria:Categorie
Лацио муж	Lazio
Альпийн нуруу	Alpi
Блез Паскаль	Blaise Pascal
Зуун буудалт даам	Dama
Дортмунд	Dortmund
Гент	Gand
Чикаго	Chicago
The Beatles	The Beatles
Маастрихт	Maastricht
Арнем	Arnhem
Өвөл	Inverno
Зун	Estate
Осама бен Ладен	Osama bin Laden
Испани хэл	Lingua spagnola
Фридрих Хаек	Friedrich von Hayek
Иоганн Себастьян Бах	Johann Sebastian Bach
Антонио Вивальди	Antonio Vivaldi
Тольятти	Togliatti (città)
Дуурь	Opera
Филадельфия	Filadelfia (Stati Uniti d'America)
Калькутта	Calcutta
Ченнай	Chennai
Дели	Delhi
Дакка	Dacca
Үет хөлтөн	Arthropoda
Исламабад	Islamabad
Трипура	Tripura
Жимс	Frutto
Мөнгө	Denaro
Виржини	Virginia
Баруун Виржини	Virginia Occidentale
Нью-Йорк Муж Улс	New York (Stato)
Рөүд-Айленд	Rhode Island
Шавьж	Insecta
Мэрилэнд	Maryland
Делавар	Delaware
Владимир Ильич Ленин	Lenin
Охайо	Ohio
Вергилий	Publio Virgilio Marone
Пеннсилвани	Pennsylvania
Итерзен	Uetersen
Август Цезарь	Augusto
Windows	Microsoft Windows
Тибериус	Tiberio
Калигула	Caligola
Гибралтар	Gibilterra
Клавдий	Claudio
Индиана муж	Indiana
Автомашин	Autovettura
Ювентус	Juventus Football Club
Траян	Traiano
Рожер Федерер	Roger Federer
Жоржиа	Georgia (Stati Uniti d'America)
Антонини Пи	Antonino Pio
Марк Аврелий	Marco Aurelio
Загреб	Zagabria
Техас	Texas
Каракалла	Caracalla
Генуя	Genova
Зүлэгний хоккей	Hockey su prato
Дэлдэн зараа	Hemiechinus auritus
Манила (Манил)	Manila
Себу	Cebu
Давао	Davao
Кесон	Quezon
Калоокан	Caloocan
Корасон Акино	Corazón Aquino
Буэнос-Айрес	Buenos Aires
Мехико	Città del Messico
Токио	Tokyo
Барселон	Barcellona
Хан боргоцой	Ananas comosus
Миссиссиппи	Mississippi
Фернан Магеллан	Ferdinando Magellano
Миссисипи мөрөн	Mississippi (fiume)
Уттар Прадеш	Uttar Pradesh
Теннесси	Tennessee
Рихард Вагнер	Richard Wagner
Абижан хот	Abidjan
Абу-Даби хот	Abu Dhabi
Астана	Astana
Нью-Мексико	Nuovo Messico
Афин	Atene
Миннесота	Minnesota
Багдад	Baghdad
Каракас	Caracas
Висконсин	Wisconsin
Милан (хөлбөмбөгийн баг)	Associazione Calcio Milan
Айова	Iowa
Небраска	Nebraska
Канзас	Kansas
Гавана	L'Avana
Хинди хэл	Lingua hindi
Янжуур	Sigaretta
Миссури	Missouri
Георг Ом	Georg Ohm
Луйзиана	Louisiana
Кентакки	Kentucky
Арканзас	Arkansas
Нил Армстронг	Neil Armstrong
Урдү хэл	Lingua urdu
Чарльз Линдберг	Charles Lindbergh
Замбоанга	Zamboanga
Антиполо	Antipolo
Тагиг	Taguig
Оклахома	Oklahoma
Иохан Блэйк	Yohan Blake
Жастин Гэтлин	Justin Gatlin
Дунай мөрөн	Danubio
Уоррен Вейр	Warren Weir
Кирани Жеймс	Kirani James
Лугелин Сантос	Luguelín Santos
Найжел Амос	Nijel Amos
Тауфик Махлуфи	Taoufik Makhloufi
Мо Фарах	Mohamed Farah
Эзекиль Кембой	Ezekiel Kemboi
Жейсон Ричардсон	Jason Richardson (cestista)
Хойд тэнгис	Mare del Nord
Москва муж	Oblast' di Mosca
Неста Картер	Nesta Carter
Стивен Кипротич	Stephen Kiprotich
Подстам	Potsdam
Ханновер	Hannover
Висбаден	Wiesbaden
Мюнхен	Monaco di Baviera
Жаред Таллент	Jared Tallent
Дрезден	Dresda
Волейбол	Pallavolo
Инсбрук	Innsbruck
Мутаз Эсса Баршим	Mutaz Essa Barshim
Вена	Vienna
Рено Лавиллени	Renaud Lavillenie
Бьёрн Отто	Björn Otto
Мадонна (дуучин)	Madonna (cantante)
Копенхаген	Copenaghen
Калининград муж	Oblast' di Kaliningrad
Уилл Клэй	Will Claye
Стокгольм	Stoccolma
Давид Шторль	David Storl
Мурманск муж	Oblast' di Murmansk
Дублин	Dublino
Рига	Riga
Герд Кантер	Gerd Kanter
Кристиан Парш	Krisztián Pars
Братислав	Bratislava
Будапешт	Budapest
Эштон Итон	Ashton Eaton
Майн дахь Франкфурт	Francoforte sul Meno
Вроцлав	Breslavia
Одон орны нэгж	Unità astronomica
Аче	Aceh
Калининград	Kaliningrad
Зинедин Зидан	Zinédine Zidane
Католик	Cattolicità
Люксембург (хот)	Lussemburgo (città)
Вадуц	Vaduz
Библи	Bibbia
Пномпень	Phnom Penh
Архангельск	Arcangelo (città)
Хо Ши Мин хот	Ho Chi Minh (città)
Иттерби	Itterbio
Ханой	Hanoi
Есүс Христийн Жинхэнэ Сүм	Vera Chiesa di Gesù
Англи хэл	Lingua inglese
Бангкок	Bangkok
Андорра-ла-Велья	Andorra la Vella
Куала Лумпур	Kuala Lumpur
Тайбэй	Taipei
Америци	Americio
Одесс	Odessa
Архангельск муж	Oblast' di Arcangelo
Донгхой	Dong Hoi
Консепшон	Concepción (Cile)
Беркли	Berkelio
Мемфис Депай	Memphis Depay
Петрозаводск	Petrozavodsk
Кальяри	Cagliari
Киев	Kiev
Онтарио	Ontario
Уго Льорис	Hugo Lloris
Матьё Дебюши	Mathieu Debuchy
Адиль Рами	Adil Rami
Йоан Кабай	Yohan Cabaye
Оливье Жиру	Olivier Giroud
Карим Бензема	Karim Benzema
Флоран Малуда	Florent Malouda
Бүгд Найрамдах Карель Улс	Repubblica di Carelia
Лоран Косельни	Laurent Koscielny
Патрис Эвра	Patrice Evra
Филипп Мексес	Philippe Mexès
Фрэнк Рибери	Franck Ribéry
Матьё Вальбуэна	Mathieu Valbuena
Самир Насри	Samir Nasri
Блез Матюиди	Blaise Matuidi
Антони Ревейер	Anthony Réveillère
Жереми Менез	Jérémy Ménez
Стив Манданда	Steve Mandanda
Хатем Бен Арфа	Hatem Ben Arfa
Гаэль Клиши	Gaël Clichy
Оттава	Ottawa
Эрик Абидаль	Éric Abidal
Жибриль Сиссе	Djibril Cissé
Вильям Галлас	William Gallas
Бакари Санья	Bacary Sagna
Андре-Пьер Жиньяк	André-Pierre Gignac
Себастьен Скиллачи	Sébastien Squillaci
Абу Диаби	Abou Diaby
Жереми Тулалан	Jérémy Toulalan
Жуба	Giuba (Sudan del Sud)
Манитоба	Manitoba
Альберта	Alberta
Нова Скоша	Nuova Scozia
Ереван	Erevan
Вологда	Vologda (città)
Фрэни Шнайдер	Vreni Schneider
Консковол (хот)	Końskowola
Нью-Брансвик	Nuovo Brunswick
Бритиш Коламбиа	Columbia Britannica
Принс Эдвардын Арал	Isola del Principe Edoardo
2000 он	2000
2003 он	2003
2002 он	2002
2001 он	2001
Саскачеван	Saskatchewan
2012 он	2012
Кишимото Масаши	Masashi Kishimoto
2011 он	2011
2010 он	2010
2009 он	2009
2013 он	2013
2014 он	2014
2015 он	2015
Ньюфаундленд ба Лабрадор	Terranova e Labrador
2008 он	2008
JavaScript	JavaScript
Баруун Хойд Нутаг Дэвсгэр	Territori del Nord-Ovest
Юкон	Yukon
2004 он	2004
2005 он	2005
2006 он	2006
Нунавут	Nunavut
2007 он	2007
1900 он	1900
1901 он	1901
Шарль де Голль	Charles de Gaulle
1902 он	1902
Флоренц	Firenze
1903 он	1903
1904 он	1904
1905 он	1905
1907 он	1907
1906 он	1906
Жамби	Jambi
Фиорентина	ACF Fiorentina
1908 он	1908
1909 он	1909
1992 он	1992
1991 он	1991
1990 он	1990
1993 он	1993
Эссен	Essen
1994 он	1994
1995 он	1995
1996 он	1996
Дэвид Линч	David Lynch
Коми	Repubblica dei Komi
1910 он	1910
1911 он	1911
1912 он	1912
Лайпциг	Lipsia
1913 он	1913
1914 он	1914
1915 он	1915
1916 он	1916
1997 он	1997
1998 он	1998
Нюрнберг	Norimberga
1999 он	1999
1917 он	1917
1918 он	1918
Хоол	Alimento
Дуйсбург	Duisburg
Бохум	Bochum
Вупперталь	Wuppertal
Лампун	Lampung
Гэрлийн хурд	Velocità della luce
Билефельд	Bielefeld
XML	XML
Манхайм	Mannheim
Боде Миллер	Bode Miller
Умар Суматра	Sumatra Settentrionale
1 сарын 1	1º gennaio
1 сарын 2	2 gennaio
1920 он	1920
1 сарын 3	3 gennaio
1919 он	1919
1921 он	1921
1922 он	1922
Лөнд	Lund (Svezia)
1 сарын 4	4 gennaio
1923 он	1923
Лэнс Армстронг	Lance Armstrong
1924 он	1924
Риау	Riau
Ленинград муж	Oblast' di Leningrado
1 сарын 5	5 gennaio
Мальмё	Malmö
1 сарын 6	6 gennaio
Риау арлуудын муж	Isole Riau
Электрон	Elettrone
1 сарын 7	7 gennaio
1 сарын 8	8 gennaio
1 сарын 9	9 gennaio
1 сарын 10	10 gennaio
Нижегород муж	Oblast' di Nižnij Novgorod
1 сарын 11	11 gennaio
1 сарын 12	12 gennaio
Колумб мөрөн	Columbia (fiume)
Африкийн Сципион	Publio Cornelio Scipione
1 сарын 13	13 gennaio
Бирмингем	Birmingham
1 сарын 14	14 gennaio
1 сарын 15	15 gennaio
1 сарын 16	16 gennaio
Том Хэнкс	Tom Hanks
1 сарын 17	17 gennaio
1 сарын 18	18 gennaio
1 сарын 19	19 gennaio
1 сарын 20	20 gennaio
Аж үйлдвэрийн хувьсгал	Rivoluzione industriale
Өмнө Суматра	Sumatra Meridionale
1 сарын 21	21 gennaio
1 сарын 22	22 gennaio
1 сарын 23	23 gennaio
Ромын эзэнт гүрэн	Impero romano
1 сарын 24	24 gennaio
1 сарын 25	25 gennaio
Минск	Minsk
1 сарын 26	26 gennaio
Microsoft	Microsoft
1 сарын 27	27 gennaio
1 сарын 28	28 gennaio
1 сарын 29	29 gennaio
1 сарын 30	30 gennaio
1 сарын 31	31 gennaio
Тверь муж	Oblast' di Tver'
Протон	Protone
12 сарын 2	2 dicembre
12 сарын 1	1º dicembre
12 сарын 3	3 dicembre
12 сарын 7	7 dicembre
12 сарын 5	5 dicembre
12 сарын 8	8 dicembre
12 сарын 10	10 dicembre
12 сарын 6	6 dicembre
12 сарын 9	9 dicembre
Пинк Флойд	Pink Floyd
12 сарын 4	4 dicembre
2 сарын 1	1º febbraio
2 сарын 2	2 febbraio
2 сарын 3	3 febbraio
Куров	Kurów
2 сарын 4	4 febbraio
2 сарын 5	5 febbraio
2 сарын 6	6 febbraio
2 сарын 7	7 febbraio
2 сарын 8	8 febbraio
2 сарын 9	9 febbraio
2 сарын 10	10 febbraio
Хими	Chimica
2 сарын 14	14 febbraio
2 сарын 13	13 febbraio
2 сарын 15	15 febbraio
2 сарын 11	11 febbraio
2 сарын 12	12 febbraio
Робин ван Перси	Robin van Persie
2 сарын 19	19 febbraio
2 сарын 17	17 febbraio
2 сарын 16	16 febbraio
2 сарын 18	18 febbraio
2 сарын 20	20 febbraio
Нейтрон	Neutrone
2 сарын 21	21 febbraio
2 сарын 22	22 febbraio
2 сарын 23	23 febbraio
2 сарын 24	24 febbraio
2 сарын 25	25 febbraio
2 сарын 26	26 febbraio
2 сарын 27	27 febbraio
2 сарын 28	28 febbraio
12 сарын 11	11 dicembre
2 сарын 29	29 febbraio
12 сарын 12	12 dicembre
12 сарын 13	13 dicembre
12 сарын 14	14 dicembre
12 сарын 15	15 dicembre
3 сарын 2	2 marzo
3 сарын 3	3 marzo
3 сарын 5	5 marzo
