Naakaii Łizhiní Bikéyah	Africa
Łį́į́ʼ	Equus caballus
Naaldeehii	Animalia
Sówinam	Suriname
Kéyah Nahasdzáán Ałníiʼgi Siʼánígíí	Ecuador
Kolámbiya	Colombia
Béésh Łibáhí	Cobalto
Bolíbiya	Bolivia
Béésh Łichíiʼii	Rame
Niihémpshoo Hahoodzo	New Hampshire
Chʼosh doo yitʼíinii dláádí dóó Ábishjaaʼ	Fungi
Jaméíkʼa	Giamaica
Méésíchóoshish Hahoodzo	Massachusetts
Kanédikiʼ Hahoodzo	Connecticut
Naaʼahóóhai	Gallus gallus domesticus
Antíígwa dóó Hashkʼaan Bikéyah Yázhí	Antigua e Barbuda
Kéyah Ałkéé Nitį́įgo Dah Ndaaʼeełí	Hawaii
Damóo Bikéyah	Dominica
Domingo Bikéyah	Repubblica Dominicana
Bisóodi	Sus scrofa domesticus
Héítii	Haiti
Iiwą́ą́	Iran
Iiwááʼ	Iraq
Hakʼaz Dineʼé Bikéyah Hahoodzo	Alaska
Ízrel Bikéyah	Israele
Shádiʼááhjí Ásáí Bikéyah	Yemen
Jóoʼdan	Giordania
Gah Bikeeʼ Taahíʼahí	Florida
Kíígiz Bikéyah	Kirghizistan
Hoozdo Hahoodzo	Arizona
Kóóweiʼ	Kuwait
Lááʼos	Laos
Łíbanoo	Libano
Óogin Hahoodzo	Oregon
Naakaii Dootłʼizhí Bikéyah Yázhí (Tó Bináhaazyínígíí)	Maldive
Kéyah dah siʼánígíí	America
Áshįįh Biiʼtó Hahoodzo	Utah
Béégashii	Bos taurus
Maléízha	Malesia
Dziłgaiitsoh Honeezkʼazii Bikéyah	Nepal
Omą́ą́	Oman
Eʼeʼaahjí Naakaii Dootłʼizhí Bikéyah	Pakistan
Kʼatár	Qatar
Ásáí Bikéyah Saʼoodí	Arabia Saudita
Swii Lankʼa	Sri Lanka
Sííwiya	Siria
Tʼajiʼ Bikéyah	Tagikistan
Tʼáí Bikéyah	Thailandia
Kǫʼ naʼałbąąsii diné bee nágéhéʼ	Treno
Tʼóokmen Bikéyah	Turkmenistan
Ásáí Bikéyah Yázhí Ałhidadiidzooígíí	Emirati Arabi Uniti
Biʼednam	Vietnam
Kolíya Bikéyah Shádiʼááhjí Siʼánígíí	Corea del Sud
Óola	Oro
Naʼałkaahí	Scienziato
Bangla Bikéyah	Bangladesh
Angóola	Angola
Iiʼniʼ Tłʼiishtsoh Bikéyah	Bhutan
Bwoonéí	Brunei
Tʼanzanííya	Tanzania
Béésh Tózháanii	Mercurio (elemento chimico)
Kéyah Dańlíinii	Filippine
Naakaii Łizhinii Bikéyah Beʼałnííʼ	Repubblica Centrafricana
Hastiin Albert Einstein	Albert Einstein
Tʼóogo	Togo
Hooghan Tsé Bee Ádaalyaaí Bikéyah	Zimbabwe
Shádiʼááhjí Soodą́ą	Sudan del Sud
Tswana Dineʼé Bikéyah	Botswana
Wóndii Dineʼé Bikéyah	Burundi
Ooljééʼ Bikéyah Yázhí	Comore
Kéyah Káango Náhookǫsjí Siʼánígíí	Repubblica del Congo
Kéyah Káango Shádiʼááhjí Siʼánígíí	Repubblica Democratica del Congo
Jibótii	Gibuti
Gíní Nahasdzáán Ałníiʼgi Siʼánígíí	Guinea Equatoriale
Gabǫ́ǫ́ (Kéyah)	Gabon
Géémbiya	Gambia
Gíní	Guinea
Gíní Bisó	Guinea-Bissau
Chį́į́h Yee Adilohii Bideeʼ Tónteel Bibąąh	Costa d'Avorio
Táłtłʼááh Chʼosh Daadánígíí Bitooh (Łizhinii Bikéyahdi)	Camerun
Tónteel Bibąąh Dootłʼizhí	Capo Verde
Sotho Dineʼé Bikéyah	Lesotho
Łíbya	Libia
Madaʼgéésgáá	Madagascar
Malááwii	Malawi
Moowitéínya	Mauritania
Moroko	Marocco
Namííbya	Namibia
Yogénda	Uganda
Wánda Dineʼé Bikéyah	Ruanda
Seishel	Seychelles
Náshdóítsoh Bitsiijįʼ Daditłʼooʼígíí Bidził	Sierra Leone
Soomáálii Bikéyah	Somalia
Soodą́ą	Sudan
Swáazi Dineʼé Bikéyah	Swaziland
Nahasdzáán Bikáaʼgi Kéyah Naaznilgo Ałhidadiidzooígíí	Organizzazione delle Nazioni Unite
Nidaashchʼąąʼígíí	Colore
Béésh Łigaii	Argento
Béésh Dildǫʼí	Stagno (elemento chimico)
Łéétsoh	Uranio
Hastiin alą́ąjįʼ dahsidáhígíí Bill Clinton	Bill Clinton
Míshigin Hahoodzo	Michigan
Tó Nitsaa Nílį́bąąh Hahoodzo	Illinois
Náhookǫsjí Dzígaii	Dakota del Nord
Ałnííʼjí Dzígaii	Dakota del Sud
Ayání Naakaii Hahoodzo	Montana
Tóʼííbézhí	Wyoming
Nímasii Kʼidadilyéhé	Idaho
Ahééhałtį́į́h Hahoodzo	Washington (stato)
Naʼazhǫǫsh Hahoodzo	Nevada
Kayíbíyinsíí (tónteel)	Mare Caraibico
Dibé Nitsaa Hahoodzo	Colorado
Naakaii bizaad	Lingua spagnola
Naʼashjéʼii	Araneae
Chʼosh bijáád tseebíhígíí	Arachnida
Chʼosh bideeʼ ádaadinígíí	Chelicerata
Chʼosh bijáád dahólónígíí	Arthropoda
Béeso	Denaro
Bijíniyah Hahoodzo	Virginia
Eʼeʼaahjí Bijiniyah Hahoodzo	Virginia Occidentale
Kin Yótʼááh Deezʼá Hahoodzo	New York (Stato)
Wóód Áalin Hahoodzo	Rhode Island
Chʼosh bijáád hastání	Insecta
Méelin Hahoodzo	Maryland
Déláwee Hahoodzo	Delaware
Oohááyoo Hahoodzo	Ohio
Pénsówéíniyah Hahoodzo	Pennsylvania
Niijéízii Hahoodzo	New Jersey
Índíʼyéenah Hahoodzo	Indiana
Chidí	Autovettura
Jóojah Hahoodzo	Georgia (Stati Uniti d'America)
Akałii Bikéyah	Texas
Náhookǫsjí Kééláanah Hahoodzo	Carolina del Nord
Shádiʼááhjí Kééláanah Hahoodzo	Carolina del Sud
Méhigoʼ sídii	Città del Messico
Bilasáana diwozhí	Ananas comosus
Mísísípii Hahoodzo	Mississippi
Ténésii Hahoodzo	Tennessee
Yootó Hahoodzo	Nuovo Messico
Mínisóodah Hahoodzo	Minnesota
Wiskaansin Hahoodzo	Wisconsin
Haʼaʼaahjí Dzígaii	Iowa
Nabeeskah Hahoodzo	Nebraska
Shádiʼááhjí Dzígaii	Kansas
Tó Dzígaii Nílį́	Missouri
Tónteel Chʼínílį́	Louisiana
Kentákii Hahoodzo	Kentucky
Dził Biiʼ Dzígaii	Arkansas
Halgai Hóteel Hahoodzo	Oklahoma
Ho Chi Min Sídii	Ho Chi Minh (città)
Bilagáana bizaad	Lingua inglese
Náhookǫsjí Hakʼaz Dineʼé Bikéyah	Nunavut
1901 – 1950	1902
Tłʼiish	Serpentes
1951 – 2000	1979
Pope Benedict XVI	Papa Benedetto XVI
Maʼii Ashkii	Geronimo
Tsin naaʼeeł táłtłʼááh naagháhígíí	Sottomarino
Tahoniigááh	Influenza
Tłʼízí	Capra hircus
Kǫʼ	Fuoco
Tʼááłáhági átʼéego:Templates	Categoria:Template
Dloziłchííʼ	Sciurus vulgaris
Tʼááłáhági átʼéego:Bideeʼtsʼinígíí	Categoria:Bovidi
Tiníléítsoh	Varanus komodoensis
Chʼosh bijáád neeznánígíí	Decapoda
Aymara bizaad	Lingua aymara
Łeeyiʼ chʼoshtsoh binááʼ hólónígíí	Gymnophiona
Tʼááłáhági átʼéego:Dééł dóó Tóidoozohii	Categoria:Gruiformes
Médíwííyin Sii	Mar Mediterraneo
Jóojah (Ałtsʼáʼáztiin)	Georgia (disambigua)
Tsídii	Aves
Kéłánii bikágí yilzhólígíí	Onychophora
Kéchwa bizaad	Lingue quechua
Ínsadoobíídiiya	Enciclopedia
Íiyisíí Naaltsoos	Pagina principale
Dziłgaiitsoh Honeezkʼazii	Himalaya
Tʼááłáhági átʼéego:Candidates for speedy deletion	Categoria:Cancellare subito
Chʼil ahwééh	Tè
Adijiłii	Erinaceinae
Kéyah Sahééwa Eʼeʼaahjí Siʼánígíí	Sahara Occidentale
1801 – 1850	1815
Łį́į́ʼ Bideeʼłáaʼii	Unicorno
Hastiin Hernán Cortés	Hernán Cortés
Tsʼíʼii daʼaneezí	Culicidae
Dibé	Ovis aries
Łóóʼ hashkéhé	Selachimorpha
Ghą́ą́ʼaskʼidii	Camelus
Bidił Daazdoígíí dóó Daʼałtʼoʼígíí	Mammalia
Mágí dóó Mágí Ndahalinígíí	Primates
(*wálá-)	Formicidae
Tsísʼná	Anthophila
Sęęschʼil	Brassica oleracea var. botrytis
Ayęęzhii yiltʼąąʼí	Solanum melongena
Naalʼeełí	Anatidae
Yas	Neve
Jádí dághaaʼígíí	Connochaetes
1851 – 1900	1865
Biʼééʼ Łichííʼí bizaad	Lingua russa
1751 – 1800	1784
Bááh	Pane
Bee Hazʼą́ą Ił Chʼétʼaah	Dichiarazione universale dei diritti umani
Kéyah haʼdéísná	Terremoto
Tó nitéél nitságoʼ atságáá	Maremoto
Níyoltsoh	Tromba d'aria
Saad bee alʼį́į́hni	Sistema di scrittura
Tʼááłáhági átʼéego:Dáághahii	Categoria:Francia
Mąʼii łitsooí	Vulpes vulpes
Naaltéʼ	Schiavismo
Ahwééh	Caffè
Abeʼ	Latte
Dził	Montagna
Doo Nidahałtingóó	Deserto
Cryptographic	Crittografia
Guadalajara	Guadalajara (Messico)
Tsídii naʼałkʼaiʼí	Spheniscidae
Kolíya Dineʼé bizaad	Lingua coreana
Gah	Coniglio
Tó niteel	Oceano
Hodíłchʼil Níłtsánígíí	Foresta pluviale
HiTSʼezh	IPod
Hazéí	Sciuridae
Hazéí naatʼáʼii	Scoiattolo volante
Ééʼ néíshoodí	Chiesa cattolica
Kwį́į́n Elizabeth II	Elisabetta II del Regno Unito
Hastiin alą́ąjįʼ dahsidáhígíí Ronald Reagan	Ronald Reagan
Hastiin Emperor Yongle	Yongle
Naʼashjéʼiitsoh	Lycosidae
Naaldlooshii dadichʼízhii	Reptilia
Tsin Deigházhígíí	Rodentia
Hasbídí	Columbidae
Tééh hóyáanii	Phocoenidae
Biyáázh Tsʼǫʼasánígíí (Táyiʼ dóó Niʼkáágóó Ndaakaaígíí)	Amphibia
Géeso	Formaggio
Chʼil naʼatłʼoʼii (chʼiyáán)	Uva
Tsísʼná bitłʼizh	Miele
Atsįʼ	Carne
Naʼashjéʼii tsiizisí	Pholcidae
Nímasii	Solanum tuberosum
Haʼałtsédii	Noce (botanica)
Wááshindoon bisiláołtsooí	United States Armed Forces
Naʼiiniʼ bá Hooghantsoh	World Trade Center
Wááshindoondi bee hazʼáanii ádeiłʼíní	Congresso degli Stati Uniti d'America
Tsin naaʼeeł	Nave
Nidaʼąnyéézh	Irrigazione
Naadą́ą́ʼ	Zea mays
Naʼashchʼąąʼ	Pittura
Wótáahgoo ałnaaʼáłtʼahiʼ	Astronauta
Azhish	Danza
Naʼashjéʼii nahachaʼígíí	Salticidae
Kéyah Daʼnaaznilígíí	Stati del mondo
Shash	Ursidae
Hastiin alą́ąjįʼ dahsidáhígíí John Adams	John Adams
Hastiin alą́ąjįʼ dahsidáhígíí Thomas Jefferson	Thomas Jefferson
Hastiin alą́ąjįʼ dahsidáhígíí Andrew Jackson	Andrew Jackson
Ńdíshchííʼ	Pinus
Tłʼoh naadą́ą́ʼ	Triticum
Naałniih yichʼą́ą́h naabaahígíí bąąh dahooʼaahgo	AIDS
Abeʼ bee neezmasí	Crespella
Jéíʼádįįh	Tubercolosi
Łóódtsoh	Vaiolo
Zelda bahaneʼ	The Legend of Zelda (serie)
Naakáí dinéʼiʼ biempire Méhigodi	Aztechi
Łéétsoh bee atsiniltłʼish álʼį́	Energia nucleare
Łéétsoh beeʼeldǫǫhtsoh beeʼalį́į́h	Arma nucleare
Chidí naaʼnaʼí beeʼeldǫǫh bikááʼ dah naaznilígíí	Carro armato
Dah woozh	Fragola
Jalisco Hahoodzo	Jalisco
Mágí bichʼiyąʼ	Cocos nucifera
Dzidzétsoh	Prunus persica
Chʼil łitsxooí	Citrus × sinensis
Chʼil dishooí	Kiwi (frutto)
Abeʼ yistiní	Gelato
Méhigo bizaad	Lingua nahuatl
Diné bizaad	Lingua navajo
Jeeʼiighááh	Dermaptera
Tenochtitlan	Tenochtitlán
Ásáí Bizaad	Lingua araba
Honeezílígi	Clima subtropicale
Atʼaʼ yiltʼąąʼí	Arecaceae
Niłchiis	Gulo gulo
Tsin yilátah ayání	Giraffa camelopardalis
Naalʼeełídaaʼí	Ornithorhynchus anatinus
Naʼashǫ́ʼii	Lacertilia
Béésh bee akʼeʼelchí áłtsisígíí	Personal computer
Wikiibíídiiya:Naaltsoos nizhónígo ádaalyaaígíí	Wikipedia:Vetrina
Bee álnééhí:Link FA	Template:Link V
Bimááʼ Hahoodzo	Vermont
Hoozdoh	Phoenix (Arizona)
Táłkááʼ tsʼin bíchį́į́hnézí	Gavialis gangeticus
Tsin naaʼeeł chidí naatʼaʼí bee nágéhéʼ	Portaerei
Tsídiitsoh	Struthio camelus
Kolíya bikéyah (Ałtsʼáʼáztiin)	Corea
Mąʼiitsoh	Canis lupus
Chʼídeeldlóohiitsoh	Balaeniceps rex
Hodíłchʼilgi dlǫ́ʼiitsoh	Paradoxurus hermaphroditus
Tóidoozohii bidaaʼ łichííʼígíí	Gallinula chloropus
Táłtłʼááh yilcháazhii	Porifera
Tónteel naʼashjéʼii	Pycnogonida
Séigoʼ bíláshgaanézí	Amblypygi
Naʼashjéʼii jáádnézí	Opiliones
Séigoʼchilí bitseeʼ ádinígíí	Pseudoscorpionida
Séigoʼ	Scorpiones
Zahalchíʼii	Solifugae
Hastiin Emperor Qianlong	Qianlong
Séigoʼ bitseeʼ áłtsʼózígíí	Uropygi
Yaaʼ doo yitʼíinii	Acarina
Hodíłchʼilgi naaʼahóóhai	Tinamidae
Télii	Equus asinus
Náshdóítsoh noodǫ́zígíí	Panthera tigris
Kʼíneeshbízhiinééz	Spaghetti
Chʼosh yoołgai bitsʼaʼígíí	Ostreidae
Azeeʼ hókániitsoh	Cirsium vulgare
Táłkáaʼgi Tsídii	Anseriformes
Tązhii dóó Naaʼahóóhai Ndahalinígíí	Galliformes
Naalʼeełii keelóól	Podicipedidae
Tsídii Deílʼésígíí	Ciconiiformes
Daʼałtʼoʼígíí Biyęęzhii Deiłchíhígíí	Monotremata
Adijiłii bíchį́į́hnézí	Tachyglossidae
Biyázhí neiyéhé	Didelphidae
Hazéítsʼósii	Tamias (zoologia)
Chidí bikʼah	Petrolio
Chéłchaaʼ	Coleoptera
Łį́į́ʼ ałchiní	Equus ferus przewalskii
Dlǫ́ʼii yił aheełtʼéhii noodǫ́zígíí	Mungos mungo
Naʼastsʼǫǫsíʼniiʼí	Peramelidae
Shash naʼazísí	Vombatidae
Nahatʼeʼiitsohchilí	Potoroidae
Náʼagéédí łichíiʼii	Chrysochloridae
Bįįh Danilínígíí	Cervidae
Tin	Ghiaccio
Tłʼohchin díchʼííʼí	Allium sativum
Taʼneeskʼání áłtsʼóózígíí	Cucumis sativus
Tłʼohchin (chʼil daadánígíí)	Allium cepa
Chʼil łichxíʼí	Solanum lycopersicum
Béésh Łichíiʼii Bikéyah Náhookǫsjígo Siʼanígíí	Cipro del Nord
Naʼazhǫǫsh Hátsoh	Las Vegas
Náshdóí dilwoʼí	Acinonyx jubatus
Tsékǫʼ	Carbone
Néʼéshjaaʼ	Strigiformes
Bíígháán Dahólónígíí	Vertebrata
Kʼishchííʼ	Betula
Ǫǫbǫʼii	Upupa epops
Náshdóí Ndahalinígíí	Felidae
Yádiłhił yiiyídíʼ nahosdzáán yináádáłiʼ	Stazione Spaziale Internazionale
Tó wónaanídę́ę́ʼ toohjįʼ noołnahii	Ardea cinerea
Hashkʼaan dijéʼé	Phoenix dactylifera
Wááshindoon (Ałtsʼáʼáztiin)	Washington (disambigua)
Bidił Daazdoígíí dóó Daʼalghałígíí	Carnivora
Chʼoshtsoh	Blattodea
Dlǫ́ʼii yázhí	Mustela nivalis
Tsʼíʼii dóó Tséʼédǫ́ʼii	Diptera
Biniiʼłigaii (néʼéshjaaʼ)	Tyto alba
Mąʼii Ndahalinígíí	Canidae
Bijáád Ádaadinígíí	Mollusca
Chʼosh łitsxooí dóó Chʼosh łichííʼí	Coccinellidae
Táłkááʼ naalzheehí	Pandion haliaetus
Bizaʼazis Dahólónígíí	Metatheria
Dlǫ́ʼiiłgaii	Mustela erminea
Naalʼeełí bitsiiʼ dootłʼizhí	Anas platyrhynchos
Sǫʼ łóóʼ	Asteroidea
Giníłbáhí	Accipiter gentilis
Tʼádootłʼizhii	Garrulus glandarius
Zhį́ʼii	Corvus corax
Táłkááʼ tsʼin Danilínígíí	Crocodylia
Chʼosh bikágí dantłʼizí	Crustacea
Dééł	Gruidae
Chʼosh bitsʼaʼígíí	Bivalvia
Łóóʼ ooshgę́ęzhii	Chondrichthyes
Tániilʼáí	Odonata
Wóláchííʼ yildeełí bikágí ntłʼizí	Manis
Gah Danilínígíí	Lagomorpha
Tsísʼnátsoh	Bombus
Hazéí yiltseeʼí	Achillea millefolium
Chʼosh bikǫʼí	Lampyridae
Zéédzísgaii	Phasianus colchicus
Dlǫ́ʼii Ndahalinígíí	Mustelidae
Tsin yiłkaałii	Picidae
Bideeʼtsʼinígíí	Bovidae
Dééł dóó Tóidoozohii Ndahalinígíí	Gruiformes
Gáagii dóó Joogii Ndahalinígíí	Corvidae
Chʼiltaatʼagii	Circus cyaneus
Tsin naaʼeeł diné bee nágéhéʼ	Traghetto
Gad	Juniperus
Jááłánii	Myriapoda
Biishchʼid Dahólónígíí	Eutheria
Chʼosh Deildeełii	Insectivora
Tó wónaanídę́ę́ʼ naalʼeełítsoh łibáhígíí	Anser anser
Tónteel dóó Tábąąhgi Tsídii	Charadriiformes
Ńdíshchíitah dlǫ́ʼii	Martes martes
Biyaatsʼiin Dahólónígíí	Gnathostomata
Tooh łéʼétsoh	Ondatra zibethicus
Chaatʼíní	Rumex acetosa
Łóóʼ hashkéhé dootłʼizhígíí	Prionace glauca
Wóʼatsʼǫǫsii Ádaatʼéhígíí	Rhynchota
Atsáłgaii	Buteo lagopus
Béégashiiʼilí	Bos grunniens
Tó wónaanídę́ę́ʼ dlǫ́ʼii	Mustela putorius
Tsxį́į́łnaalkʼįhii	Apodidae
Dziłditłʼoii Bił Hahoodzo	Contea di San Juan (Utah)
Hakʼaz naalʼeełí	Somateria mollissima
Naalʼeełítsoh bitsiiʼ halzhinígíí	Branta canadensis
Chʼó	Picea
Łóóʼtsoh łizhin dóó łigaígíí	Orcinus orca
Jáádtsʼósí	Recurvirostridae
Téél dzítsooii dóó Tsétah chʼosh	Carabidae
Naalʼeełítsoh diłhiłígíí	Branta bernicla
Tábąąh dlǫ́ʼii	Neovison vison
Dlǫ́ʼii bitéél halgaií	Martes foina
Tábąąstííntsoh łibáhígíí	Halichoerus grypus
Naakaii Łizhiní Bikéyahdi Hadahóólįįdígíí	Afrotheria
Diné Nááhódlóonii bizaad	Lingue athabaska
Łį́į́ʼ bitsísʼná	Oestridae
Tónteel tsídii	Laridae
Ałtį́į́ jikʼáshí (chʼil)	Equisetum
Hazaʼaleehtsoh (dííshjį́ ááłjiní)	Apium graveolens
Kʼaalógii dóó Iichʼąhii	Lepidoptera
Díłdánii yił aheełtʼéhii	Coturnix coturnix
Chʼałdą́ą́ʼ / Jádí nátʼoh (chʼil daadánígíí)	Asparagus officinalis
Tséʼédǫ́ʼii dootłʼizhí	Calliphoridae
Jaaʼabaní Danilínígíí	Chiroptera
Wóónałchídii	Elateridae
Tsídii bidaanézí	Ciconiidae
Dlǫ́ʼii	Mustela
Lókʼaaʼ	Phragmites australis
Tsídiiłbáhí	Passeridae
Biłʼeʼeliníʼ	Lievito chimico
Táłtłʼááh chʼoshchilí	Euphausiacea
Naalʼeełí binááʼ łitsooígíí	Bucephala clangula
Tábąąstíín	Lutra lutra
Jélii łóóʼ	Medusa (zoologia)
Náshdóíłgaii łikizhígíí	Panthera uncia
Tábąąstííntsoh Danilínígíí	Pinnipedia
Dlǫ́ǫ́ʼ	Cynomys
Náshdóí bijaałizhiní	Caracal caracal
Chʼóhojilyééh	Datura stramonium
Chʼah Diʼilii Bikéyahdę́ę́ʼ naalʼeełítsoh	Anser cygnoides
Tsídii yáłtiʼí	Psittaciformes
Tééh łį́į́ʼ	Zebra
Náshdóí łikizhígíí	Leopardus pardalis
Dííłdzid jeeshóóʼ	Neophron percnopterus
Tʼáadoo leʼé danílʼį́ bił hazʼą́	Museo
Shash łizhin dóó łigaígíí	Ailuropoda melanoleuca
Shash łigaígíí	Ursus maritimus
Gaantsʼosí	Crinoidea
Hastiin alą́ąjįʼ dahsidáhígíí Theodore Roosevelt	Theodore Roosevelt
Neeshchʼííłgai	Anacardium occidentale
Dilní bee Nidaʼanéhígíí	Strumento musicale
Dééłgai	Cygnus (zoologia)
Bikááʼ náʼoobałí	Elicottero
Dziʼizítsoh	Motocicletta
Tééhoołtsódii	Hippopotamus amphibius
Séí	Sabbia
Naakaii Łizhiní Bikéyahdę́ę́ʼ náshdóítsoh łikizhígíí	Panthera pardus
Déélgééd	Rhinocerotidae
Beeʼeldííl Dahsinil	Albuquerque
Hashkʼaan dootłʼizhí (babáayah)	Carica papaya
Chʼil łigaii (atʼééké bijish)	Brassica oleracea var. capitata
Náshdóítsoh	Puma concolor
Ásáí dinéʼiʼ	Arabi
Deeteel	Alces alces
Shádiʼááhdę́ę́ʼ náshdóítsoh łikizhígíí	Panthera onca
Lókʼaatsoh	Bambuseae
Káango (Ałtsʼáʼáztiin)	Congo
Kʼaiʼ	Salix
Shash bizaʼazis hólóní	Phascolarctos cinereus
Náshdóí kʼos bee naashchʼąąʼígíí	Neofelis nebulosa
Shashtsoh	Ursus arctos
Łéʼétsoh	Rattus
