非洲	Africa
中華人民共和國	Cina
法文	Lingua francese
維基辭典	Wikizionario
魚	Pesce
乙醇	Etanolo
酒	Bevanda alcolica
巴西	Brasile
酒精	Alcoli
奧朗德	François Hollande
俄羅斯	Russia
鯨魚	Cetacea
約郡	Yorkshire
正方形	Quadrato
海	Mare
黑海	Mar Nero
圓周率	Pi greco
Π	Pi (lettera greca)
Wiki	Wiki
多倫多	Toronto
阿拉巴馬州	Alabama
聖保羅	San Paolo (Brasile)
聖保羅州	San Paolo (stato)
魁北克省	Québec (provincia)
意大利薄餅	Pizza
意式麪	Pasta
維基媒體基金會	Wikimedia Foundation
占美威爾斯	Jimmy Wales
德國	Germania
白俄羅斯	Bielorussia
德文	Lingua tedesca
冰島	Islanda
上帝	Dio
愛沙尼亞	Estonia
甘民樂	David Cameron
土星	Saturno (astronomia)
朱古力	Cioccolato
車厘子	Ciliegia
飛機	Aeroplano
打仗	Guerra
1	1 (numero)
2	2 (numero)
3	3 (numero)
4	4 (numero)
5	5 (numero)
0	0 (numero)
無限大	Infinito (matematica)
喬治布殊	George W. Bush
拉脫維亞	Lettonia
烏克蘭	Ucraina
捷克	Repubblica Ceca
斯洛伐克	Slovacchia
斯洛文尼亞	Slovenia
維爾紐斯	Vilnius
摩爾多瓦	Moldavia
羅馬尼亞	Romania
保加利亞	Bulgaria
羅馬	Roma
馬其頓共和國	Repubblica di Macedonia
阿爾巴尼亞	Albania
格陵蘭	Groenlandia
克羅地亞	Croazia
波斯尼亞	Bosnia ed Erzegovina
努克	Nuuk
阿塞拜疆	Azerbaigian
安道爾	Andorra
塞浦路斯	Cipro
格魯吉亞	Georgia
哈薩克	Kazakistan
馬耳他	Malta
摩納哥	Principato di Monaco
黑山	Montenegro
梵蒂岡	Città del Vaticano
聖馬連奴	San Marino
布魯塞爾	Bruxelles
布魯塞爾首都區	Regione di Bruxelles-Capitale
古巴	Cuba
伯利茲	Belize
巴黎鐵塔	Torre Eiffel
巴巴多斯	Barbados
勒士啤梨派	Raspberry Pi
福士汽車	Volkswagen
英特爾	Intel
鍵盤 (電腦)	Tastiera (informatica)
Java程式語言	Java (linguaggio di programmazione)
印尼	Indonesia
QWERTY鍵盤	QWERTY
莫札特	Wolfgang Amadeus Mozart
貝多芬	Ludwig van Beethoven
土耳其話	Lingua turca
南非共和國	Sudafrica
Linkin Park	Linkin Park
阿爾及利亞	Algeria
維基文庫	Wikisource
颶風珊迪	Uragano Sandy
月即別	Uzbekistan
塔什干	Tashkent
華沙	Varsavia
威士忌	Whisky
葡萄酒	Vino
水	Acqua
干邑	Cognac (distillato)
真皮	Cuoio
木	Legno
電視	Televisione
性	Sesso (biologia)
鹹濕	Pornografia
冰島文	Lingua islandese
莫奈	Claude Monet
委拉斯蓋茲	Diego Velázquez
智利	Cile
耶穌	Gesù
皮禮士利	Elvis Presley
體罰	Punizione corporale
伽利略	Galileo Galilei
水星	Mercurio (astronomia)
歷史	Storia
蘋果公司	Apple
金星	Venere (astronomia)
語言	Linguaggio
愛	Amore
專政	Dittatura
星系	Galassia
木星	Giove (astronomia)
巴切萊特	Michelle Bachelet
銀河	Via Lattea
宇宙大爆炸	Big Bang
天王星	Urano (astronomia)
英文維基百科	Wikipedia in inglese
薩爾科齊	Nicolas Sarkozy
海王星	Nettuno (astronomia)
天文	Astronomia
星架坡	Singapore
科學	Scienza
冥王星	Plutone (astronomia)
滿地可	Montréal
自由軟件	Software libero
聖母瑪利亞	Maria (madre di Gesù)
列支敦士登	Liechtenstein
運動	Sport
劍橋	Cambridge
希特拉	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
阿桑奇	Julian Assange
第一次世界大戰	Prima guerra mondiale
第二次世界大戰	Seconda guerra mondiale
第三次世界大戰	Terza guerra mondiale
古龍 (德國)	Colonia (Germania)
貪污	Corruzione
維基書本	Wikibooks
維基語錄	Wikiquote
維基學府	Wikiversità
維基遊埠	Wikivoyage
伏特加	Vodka
格仔餅	Gaufre
鐘	Orologio
Ubuntu	Ubuntu
斯科普里	Skopje
Linux	Linux
數學	Matematica
拉丁話	Lingua latina
巴林	Bahrein
亞美尼亞	Armenia
楔形字	Scrittura cuneiforme
希格斯玻色子	Bosone di Higgs
塞爾維亞	Serbia
月光	Luna
伊斯坦堡	Istanbul
澳洲	Australia
物理	Fisica
阿根廷	Argentina
秘魯	Perù
生物學	Biologia
不明飛行物體	UFO
朝鮮民主主義人民共和國	Corea del Nord
柬埔寨	Cambogia
柯伊伯帶	Fascia di Kuiper
可蘭經	Corano
恐龍	Dinosauria
動物學	Zoologia
回敎	Islam
梨	Pyrus
盧布爾雅那	Lubiana
植物學	Botanica
Lech Wałęsa	Lech Wałęsa
轆	Ruota
狄德羅	Denis Diderot
心智	Mente
和平 (關係)	Pace
不列顛百科全書	Enciclopedia Britannica
里昂	Lione
歐洲聯盟	Unione europea
萬維網	World Wide Web
女人	Donna
索菲亞	Sofia
唐吉訶德	Don Chisciotte della Mancia
詩	Poesia
MegaUpload	Megaupload
切爾諾貝爾核災	Disastro di Černobyl'
米蘭	Milano
友情	Amicizia
拖連奴	Torino
屎	Feci
屎窟竉	Ano
胳肋底	Ascella
檸檬	Citrus × limon
波德萊爾	Charles Baudelaire
蕉	Banana
666年	666
花	Fiore
Googol	Googol
Googolplex	Googolplex
馬里亞納海溝	Fossa delle Marianne
珠穆朗瑪峰	Everest
解剖學	Anatomia
城市	Città
拿破崙	Napoleone Bonaparte
Shit	Merda
奧林匹斯山 (火星)	Olympus Mons
恆星	Stella
太陽	Sole
天	Cielo
巴士德	Louis Pasteur
光年	Anno luce
村	Villaggio
雨果	Victor Hugo
大洋洲	Oceania
田徑	Atletica leggera
太陽系	Sistema solare
波羅的海	Mar Baltico
香榭麗舍大道	Avenue des Champs-Élysées
牙	Dente
氫	Idrogeno
氦	Elio
地獄	Inferno
維基同享	Wikimedia Commons
默克爾	Angela Merkel
鋰	Litio
鈹	Berillio
音響喇叭	Altoparlante
書	Libro
日 (曆法)	Giorno
東帝汶	Timor Est
夜晚	Notte
年	Anno
世紀	Secolo
白朗峰	Monte Bianco
萊茵河	Reno
奧斯陸	Oslo
波恩	Bonn
卡托維治	Katowice
黑洞	Buco nero
賈梅士	Luís de Camões
基佬	Gay
穀神星	Cerere (astronomia)
里斯本	Lisbona
妊神星	Haumea (astronomia)
鳥神星	Makemake (astronomia)
鬩神星	Eris (astronomia)
杜拜	Dubai
美斯	Lionel Messi
硼	Boro
哥白尼	Niccolò Copernico
碳	Carbonio
迪比亞路	Alessandro Del Piero
伏加河	Volga
氮	Azoto
氧	Ossigeno
國際米蘭	Football Club Internazionale Milano
行星	Pianeta
埃及妖后	Cleopatra VII
音樂	Musica
威尼斯	Venezia
火影忍者	Naruto
波河	Po
沙姆沙伊赫	Sharm el-Sheikh
莫斯科	Mosca (Russia)
氟	Fluoro
意大利話	Lingua italiana
芝娃娃	Chihuahua (razza canina)
氖	Neon
芝華華州	Chihuahua (stato)
聖彼得堡	San Pietroburgo
乍得	Ciad
鈉	Sodio
北	Nord
鎂	Magnesio
新世紀福音戰士	Neon Genesis Evangelion
鋁	Alluminio
紐西蘭	Nuova Zelanda
南	Sud
印度	India
矽	Silicio
鈁	Francio
圖瓦盧	Tuvalu
磷	Fosforo
散文	Prosa
鐵	Ferro
湯加	Tonga
西	Ovest
硫	Zolfo
薩摩亞	Samoa
東	Est
所羅門群島	Isole Salomone
瓦努阿圖	Vanuatu
莫里哀	Molière
氯	Cloro
巴布亞新畿內亞	Papua Nuova Guinea
莎士比亞	William Shakespeare
帛琉	Palau (stato)
氬	Argon
瑙魯	Nauru
Mozilla Firefox	Mozilla Firefox
密克羅尼西亞聯邦	Stati Federati di Micronesia
鉀	Potassio
鈣	Calcio (elemento chimico)
鉛	Piombo
馬紹爾群島	Isole Marshall
基里巴斯	Kiribati
蒙古國	Mongolia
斐濟	Figi
鈧	Scandio
鈦	Titanio
委內瑞拉	Venezuela
國際象棋	Scacchi
鐵木真	Gengis Khan
釩	Vanadio
緬因州	Maine
鉻	Cromo
馬	Equus caballus
阿姆斯特丹	Amsterdam
武器	Arma
動物	Animalia
蘇里南	Suriname
錳	Manganese
巴拉圭	Paraguay
圭亞那	Guyana
藝術	Arte
厄瓜多爾	Ecuador
錸	Renio
哥倫比亞	Colombia
鈷	Cobalto
鎢	Tungsteno
鎳	Nichel
士多啤梨	Fragaria
佛教	Buddhismo
玻利維亞	Bolivia
鋨	Osmio
銅	Rame
千里達	Trinidad e Tobago
植物	Plantæ
聖文森特和格林納丁斯	Saint Vincent e Grenadine
鋅	Zinco
紐咸西州	New Hampshire
聖盧西亞	Santa Lucia (Stato)
達文西	Leonardo da Vinci
聖傑氏尼維斯	Saint Kitts e Nevis
真菌	Fungi
牙買加	Giamaica
格林納達	Grenada
麻省	Massachusetts
危地馬拉	Guatemala
Google Chrome	Google Chrome
巴哈馬	Bahamas
康湼狄格州	Connecticut
雞	Gallus gallus domesticus
安提瓜巴布達	Antigua e Barbuda
夏威夷州	Hawaii
洪都拉斯	Honduras
多米尼克	Dominica
澤西島	Baliato di Jersey
多明尼加	Repubblica Dominicana
豬	Sus scrofa domesticus
北冰洋	Mar Glaciale Artico
海地	Haiti
他羽馬他華加坦基很加哥歐歐奧他馬鐵督䈅卜加加皮基馬源加河鍋鹿古波街喴嚕亞其他那他烕	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
薩爾瓦多	El Salvador
伊朗	Iran
蠢	Stupidità
伊拉克	Iraq
阿拉斯加州	Alaska
哥斯達黎加	Costa Rica
以色列	Israele
巴拿馬	Panamá
也門	Yemen
病毒	Virus (biologia)
波蘭文	Lingua polacca
約旦	Giordania
尼加拉瓜	Nicaragua
佛羅里達州	Florida
吉爾吉斯	Kirghizistan
亞利桑拿州	Arizona
科威特	Kuwait
老撾	Laos
黎巴嫩	Libano
柯利近省	Oregon
馬爾代夫	Maldive
美洲	America
猶他州	Utah
牛	Bos taurus
馬來西亞	Malesia
緬甸	Birmania
尼泊爾	Nepal
阿曼	Oman
巴基斯坦	Pakistan
占士邦	James Bond
卡塔爾	Qatar
網球	Tennis
沙地阿拉伯	Arabia Saudita
斯里蘭卡	Sri Lanka
史太林	Iosif Stalin
敘利亞	Siria
柏拉圖	Platone
鎵	Gallio (elemento chimico)
塔吉克	Tagikistan
寵物小精靈	Pokémon
中華民國	Taiwan
YouTube	YouTube
鍺	Germanio
阿里士多德	Aristotele
泰國	Thailandia
火車	Treno
砷	Arsenico
無線電	Radio (elettronica)
梅麗史翠普	Meryl Streep
土庫曼	Turkmenistan
硒	Selenio
銥	Iridio
阿拉伯聯合酋長國	Emirati Arabi Uniti
溴	Bromo
白金	Platino
越南	Vietnam
差利	Charlie Chaplin
大韓民國	Corea del Sud
阿森一族	I Simpson
氪	Kripton
阿富汗	Afghanistan
江南Style	Gangnam Style
J. R. R. Tolkien	J. R. R. Tolkien
檸檬水	Limonata
銣	Rubidio
金	Oro
蘇彝士運河	Canale di Suez
科學家	Scienziato
孟加拉國	Bangladesh
卡夫卡	Franz Kafka
博爾赫斯	Jorge Luis Borges
馬里	Mali
蘇格拉底	Socrate
安哥拉	Angola
不丹	Bhutan
Twitter	Twitter
汶萊	Brunei
坦桑尼亞	Tanzania
水銀	Mercurio (elemento chimico)
阿蒙森	Roald Amundsen
菲律賓	Filippine
中非共和國	Repubblica Centrafricana
鉈	Tallio
南極	Polo sud
北極	Polo nord
牛頓	Isaac Newton
愛因斯坦	Albert Einstein
鍶	Stronzio
釔	Ittrio
鉍	Bismuto
黃	Giallo
量子力學	Meccanica quantistica
多哥	Togo
突尼西亞	Tunisia
贊比亞	Zambia
津巴布韋	Zimbabwe
北京	Pechino
南蘇丹	Sudan del Sud
海參崴	Vladivostok
貝寧	Benin
波茨華拿	Botswana
維基新聞	Wikinotizie
布基納法索	Burkina Faso
布隆迪	Burundi
科摩羅	Comore
剛果	Repubblica del Congo
剛果民主共和國	Repubblica Democratica del Congo
聖安東尼奧	San Antonio
吉布提	Gibuti
釙	Polonio
拜仁	Baviera
赤道畿內亞	Guinea Equatoriale
巴登－烏騰堡	Baden-Württemberg
厄立特里亞	Eritrea
新德里	Nuova Delhi
若望保祿二世	Papa Giovanni Paolo II
杜斯托也夫斯基	Fëdor Dostoevskij
第比利斯	Tbilisi
砹	Astato
加蓬	Gabon
甘地	Mahatma Gandhi
漫畫	Fumetto
甘比亞	Gambia
畿內亞	Guinea
畿內亞比紹	Guinea-Bissau
象牙海岸	Costa d'Avorio
喀麥隆	Camerun
維德角	Capo Verde
萊索托	Lesotho
利比利亞	Liberia
利比亞	Libia
阿臣	Aquisgrana
馬達加斯加	Madagascar
馬拉維	Malawi
史特加	Stoccarda
毛里塔尼亞	Mauritania
毛厘士	Mauritius
摩洛哥	Marocco
莫三鼻給	Mozambico
納米比亞	Namibia
尼日爾	Niger
尼日利亞	Nigeria
達爾文	Charles Darwin
烏干達	Uganda
盧旺達	Ruanda
鋯	Zirconio
聖多美普林西比	São Tomé e Príncipe
卡斯魯亞	Karlsruhe
塞內加爾	Senegal
塞舌爾	Seychelles
林奈	Linneo
塞拉利昂	Sierra Leone
索馬里	Somalia
鈮	Niobio
尼赫魯	Jawaharlal Nehru
凱撒	Gaio Giulio Cesare
蘇丹	Sudan
斯威士蘭	Swaziland
虹	Arcobaleno
鉬	Molibdeno
鎝	Tecnezio
漢堡	Amburgo
新陳代謝	Metabolismo
莫迪	Narendra Modi
免疫系統	Sistema immunitario
天演	Evoluzione
聯合國	Organizzazione delle Nazioni Unite
但丁	Dante Alighieri
地質	Geologia
地理	Geografia
心	Cuore umano
腦	Cervello
皮	Pelle
色	Colore
名詞	Sostantivo
布拉格	Praga
釕	Rutenio
銠	Rodio
藍	Blu
鈀	Palladio (elemento chimico)
銀	Argento
鎘	Cadmio
星空奇遇記	Star Trek
銦	Indio
錫	Stagno (elemento chimico)
鈾	Uranio
銻	Antimonio
碲	Tellurio
鈈	Plutonio
碘	Iodio
錼	Nettunio
氙	Xeno
日本動畫	Anime
銫	Cesio (elemento chimico)
鏷	Protoattinio
電荷	Carica elettrica
鋇	Bario
釷	Torio
鉿	Afnio
錒	Attinio
鉭	Tantalio
克林頓	Bill Clinton
鐳	Radio (elemento chimico)
氡	Radon
阿爾薩斯大區	Alsazia
Ubn	Unbinilio
孟買	Mumbai
阿魯納恰爾	Arunachal Pradesh
密芝根州	Michigan
布爾岡	Borgogna
波多黎各	Porto Rico
呂利	Jean-Baptiste Lully
舒勒斯維－荷斯泰因	Schleswig-Holstein
美倫堡－前波瑪恩	Meclemburgo-Pomerania Anteriore
下薩克遜	Bassa Sassonia
北萊茵－西法倫	Renania Settentrionale-Vestfalia
希燊	Assia
萊茵－普法茨	Renania-Palatinato
沙亞	Saarland
薩克遜	Sassonia
約翰連儂	John Lennon
伊利諾州	Illinois
脫靈根	Turingia
薩克遜－雁候	Sassonia-Anhalt
北得高打省	Dakota del Nord
勃蘭登堡	Brandeburgo
不來梅漢莎自由市	Brema (stato)
倫巴第大區	Lombardia
南達科他州	Dakota del Sud
望丹拿省	Montana
懷俄明州	Wyoming
直刃族	Straight edge
耶路撒冷	Gerusalemme
愛達荷州	Idaho
歐斯達山谷大區	Valle d'Aosta
華盛頓州	Washington (stato)
鑪	Rutherfordio
內華達州	Nevada
𨧀	Dubnio
𨭎	Seaborgio
印度洋	Oceano Indiano
科索沃	Kosovo
加勒比海	Mare Caraibico
𨨏	Bohrio
𨭆	Hassio
潘基文	Ban Ki-moon
安南	Kofi Annan
䥑	Meitnerio
哥羅拉度州	Colorado
鐽	Darmstadtio
蕭邦	Fryderyk Chopin
錀	Roentgenio
托斯卡納大區	Toscana
鎶	Copernicio
Category:類	Categoria:Categorie
拉素	Lazio
阿爾卑斯山	Alpi
布萊士帕斯卡	Blaise Pascal
跳棋	Dama
披頭四	The Beatles
Uut	Ununtrio
鈇	Flerovio
Uup	Ununpentio
鉝	Livermorio
Uus	Ununseptio
Uuo	Ununoctio
冬天	Inverno
春天	Primavera
夏天	Estate
秋天	Autunno
薩達姆侯賽因	Saddam Hussein
賓拉登	Osama bin Laden
西班牙文	Lingua spagnola
蒙特維多	Montevideo
巴哈	Johann Sebastian Bach
韋華第	Antonio Vivaldi
歌劇	Opera
費城	Filadelfia (Stati Uniti d'America)
架利吉打	Calcutta
德里	Delhi
達卡	Dacca
蠄蟧	Araneae
蜘蛛綱	Arachnida
節肢動物	Arthropoda
伊斯蘭堡	Islamabad
果	Frutto
錢	Denaro
維珍尼亞州	Virginia
西維珍尼亞州	Virginia Occidentale
番椒	Capsicum annuum
紐約州	New York (Stato)
鈰	Cerio
鐠	Praseodimio
羅德島州	Rhode Island
釹	Neodimio
昆蟲	Insecta
馬利蘭州	Maryland
特拉華州	Delaware
列寧	Lenin
銪	Europio
俄亥俄州	Ohio
維吉爾	Publio Virgilio Marone
馬基雅維利	Niccolò Machiavelli
賓夕凡尼亞州	Pennsylvania
於特森	Uetersen
奧古斯都	Augusto
Microsoft Windows	Microsoft Windows
紐澤西州	New Jersey
直布羅陀	Gibilterra
芬蘭話	Lingua finlandese
印第安納州	Indiana
諾基亞公司	Nokia
汽車	Autovettura
祖雲達斯	Juventus Football Club
圖拉真	Traiano
費達拿	Roger Federer
佐治亞州	Georgia (Stati Uniti d'America)
薩格勒布	Zagabria
德薩斯州	Texas
熱那亞	Genova
北卡羅萊納州	Carolina del Nord
草地曲棍球	Hockey su prato
南卡羅萊納州	Carolina del Sud
西西里	Sicilia
馬尼拉	Manila
薩丁島	Sardegna
馬可斯	Ferdinand Marcos
阿基諾三世	Benigno Aquino III
Ubu	Unbiunio
宿霧	Cebu
塞納河	Senna
布宜諾斯艾利斯	Buenos Aires
墨西哥城	Città del Messico
東京都	Tokyo
拉巴斯	La Paz
巴薩隆拿	Barcellona
菠蘿	Ananas comosus
密西西比州	Mississippi
麥哲倫	Ferdinando Magellano
密西西比河	Mississippi (fiume)
泳池	Piscina
錫金	Sikkim
田納西州	Tennessee
華格納	Richard Wagner
阿必尚	Abidjan
阿布扎比	Abu Dhabi
阿斯塔納	Astana
新墨西哥州	Nuovo Messico
雅典	Atene
迴旋處	Rotatoria
明尼蘇達州	Minnesota
巴格達	Baghdad
卡拉卡斯	Caracas
世界協調時間	Tempo coordinato universale
威斯康辛州	Wisconsin
AC米蘭	Associazione Calcio Milan
仙荻廬泊	Cyndi Lauper
埃奧華省	Iowa
內布拉斯加州	Nebraska
干沙省	Kansas
夏灣拿	L'Avana
煙草	Tabacco
印地話	Lingua hindi
馬拉地文	Lingua marathi
Internet Explorer	Internet Explorer
煙仔	Sigaretta
美疏利省	Missouri
路易斯安那州	Louisiana
肯塔基州	Kentucky
阿肯色州	Arkansas
尼爾岩士唐	Neil Armstrong
烏爾都文	Lingua urdu
伊蒂琵雅芙	Édith Piaf
Françoise Sagan	Françoise Sagan
奧克拉何馬州	Oklahoma
多瑙河	Danubio
韻文	Verso
北海	Mare del Nord
莫斯科州	Oblast' di Mosca
基爾	Kiel
舒維蓮	Schwerin
波茨坦	Potsdam
漢諾威	Hannover
杜塞爾多夫	Düsseldorf
緬恩斯	Magonza
威斯巴登	Wiesbaden
沙卜勤	Saarbrücken
慕尼黑	Monaco di Baviera
艾雅福	Erfurt
德累斯頓	Dresda
麥德堡	Magdeburgo
排球	Pallavolo
維也納	Vienna
麥當娜	Madonna (cantante)
哥本哈根	Copenaghen
斯德哥爾摩	Stoccolma
赫爾辛基	Helsinki
都柏林	Dublino
雷克雅未克	Reykjavík
塔林	Tallinn
里加	Riga
路易斯岩士唐	Louis Armstrong
布拉迪斯拉發	Bratislava
布達佩斯	Budapest
格但斯克	Danzica
法蘭克福	Francoforte sul Meno
鑭	Lantanio
鉕	Promezio
天文單位	Unità astronomica
釤	Samario
釓	Gadolinio
死亡筆記	Death Note
施丹	Zinédine Zidane
鋱	Terbio
天主敎	Cattolicità
盧森堡城	Lussemburgo (città)
鏑	Disprosio
華杜茲	Vaduz
聖經	Bibbia
鈥	Olmio
聖馬連奴城	Città di San Marino
鉺	Erbio
金邊	Phnom Penh
銩	Tulio
胡志明市	Ho Chi Minh (città)
鐿	Itterbio
鑥	Lutezio
河內	Hanoi
真耶穌教會	Vera Chiesa di Gesù
英文	Lingua inglese
曼谷	Bangkok
安道爾城	Andorra la Vella
吉隆坡	Kuala Lumpur
臺北市	Taipei
鋂	Americio
鋦	Curio
同海市	Dong Hoi
Concepción	Concepción (Cile)
鉳	Berkelio
鉲	Californio
外交	Diplomazia
博洛尼亞	Bologna
鑀	Einsteinio
鐨	Fermio
卡利亞里	Cagliari
鍆	Mendelevio
基輔	Kiev
鍩	Nobelio
卡坦尼亞	Catania
安大略省	Ontario
鐒	Laurenzio
基奧特	Olivier Giroud
列貝利	Franck Ribéry
拿斯利	Samir Nasri
基捷基治	Gaël Clichy
渥太華	Ottawa
艾比度	Éric Abidal
加拿斯	William Gallas
沙格拿	Bacary Sagna
安歷卡	Nicolas Anelka
木星嘅衞星	Satelliti naturali di Giove
緬尼吐巴	Manitoba
亞伯達	Alberta
諾華斯高沙	Nuova Scozia
埃里溫	Erevan
官士哥窩拿	Końskowola
喀土穆	Khartum
紐賓士域省	Nuovo Brunswick
土星嘅衞星	Satelliti naturali di Saturno
卑詩省	Columbia Britannica
愛德華王子島	Isola del Principe Edoardo
2000年	2000
2003年	2003
2002年	2002
2001年	2001
沙士加芝灣	Saskatchewan
2012年	2012
岸本齊史	Masashi Kishimoto
2011年	2011
2010年	2010
2009年	2009
二氧化碳	Anidride carbonica
2013年	2013
2014年	2014
2015年	2015
紐芬蘭與拉布拉多	Terranova e Labrador
2008年	2008
JavaScript	JavaScript
西北地區	Territori del Nord-Ovest
育空地區	Yukon
2004年	2004
2005年	2005
龍珠	Dragon Ball
2006年	2006
努那活	Nunavut
2007年	2007
一氧化碳	Monossido di carbonio
1900年	1900
1901年	1901
密特朗	François Mitterrand
戴高樂	Charles de Gaulle
1902年	1902
翡冷翠	Firenze
1903年	1903
1904年	1904
1905年	1905
1907年	1907
1906年	1906
HTML5	HTML5
1908年	1908
1909年	1909
1992年	1992
1991年	1991
1990年	1990
1993年	1993
1994年	1994
1995年	1995
1996年	1996
1910年	1910
1911年	1911
1912年	1912
萊比錫	Lipsia
1913年	1913
1914年	1914
1915年	1915
1916年	1916
1997年	1997
1998年	1998
1999年	1999
1917年	1917
1918年	1918
嘢食	Alimento
蛇	Serpentes
希拉克	Jacques Chirac
光速	Velocità della luce
口交	Sesso orale
Favicon	Favicon
海王星嘅衞星	Satelliti naturali di Nettuno
魁北克市	Québec (città)
UTC-12	UTC-12
1月1號	1º gennaio
1月2號	2 gennaio
天王星嘅衞星	Satelliti naturali di Urano
UTC-11	UTC-11
1920年	1920
1月3號	3 gennaio
1919年	1919
1921年	1921
UTC-10	UTC-10
1922年	1922
1月4號	4 gennaio
1923年	1923
UTC-9:30	UTC-9:30
蘭斯岩士唐	Lance Armstrong
1924年	1924
小行星帶	Fascia principale
UTC-9	UTC-9
龐比度	Georges Pompidou
WMA	Windows Media Audio
矮行星	Pianeta nano
1月5號	5 gennaio
UTC-8	UTC-8
馬模	Malmö
UTC-7	UTC-7
1月6號	6 gennaio
電子	Elettrone
1月7號	7 gennaio
1月8號	8 gennaio
1月9號	9 gennaio
1月10號	10 gennaio
1月11號	11 gennaio
1月12號	12 gennaio
艾德靈	Buzz Aldrin
1月13號	13 gennaio
伯明翰	Birmingham
1月14號	14 gennaio
1月15號	15 gennaio
1月16號	16 gennaio
湯漢斯	Tom Hanks
1月17號	17 gennaio
1月18號	18 gennaio
1月19號	19 gennaio
1月20號	20 gennaio
工業革命	Rivoluzione industriale
苯	Benzene
1月21號	21 gennaio
1月22號	22 gennaio
1月23號	23 gennaio
羅馬帝國	Impero romano
1月24號	24 gennaio
1月25號	25 gennaio
明斯克	Minsk
1月26號	26 gennaio
微軟	Microsoft
1月27號	27 gennaio
1月28號	28 gennaio
1月29號	29 gennaio
1月30號	30 gennaio
1月31號	31 gennaio
質子	Protone
12月2號	2 dicembre
12月1號	1º dicembre
12月3號	3 dicembre
12月7號	7 dicembre
12月5號	5 dicembre
12月8號	8 dicembre
12月10號	10 dicembre
12月6號	6 dicembre
12月9號	9 dicembre
12月4號	4 dicembre
2月1號	1º febbraio
2月2號	2 febbraio
氯化鈉	Cloruro di sodio
2月3號	3 febbraio
庫魯夫市	Kurów
2月4號	4 febbraio
2月5號	5 febbraio
2月6號	6 febbraio
2月7號	7 febbraio
2月8號	8 febbraio
2月9號	9 febbraio
2月10號	10 febbraio
化學	Chimica
齊柏林飛船	Led Zeppelin
2月14號	14 febbraio
2月13號	13 febbraio
2月15號	15 febbraio
2月11號	11 febbraio
2月12號	12 febbraio
雲佩斯	Robin van Persie
2月19號	19 febbraio
2月17號	17 febbraio
2月16號	16 febbraio
2月18號	18 febbraio
2月20號	20 febbraio
分析化學	Chimica analitica
中子	Neutrone
2月21號	21 febbraio
2月22號	22 febbraio
2月23號	23 febbraio
2月24號	24 febbraio
2月25號	25 febbraio
2月26號	26 febbraio
27年	27
2月27號	27 febbraio
2月28號	28 febbraio
12月11號	11 dicembre
2月29號	29 febbraio
12月12號	12 dicembre
微軟Visual Basic	Visual Basic
12月13號	13 dicembre
12月14號	14 dicembre
12月15號	15 dicembre
3月2號	2 marzo
3月3號	3 marzo
3月5號	5 marzo
3月1號	1º marzo
