Afraga	Africa
Ronnie Wood	Ronnie Wood
Finn E. Kydland	Finn Kydland
Fulangach (gràmar)	Diatesi
Comhairle Mhoireibh	Moray
Alasdair III na h-Alba	Alessandro III di Scozia
Comhairle nan Crìochan	Scottish Borders
Magnus Maximus	Magno Massimo
Ruaraidh MacFhionghain	Roderick MacKinnon
Garaids	Garage rock
Rìgh Seumas VIII Alba agus III Shasainn	Giacomo Francesco Edoardo Stuart
Alexandrine	Alessandrino (metrica)
Ceatharlach	Carlow
200an	Anni 200
James Tobin	James Tobin
Fàsach Shimpson	Deserto Simpson
Pàislig	Paisley
Arainn	Arran
Bangor	Bangor
Comhairle Dhùn Bhreatainn an Ear	Dunbartonshire Orientale
Comhairle Shiorrachd Rinn Friù an Ear	Renfrewshire Orientale
Auld Lang Syne	Auld Lang Syne
Dùn Phàrlain	Dunfermline
Cù Chullain	Cú Chulainn
Viðoy	Viðoy
Kunoy	Kunoy
Stóra Dímun	Stóra Dímun
Kalsoy	Kalsoy
Caisteal Dhùn Éideann	Castello di Edimburgo
Roger Ebert	Roger Ebert
P. W. Botha	Pieter Willem Botha
Palmerston North	Palmerston North
Fawlty Towers	Fawlty Towers
Wadowice	Wadowice
20an RC	Anni 20 a.C.
Na Seumasaich	Giacobitismo
New Plymouth, Sealainn Nuadh	New Plymouth
Briogais-snàmh	Costume da bagno
Santa Rosa, Calafòrnia	Santa Rosa (California)
Antidorcas marsupialis	Antidorcas marsupialis
Aberystwyth	Aberystwyth
Menen	Menen
Clamecy (Nièvre)	Clamecy (Nièvre)
Buidheag (lus)	Ranunculus repens
Sir Benfro	Pembrokeshire
Mykines	Mykines (Fær Øer)
Liùrabhaig	Lerwick
210an	Anni 210
Rutger Hauer	Rutger Hauer
Uachtaran	Capi di Stato d'Irlanda
Tom Selleck	Tom Selleck
Camanachd Èireannach	Hurling
Buain	Raccolta
The Hunchback of Notre Dame (film 1996)	Il gobbo di Notre Dame (film 1996)
Easag (eun)	Fagiano
Rìghrean na h-Alba	Sovrani di Scozia
Adolfo Suárez y González	Adolfo Suárez González
Andy Williams	Andy Williams
220an	Anni 220
Leticia (baile)	Leticia
An Cabhán	Cavan (Irlanda)
Ceannaiche	Mercante
Roinnean ann an Coloimbia	Dipartimenti della Colombia
230an	Anni 230
Nás na Ríogh	Naas
Carabhan	Roulotte
Stràc gheur	Accento acuto
Logarbaidh	Lockerbie
Spòrs bhuidheann	Sport di squadra
Charlie Watts	Charlie Watts
Plastair	Cerotto
Bàrc	Brigantino a palo
BBC a dhà	BBC Two
Hilo, Hawaii	Hilo (Hawaii)
Oilthigh Chill Rìmhinn	Università di St. Andrews
Eun-turais	Uccelli migratori
Fianna Fáil	Fianna Fáil
C.B. Tobar na Màthar	Motherwell Football Club
Basgaid-sgudail	Contenitore per rifiuti
Sam Houston	Sam Houston
Caibe	Vanga
Daibhidh I na h-Alba	Davide I di Scozia
Breacan	Tartan
Comhairle na h-Eaglaise Brice	Falkirk
Cúcuta	Cúcuta
Svínoy	Svínoy
Skúvoy	Skúvoy
Sgeir	Scoglio
N.W.A.	N.W.A.
Oliver & Company	Oliver & Company
240an	Anni 240
Yr Wyddfa	Snowdon (Galles)
Richard Trevithick	Richard Trevithick
Ùrlar	Pavimento
David Letterman	David Letterman
Ithaca, Eabhraig Nuadh	Ithaca (New York)
Florence and the Machine	Florence and the Machine
Walter Gilbert	Walter Gilbert
Kenichi Fukui	Kenichi Fukui
Ceredigion	Ceredigion
Grianaig	Greenock
Comhairle Shruighlea	Stirling (area amministrativa)
Sir Gaerfyrddin	Carmarthenshire
250an	Anni 250
Halifax	Halifax
Faidhbhile deasach	Nothofagus
C.B. na h-Eaglaise Brice	Falkirk Football Club
Pietrasanta	Pietrasanta
260an	Anni 260
Fayetteville, Arkansas	Fayetteville (Arkansas)
Inbhir Aora	Inveraray
Oilthigh Washington	Università di Washington
Na Deuchainnean na Buidseachd Salem	Processo alle streghe di Salem
Robert Mundell	Robert Mundell
George Canning	George Canning
Richard Stone	Richard Stone
270an	Anni 270
Hunter S. Thompson	Hunter Stockton Thompson
Fiodh-fillte	Compensato
Daviess County, Indiana	Contea di Daviess (Indiana)
Sgoil Eòlas an Oirthir agus Afraga	School of Oriental and African Studies
Bàirneach	Cirripedia
Roquebrune-Cap-Martin	Roquebrune-Cap-Martin
Charles Rennie Mackintosh	Charles Rennie Mackintosh
The Killers	The Killers
280an	Anni 280
Pío Baroja	Pío Baroja
Coinneach III na h-Alba	Kenneth III di Scozia
Anggun	Anggun
290an	Anni 290
Blàr Allt a' Bhonnaich	Battaglia di Bannockburn
George Akerlof	George Akerlof
Itapúa	Dipartimento di Itapúa
Tè-bhuairidh	Femme fatale
Arm na Breatainne	British Army
Seumas III Alba	Giacomo III di Scozia
Ibagué	Ibagué
Muir-seilche	Testudines
Cogadh Chaco	Guerra del Chaco
Casper, Wyoming	Casper (Wyoming)
Barraigh	Isola di Barra
300an	Anni 300
Robert Bruce Merrifield	Robert Bruce Merrifield
30an RC	Anni 30 a.C.
310an	Anni 310
Nelson	Nelson
Fe	FE
BMI	BMI
320an	Anni 320
Henrik Pontoppidan	Henrik Pontoppidan
Riverside	Riverside
Aodh Mór Ó Néill	Hugh O'Neill
330an	Anni 330
An Comann Eadar-Cheilteach	Celtic League (politica)
340an	Anni 340
Carl Friedrich Georg Spitteler	Carl Spitteler
Lùdag	Mignolo
Dùthchannan san Roinn Eòrpa	Stati dell'Europa
Dùthchannan ann an Afraga	Stati dell'Africa
Creithleag-nan-each	Tabanidae
Rub' al Khali	Rub' al-Khali
Cuthag-bhogaidh	Motacilla
Nariño (Roinn)	Dipartimento di Nariño
Arauca (Roinn)	Dipartimento di Arauca
Chocó (Roinn)	Dipartimento di Chocó
Bolívar (Roinn)	Dipartimento di Bolívar
Cauca (Roinn)	Dipartimento di Cauca
Caldas (Roinn)	Dipartimento di Caldas
Edward Doisy	Edward Adelbert Doisy
Zusamaltheim	Zusamaltheim
Irwin Rose	Irwin Rose
Atlántico (Roinn)	Dipartimento dell'Atlantico (Colombia)
Ball-lìn	Netball
Jacques Monod	Jacques Monod
400an	Anni 400
Acton	Acton
Michael Smith	Michael Smith (chimico)
John Cowdery Kendrew	John Kendrew
Avram Hershko	Avram Hershko
40an RC	Anni 40 a.C.
Robert Burns Woodward	Robert Burns Woodward
Rem Koolhaas	Rem Koolhaas
Carice van Houten	Carice van Houten
410an	Anni 410
Cundinamarca (Roinn)	Dipartimento di Cundinamarca
Burton	Burton
Roger Myerson	Roger Myerson
Putumayo (Roinn)	Dipartimento di Putumayo
Arne Wilhelm Kaurin Tiselius	Arne Tiselius
Eric Maskin	Eric Maskin
Norte de Santander (Roinn)	Dipartimento di Norte de Santander
Peoria, Illinois	Peoria (Illinois)
420an	Anni 420
Aaron Ciechanover	Aaron Ciechanover
Robert Sanderson Mulliken	Robert Mulliken
Laoidh Nàiseanta Choloimbia	Inno nazionale della Colombia
Gisborne, Sealainn Nuadh	Gisborne (città)
Offa	Offa di Mercia
Ferney-Voltaire	Ferney-Voltaire
430an	Anni 430
Rockford, Illinois	Rockford (Illinois)
Theodore W. Schultz	Theodore Schultz
Daniel Kahneman	Daniel Kahneman
John A. Pople	John Pople
Luis F. Leloir	Luis Federico Leloir
Spencer Perceval	Spencer Perceval
Erie, Pennsylvania	Erie (Pennsylvania)
Biadh Seapanach	Cucina giapponese
Giulio Natta	Giulio Natta
Adhaltranas	Adulterio
440an	Anni 440
Tolima (Roinn)	Dipartimento di Tolima
Vaupés (Roinn)	Dipartimento di Vaupés
Cecilia Payne-Gaposchkin	Cecilia Payne Gaposchkin
Córdoba (Roinn)	Dipartimento di Córdoba
Cesar (Roinn)	Dipartimento di Cesar
Huila (Roinn)	Dipartimento di Huila
450an	Anni 450
Aingeal	Angelo
Santander (Roinn)	Dipartimento di Santander
Miso	Miso
John E. Walker	John Ernest Walker
Sucre (Roinn)	Dipartimento di Sucre
Manizales (baile)	Manizales
Clash of Civilizations	Lo scontro delle civiltà
Seumas I, Rìgh Alba	Giacomo I di Scozia
460an	Anni 460
Bòrd-dubh	Lavagna
Fisting	Fisting
Ronald George Wreyford Norrish	Ronald Norrish
James Meade	James Meade
Henry Taube	Henry Taube
470an	Anni 470
Calum Cille	Columba di Iona
Ubhal-ghort	Frutteto
Dùthchannan Ceilteach	Nazioni celtiche
Tunja	Tunja
480an	Anni 480
Lucía Etxebarría	Lucía Etxebarría
Dubravka Ugrešić	Dubravka Ugrešić
490an	Anni 490
Robert Fogel	Robert Fogel
John C. Polanyi	John Charles Polanyi
Edward Smith-Stanley, 14th Earl of Derby	Edward Smith-Stanley, XIV conte di Derby
Seòras Santayana	George Santayana
Alasdair II na h-Alba	Alessandro II di Scozia
Meta (Roinn)	Dipartimento di Meta
William Cavendish, 4th Duke of Devonshire	William Cavendish, IV duca di Devonshire
Guainía (Roinn)	Dipartimento di Guainía
Moya Brennan	Moya Brennan
Mary Mallon	Mary Mallon
Dolores Ibárruri	Dolores Ibárruri
Sacagawea	Sacajawea
Rudolph A. Marcus	Rudolph Marcus
Daibhidh II, Rìgh Alba	Davide II di Scozia
Nólsoy	Nólsoy
Dixie Carter	Dixie Carter
Page County, Iowa	Contea di Page (Iowa)
500an	Anni 500
Dessau-Roßlau	Natalie Dessay
Provençal	Dialetto provenzale
Orhan Pamuk	Orhan Pamuk
50an RC	Anni 50 a.C.
510an	Anni 510
Carpineto Romano	Carpineto Romano
Castel Gandolfo	Castel Gandolfo
520an	Anni 520
530an	Anni 530
Naperville, Illinois	Naperville
Poli	Poli (Italia)
Yuan T. Lee	Yuan T. Lee
Douglass North	Douglass North
Dudley R. Herschbach	Dudley Herschbach
540an	Anni 540
546 RC	546 a.C.
George J. Stigler	George Stigler
Robert Gascoyne-Cecil, 3rd Marquess of Salisbury	Robert Gascoyne-Cecil, III marchese di Salisbury
550an	Anni 550
Bucaramanga	Bucaramanga
Bàrd Spàinnteach Antonio Machado	Antonio Machado
560an	Anni 560
Banntach	Cerniera (meccanica)
Ken Kesey	Ken Kesey
MacBheatha na h-Alba	Macbeth di Scozia
570an	Anni 570
Bolgan	Bulbo (disambigua)
George Grenville	George Grenville
Archibald Primrose, 5th Earl of Rosebery	Archibald Philip Primrose, V conte di Rosebery
580an	Anni 580
Henry Pelham	Henry Pelham
Bòdhran	Bodhrán
Charles J. Pedersen	Charles J. Pedersen
590an	Anni 590
William Styron	William Styron
Teth	TET
600an	Anni 600
Fine Gael	Fine Gael
Meade County, Kansas	Contea di Meade (Kansas)
60an RC	Anni 60 a.C.
610 RC	610 a.C.
610an	Anni 610
Sherman County, Kansas	Contea di Sherman (Kansas)
Ball-coise Canaidianach	Football canadese
Àrd-Dhiùcachd Bherg	Granducato di Berg (1806-1813)
620an	Anni 620
Companaidh Obrachaidh Trèanaichean	Impresa ferroviaria
Liosta nam fàsaichean a rèir farsaingeachd	Deserti più grandi del mondo
Winnebago County, Iowa	Contea di Winnebago (Iowa)
Étienne Mourrut	Étienne Mourrut
800an	Anni 800
Stafa	Staffa (Scozia)
Aol	Calce
Sgioba nàiseanta rugbaidh na Portagail	Nazionale di rugby a 15 del Portogallo
Sgioba nàiseanta rugbaidh na Spàinne	Nazionale di rugby a 15 della Spagna
630an	Anni 630
Hawke's Bay Region	Hawke's Bay
Beul Tairbeirt	Belturbet
Baile Shéamais Dhuibh	Ballyjamesduff
640an	Anni 640
Jefferson County, Oregon	Contea di Jefferson (Oregon)
650an	Anni 650
Perry County, Alabama	Contea di Perry (Alabama)
660an	Anni 660
Achadh an Iúir	Virginia (Irlanda)
Brìghde	Brigid
670an	Anni 670
Liberty County, Florida	Contea di Liberty (Florida)
Hamilton County, Florida	Contea di Hamilton (Florida)
Jefferson County, Kansas	Contea di Jefferson (Kansas)
Kaitaia	Kaitaia
Caergybi	Holyhead
690an	Anni 690
Bainsiò	Banjo
Ralls County, Missouri	Contea di Ralls
Buidseachd	Stregoneria
Grundy County, Illinois	Contea di Grundy (Illinois)
700an	Anni 700
Lauderdale County, Alabama	Contea di Lauderdale (Alabama)
70an	Anni 70
An Tìr Glan	Amidismo
70an RC	Anni 70 a.C.
710an	Anni 710
Manatee County, Florida	Contea di Manatee
720an	Anni 720
Washington County, Florida	Contea di Washington (Florida)
Monroe County, Florida	Contea di Monroe (Florida)
730an	Anni 730
Diùcachd Anhalt-Köthen	Anhalt-Köthen
Hancock County, Illinois	Contea di Hancock (Illinois)
740an	Anni 740
Cnàmh	Osso
750an	Anni 750
760an	Anni 760
Kingfisher County, Oklahoma	Contea di Kingfisher
Bataraidh	Pila (elettrotecnica)
Andes (baile)	Andes (Colombia)
770an	Anni 770
Patrick Moore	Patrick Moore (astronomo)
Vichada (Roinn)	Dipartimento di Vichada
780an	Anni 780
Montgomery County, Kentucky	Contea di Montgomery (Kentucky)
Seòras V	Giorgio V del Regno Unito
790an	Anni 790
Iúr Cinn Trá	Newry
Spencer Compton, 1st Earl of Wilmington	Spencer Compton, I conte di Wilmington
Oilthigh Obar Dheathain	Università di Aberdeen
80an	Anni 80
80an RC	Anni 80 a.C.
810an	Anni 810
Glenn County, Calafòrnia	Contea di Glenn
Colusa County, Calafòrnia	Contea di Colusa
Calaveras County, Calafòrnia	Contea di Calaveras
820an	Anni 820
Fresno County, Calafòrnia	Contea di Fresno
Eddie van Halen	Eddie van Halen
830an	Anni 830
Craobhlann	Arboreto
840an	Anni 840
Marcus Garvey	Marcus Garvey
Taibhse an Opra	Il fantasma dell'Opera
Harry Markowitz	Harry Markowitz
John Harsanyi	John Harsanyi
Joseph Black	Joseph Black
Dasht-e Kavir	Dasht-e Kavir
Kasabian	Kasabian
Sir Arthur Lewis	Arthur Lewis (economista)
Ténéré	Ténéré
Mu (tìr)	Mu (continente)
Fàsach Ghibson	Deserto di Gibson
850an	Anni 850
La Guajira (Roinn)	Dipartimento di La Guajira
Seumas II Alba	Giacomo II di Scozia
Guaviare (Roinn)	Dipartimento di Guaviare
Ceàrn dearg	Quartiere a luci rosse
Ionmhas	Tesoro
Cuiteag	Merlangius merlangus
Bean-shìdh	Banshee
Leopoldo Calvo-Sotelo y Bustelo	Leopoldo Calvo-Sotelo Bustelo
Roald Hoffmann	Roald Hoffmann
Partan tuathal	Paguroidea
Rapunsail	Raperonzolo
Urk	Urk (Paesi Bassi)
Thomas Pelham-Holles, 1st Duke of Newcastle-upon-Tyne	Thomas Pelham-Holles, I duca di Newcastle-upon-Tyne
Aparan	Grembiule
William Sharpe	William Sharpe
Geoffrey Wilkinson	Geoffrey Wilkinson
Loreena McKennitt	Loreena McKennitt
900an	Anni 900
90an	Anni 90
910an	Anni 910
Uilebheist	Mostro
Sgioba nàiseanta rugbaidh na h-Uruguaidh	Nazionale di rugby a 15 dell'Uruguay
Seumas Mac an Deòir	James Dewar
Loona	Loona
Rùm	Isola di Rùm
Diùcachd Anhalt-Dessau	Anhalt-Dessau
San José de David	David (Panamá)
Jim Hogg County, Texas	Contea di Jim Hogg
Seminole County, Florida	Contea di Seminole (Florida)
Seòras VI	Giorgio VI del Regno Unito
Òrgan	Organo (strumento musicale)
Grant County, Washington	Contea di Grant (Washington)
IJmuiden	IJmuiden
Cosgais cuairt-bheatha	Costo del ciclo di vita
Acarsaid	Porto
Nicholas County, Virginia an Iar	Contea di Nicholas (Virginia Occidentale)
Lafayette, Calafòrnia	Lafayette (California)
Wright County, Missouri	Contea di Wright (Missouri)
Latah County, Idaho	Contea di Latah
Augusta County, Virginia	Contea di Augusta
Copacabana	Copacabana (Colombia)
Robert Merton	Robert Merton
Carl Reiner	Carl Reiner
Villarrica	Villarrica (Paraguay)
Adhbharachas	Agnosticismo
Marjorie Estiano	Marjorie Estiano
Béatrice Martin	Cœur de Pirate
Maries County, Missouri	Contea di Maries
Étretat	Étretat
Gaidhealtachd Innis Tìle	Altopiani d'Islanda
Aonghas I	Óengus I
Martin Landau	Martin Landau
Iain Stiubhart, 3mh Iarla Bhoid	John Stuart, III conte di Bute
Charles Grey, 2nd Earl Grey	Charles Grey
Raibeart III, Rìgh Alba	Roberto III di Scozia
Linn	Linn
Myron Scholes	Myron Scholes
Robert F. Engle	Robert Engle
William Vickrey	William Vickrey
Vernon Smith	Vernon Smith
Lawrence Klein	Lawrence Klein
Dare County, Carolina a Tuath	Contea di Dare
Sgiath	Wing
Alistair Darling	Alistair Darling
Hendrik Verwoerd	Hendrik Frensch Verwoerd
Coinneach I na h-Alba	Kenneth I di Scozia
Beulah	Beulah
Baile an Tobair	Ballintubber
Lincoln County, Oregon	Contea di Lincoln (Oregon)
Talladega County, Alabama	Contea di Talladega
Sherman County, Oregon	Contea di Sherman (Oregon)
Lee County, Carolina a Deas	Contea di Lee (Carolina del Sud)
Miami County, Indiana	Contea di Miami (Indiana)
Skamania County, Washington	Contea di Skamania
Aedh na h-Alba	Aedh di Scozia
Quidditch	Quidditch
James Gandolfini	James Gandolfini
Cupa na h-Alba (Ball-coise)	Scottish Cup
Jean-Claude Van Damme	Jean-Claude Van Damme
Oilthigh Shalamanca	Università di Salamanca
C.B. Cluaran Cailleannach Inbhir Nis	Inverness Caledonian Thistle Football Club
Crogall	Crocodylus
Prionnsalachd Schaumburg-Lippe	Schaumburg-Lippe
Henri Victor Regnault	Henri-Victor Regnault
Lüneburger Heide	Landa di Luneburgo
Mariana na h-Ostaire	Maria Anna d'Asburgo (1634-1696)
Murag	Murex
Cill an Seanrátha	Killeshandra
Fachach	Fratercula
Costilla County, Colorado	Contea di Costilla
Cheyenne County, Colorado	Contea di Cheyenne (Colorado)
Sedgwick County, Colorado	Contea di Sedgwick (Colorado)
Faoiteag	Cypraea
Delta County, Colorado	Contea di Delta (Colorado)
Custer County, Colorado	Contea di Custer (Colorado)
Andy Griffith	Andy Griffith
Crowley County, Colorado	Contea di Crowley
Dolores County, Colorado	Contea di Dolores
Phillips County, Colorado	Contea di Phillips (Colorado)
Summit County, Colorado	Contea di Summit (Colorado)
Conejos County, Colorado	Contea di Conejos
Logan County, Colorado	Contea di Logan (Colorado)
Mineral County, Colorado	Contea di Mineral (Colorado)
Pitkin County, Colorado	Contea di Pitkin
Washington County, Colorado	Contea di Washington (Colorado)
Montezuma County, Colorado	Contea di Montezuma
Otero County, Colorado	Contea di Otero (Colorado)
Bill Wyman	Bill Wyman
Daniel McFadden	Daniel McFadden
James Heckman	James Heckman
Seumas Mac a' Phearsain	James Macpherson
Saguache County, Colorado	Contea di Saguache
Douglas Haig	Douglas Haig
William Lamb, 2na Biocas Melbourne	William Lamb, II visconte Melbourne
Robert Jenkinson, 2na Iarla de Pholl a' Ghrùthain	Robert Banks Jenkinson, II conte di Liverpool
Johan Gadolin	Johan Gadolin
William Petty, 2nd Earl of Shelburne	William Petty, II conte di Shelburne
Clive W. J. Granger	Clive Granger
Henry Addington, 1d Biocas Sidmouth	Henry Addington, I visconte Sidmouth
Iain Banks	Iain Banks
Prionnsa Teàrlach Stiùbhart	Carlo Edoardo Stuart
Augustus FitzRoy, 3rd Duke of Grafton	Augustus Henry FitzRoy, III duca di Grafton
Edward C. Prescott	Edward Prescott
Lincoln County, Colorado	Contea di Lincoln (Colorado)
Claude Louis Berthollet	Claude Louis Berthollet
Dòmhnall I na h-Alba	Donald I di Scozia
Frederick John Robinson, 1d Biocas Goderich	Frederick John Robinson
Raibeart II, Rìgh na h-Alba	Roberto II di Scozia
Frederick North, Lord North	Frederick North
Uilleam I na h-Alba	Guglielmo I di Scozia
Ian Wright	Ian Wright
William Grenville, 1d Baran Grenville	William Wyndham Grenville, I barone Grenville
Pueblo County, Colorado	Contea di Pueblo
Routt County, Colorado	Contea di Routt
Rio Grande County, Colorado	Contea di Rio Grande
Montrose County, Colorado	Contea di Montrose
Park County, Colorado	Contea di Park (Colorado)
Teller County, Colorado	Contea di Teller
Morgan County, Colorado	Contea di Morgan (Colorado)
San Miguel County, Colorado	Contea di San Miguel (Colorado)
Daniel Rutherford	Daniel Rutherford
Diùcachd Shagsainn-Lauenburg	Sassonia-Lauenburg
Johan August Arfwedson	Johan August Arfwedson
Quintus Caecilius Metellus Pius	Quinto Cecilio Metello Pio
Paul Tergat	Paul Tergat
Balthazar Johannes Vorster	Balthazar Johannes Vorster
Hal Holbrook	Hal Holbrook
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Bodach na Nollaige	Babbo Natale
Michiel de Ruyter	Michiel de Ruyter
Owain Glyndŵr	Owain Glyndŵr
Ally McCoist	Ally McCoist
Donovan	Donovan
Còiseam I na h-Alba	Costantino I di Scozia
Toirt am bruid	Sottrazione di minorenne
Johan de Witt	Johan de Witt
C.B. Naomh Mearain	St. Mirren Football Club
Baralachas	Congettura
Prìomh Mhinistear Astràilianach	Primo ministro dell'Australia
Aberdâr	Aberdare
Aberdyfi	Aberdyfi
Aberffraw	Aberffraw
Alasdair MacCoinnich	Alexander Mackenzie
Kawagoe	Kawagoe
Pasto	Pasto (Colombia)
Colombey-les-Deux-Églises	Colombey-les-Deux-Églises
Tulach Mhór	Tullamore
Gòbhlan-monaidh	Tachymarptis melba
Blianadh	Abbronzatura
Fo-sgrìobhadh	Abbonamento
Abèidh	Aboyne
Fairfield, Calafòrnia	Fairfield (California)
Wąbrzeźno	Wąbrzeźno
Bàta-iasgaich	Peschereccio
Fàsach Mhòr na Gainmhich	Gran Deserto Sabbioso
Binid	Caglio
Cruinneadaireachd	Geometria sferica
Bangor, Maine	Bangor (Maine)
Cleburne County, Alabama	Contea di Cleburne (Alabama)
Laramie, Wyoming	Laramie
Damanhùr	Damanhur
Armenia (baile)	Armenia (Quindío)
Connochaetes taurinus	Connochaetes taurinus
Clarksville, Tennessee	Clarksville (Tennessee)
Raidió Teilifís Éireann	RTÉ
Feòladair	Macellaio
Abraham Darby	Abraham Darby I
Adhlaic	Sepoltura
Oak Park, Illinois	Oak Park (Illinois)
Naomh Daibhidh	Davide di Menevia
Maol Chaluim II na h-Alba	Malcolm II di Scozia
The Two Towers (leabhar)	Le due torri (romanzo)
Deportivo Independiente Medellín	Corporación Deportiva Independiente Medellín
Atlético Nacional	Corporación Deportiva Club Atlético Nacional
Envigado F.C.	Corporación Deportiva Envigado Fútbol Club
John Bruton	John Bruton
Alistair MacLean	Alistair MacLean
Lee Child	Lee Child
Wallace Carothers	Wallace Hume Carothers
Maol Chaluim I na h-Alba	Malcolm I di Scozia
Charles Haughey	Charles Haughey
Còiseam II na h-Alba	Costantino II di Scozia
Tom Bosley	Tom Bosley
Thomas Graham	Thomas Graham
Newport News, Virginia	Newport News
Gloucester County, Virginia	Contea di Gloucester (Virginia)
Aspergillus	Aspergillus
Popayán	Popayán
Kappa (Creutair Miotas-eolasach)	Kappa
Wizz Air	Wizz Air
Pointe-à-Pitre	Pointe-à-Pitre
C.B. Dhùn Dèagh	Dundee Football Club
Toirdhealbhach Ó Cearbhalláin	Turlough O'Carolan
An Observer	The Observer
Am Morair Loudoun	John Campbell, IV conte di Loudoun
Raymond Burr	Raymond Burr
Mathews County, Virginia	Contea di Mathews
New Kent County, Virginia	Contea di New Kent
Charles City County, Virginia	Contea di Charles City
Prince George County, Virginia	Contea di Prince George
Southampton County, Virginia	Contea di Southampton
Isle of Wight County, Virginia	Contea di Isle of Wight
Goshen County, Wyoming	Contea di Goshen
Miner County, Dakota a Deas	Contea di Miner
Fàsach Shirianach	Deserto siriano
Grant County, Nebraska	Contea di Grant (Nebraska)
Sussex County, Virginia	Contea di Sussex (Virginia)
Dinwiddie County, Virginia	Contea di Dinwiddie
Chesterfield County, Virginia	Contea di Chesterfield (Virginia)
Henrico County, Virginia	Contea di Henrico
Hanover County, Virginia	Contea di Hanover
Caroline County, Virginia	Contea di Caroline (Virginia)
Stafford County, Virginia	Contea di Stafford (Virginia)
Middlesex County, Virginia	Contea di Middlesex (Virginia)
Fairfax County, Virginia	Contea di Fairfax
Hampton, Virginia	Hampton (Virginia)
Burgess Meredith	Burgess Meredith
İstiklâl Marşı	İstiklâl Marşı
Gerard ter Borch	Gerard ter Borch
Adair County, Oklahoma	Contea di Adair (Oklahoma)
Am Morair Seòras Moireach	George Murray (1694-1760)
Nick Cannon	Nick Cannon
Anton Corbijn	Anton Corbijn
Adams County, Indiana	Contea di Adams (Indiana)
Adams County, Pennsylvania	Contea di Adams (Pennsylvania)
Adams County, Wisconsin	Contea di Adams (Wisconsin)
Picseal	Pixel
Richard Schiff	Richard Schiff
Johannes Gerhardus Strijdom	Johannes Gerhardus Strijdom
Ganzhou	Ganzhou
Leòdhas agus na Hearadh	Lewis e Harris
Uan	Lamb
Scott County, Indiana	Contea di Scott (Indiana)
Jackson County, Alabama	Contea di Jackson (Alabama)
Newton County, Indiana	Contea di Newton (Indiana)
McPherson County, Dakota a Deas	Contea di McPherson (Dakota del Sud)
Oilthigh Coimbra	Università di Coimbra
Cauchy-à-la-Tour	Cauchy-à-la-Tour
Morrill County, Nebraska	Contea di Morrill
Baile Átha Luain	Athlone
Buille-cinn	Testata (arti marziali)
Hardy County, Virginia an Iar	Contea di Hardy
Mineral County, Montana	Contea di Mineral (Montana)
Waukesha County, Wisconsin	Contea di Waukesha
San Juan County, Colorado	Contea di San Juan (Colorado)
Alison Krauss	Alison Krauss
Stàitire	Statista
Escondido, Calafòrnia	Escondido
Dodge County, Wisconsin	Contea di Dodge (Wisconsin)
Cliabhair	Cesteria
Russell County, Kentucky	Contea di Russell (Kentucky)
Connochaetes gnou	Connochaetes gnou
Washington County, Kansas	Contea di Washington (Kansas)
Shelby County, Illinois	Contea di Shelby (Illinois)
Lebor Gabála Érenn	Lebor Gabála Érenn
Wichita County, Kansas	Contea di Wichita (Kansas)
Wilson County, Kansas	Contea di Wilson (Kansas)
Osborne County, Kansas	Contea di Osborne
Morris County, Kansas	Contea di Morris (Kansas)
Miami County, Kansas	Contea di Miami (Kansas)
Jeddah	Gedda (Arabia Saudita)
Sheridan County, Kansas	Contea di Sheridan (Kansas)
Phillips County, Kansas	Contea di Phillips (Kansas)
Shawnee County, Kansas	Contea di Shawnee
Ford County, Kansas	Contea di Ford (Kansas)
Lyon County, Kansas	Contea di Lyon (Kansas)
Thomas County, Kansas	Contea di Thomas (Kansas)
Ness County, Kansas	Contea di Ness
Wallace County, Kansas	Contea di Wallace
Kingman County, Kansas	Contea di Kingman
Graham County, Kansas	Contea di Graham (Kansas)
Jewell County, Kansas	Contea di Jewell
Montgomery County, Kansas	Contea di Montgomery (Kansas)
Pawnee County, Kansas	Contea di Pawnee (Kansas)
Pratt County, Kansas	Contea di Pratt
Trego County, Kansas	Contea di Trego
Rawlins County, Kansas	Contea di Rawlins
Haskell County, Kansas	Contea di Haskell (Kansas)
Marion County, Kansas	Contea di Marion (Kansas)
Riley County, Kansas	Contea di Riley
Stafford County, Kansas	Contea di Stafford (Kansas)
Ottawa County, Kansas	Contea di Ottawa (Kansas)
Graham County, Carolina a Tuath	Contea di Graham (Carolina del Nord)
Hodgeman County, Kansas	Contea di Hodgeman
Johnson County, Kansas	Contea di Johnson (Kansas)
Osage County, Kansas	Contea di Osage (Kansas)
Greenwood County, Kansas	Contea di Greenwood (Kansas)
Harvey County, Kansas	Contea di Harvey
Sedgwick County, Kansas	Contea di Sedgwick (Kansas)
Sumner County, Kansas	Contea di Sumner (Kansas)
Russell County, Kansas	Contea di Russell (Kansas)
Hanford, Calafòrnia	Hanford (California)
Finney County, Kansas	Contea di Finney
Wyandotte County, Kansas	Contea di Wyandotte
Grant County, Kansas	Contea di Grant (Kansas)
Saline County, Kansas	Contea di Saline (Kansas)
Neosho County, Kansas	Contea di Neosho
Gove County, Kansas	Contea di Gove
Smith County, Kansas	Contea di Smith (Kansas)
Kearny County, Kansas	Contea di Kearny
Scott County, Kansas	Contea di Scott (Kansas)
