Afríka	Africa
Tyrkneska	Lingua turca
Mandelbrot mengið	Insieme di Mandelbrot
Suður-Afríka	Sudafrica
Linkin Park	Linkin Park
Alsír	Algeria
Wikiheimild	Wikisource
Úsbekistan	Uzbekistan
Poznań	Poznań
Taskent	Tashkent
Varsjá	Varsavia
Söngvakeppni evrópskra sjónvarpsstöðva	Eurovision Song Contest
Módena	Modena
Viskí	Whisky
Vín	Vino
Vatn	Acqua
Leður	Cuoio
Viður	Legno
Sjónvarp	Televisione
Klám	Pornografia
Íslenska	Lingua islandese
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Síle	Cile
Íslendingasögur	Saghe degli Islandesi
El Greco	El Greco
Jesús frá Nasaret	Gesù
Elvis Presley	Elvis Presley
Galíleó Galílei	Galileo Galilei
Merkúríus (reikistjarna)	Mercurio (astronomia)
Saga	Storia
Apple Inc.	Apple
Venus (reikistjarna)	Venere (astronomia)
Tungumál	Linguaggio
Ást	Amore
Einræði	Dittatura
Stjörnuþoka	Galassia
Júpíter (reikistjarna)	Giove (astronomia)
Michelle Bachelet	Michelle Bachelet
Vetrarbrautin	Via Lattea
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Miklihvellur	Big Bang
Úranus (reikistjarna)	Urano (astronomia)
Nicolas Sarkozy	Nicolas Sarkozy
Neptúnus (reikistjarna)	Nettuno (astronomia)
Stjörnufræði	Astronomia
Singapúr	Singapore
Vísindi	Scienza
Heimsfræði	Cosmologia (astronomia)
Plútó (dvergreikistjarna)	Plutone (astronomia)
Montréal	Montréal
Frjáls hugbúnaður	Software libero
Framtíð	Futuro
María mey	Maria (madre di Gesù)
Loðvík 9.	Luigi IX di Francia
Liechtenstein	Liechtenstein
Íþrótt	Sport
Cambridge	Cambridge
Yellowstone-þjóðgarðurinn	Parco nazionale di Yellowstone
Adolf Hitler	Adolf Hitler
Blanka af Kastilíu	Bianca di Castiglia
Facebook	Facebook
Fangabúðirnar við Guantanamo-flóa	Campo di prigionia di Guantánamo
Wikileaks	WikiLeaks
Julian Assange	Julian Assange
Fyrri heimsstyrjöldin	Prima guerra mondiale
Seinni heimsstyrjöldin	Seconda guerra mondiale
Þriðja heimsstyrjöldin	Terza guerra mondiale
Köln	Colonia (Germania)
Spilling	Corruzione
Wikibækur	Wikibooks
Augusto Pinochet	Augusto Pinochet
Wikivitnun	Wikiquote
Vodka	Vodka
Vaffla	Gaufre
Klukka	Orologio
Yanka Kupala	Janka Kupala
Ubuntu	Ubuntu
Skopje	Skopje
Bob Dylan	Bob Dylan
Szczecin	Stettino
Stærðfræði	Matematica
U2	U2
Latína	Lingua latina
Barein	Bahrein
Armenía	Armenia
Fleygrúnir	Scrittura cuneiforme
Higgs-bóseind	Bosone di Higgs
Serbía	Serbia
Tunglið	Luna
Istanbúl	Istanbul
Ástralía	Australia
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Stjörnulíffræði	Esobiologia
Eðlisfræði	Fisica
Argentína	Argentina
Fjarskipti	Telecomunicazione
Perú	Perù
Líffræði	Biologia
Fljúgandi furðuhlutur	UFO
Norður-Kórea	Corea del Nord
Kambódía	Cambogia
Kuiperbelti	Fascia di Kuiper
Kóran	Corano
Risaeðlur	Dinosauria
Dýrafræði	Zoologia
Íslam	Islam
Bókasafnið í Alexandríu	Biblioteca di Alessandria
Ljubljana	Lubiana
Salvador Allende	Salvador Allende
Grasafræði	Botanica
Lech Wałęsa	Lech Wałęsa
Hjól	Ruota
Denis Diderot	Denis Diderot
Hugur	Mente
Friður	Pace
Encyclopædia Britannica	Enciclopedia Britannica
Lyon	Lione
Evrópusambandið	Unione europea
Plovdiv	Plovdiv
Star Wars	Guerre stellari
Veraldarvefurinn	World Wide Web
Kona	Donna
Sófía	Sofia
Vatnsveitubrú	Acquedotto
Don Kíkóti	Don Chisciotte della Mancia
Ljóðlist	Poesia
Tölvuveira	Virus (informatica)
Kjarnorkuárásirnar á Hiroshima og Nagasaki	Bombardamenti atomici di Hiroshima e Nagasaki
Mílanó	Milano
Minni	Memoria
Arthur Rimbaud	Arthur Rimbaud
Tórínó	Torino
Saur	Feci
Endaþarmsop	Ano
Sítróna	Citrus × limon
Charles Baudelaire	Charles Baudelaire
Banani	Banana
Blóm	Fiore
Googol	Googol
Googolplex	Googolplex
Maríanadjúpáll	Fossa delle Marianne
Vladimír Vísotskí	Vladimir Semënovič Vysockij
Everestfjall	Everest
Líffærafræði	Anatomia
Borg	Città
Napóleon Bónaparte	Napoleone Bonaparte
Ólympusfjall (Mars)	Olympus Mons
Lífeðlisfræði	Fisiologia
Sólstjarna	Stella
Vesúvíus	Vesuvio
Sólin	Sole
Himinn	Cielo
Louis Pasteur	Louis Pasteur
Ljósár	Anno luce
Victor Hugo	Victor Hugo
Eyjaálfa	Oceania
Orvieto	Orvieto
Frjálsar íþróttir	Atletica leggera
Ritskoðun	Censura
Sólkerfið	Sistema solare
Eystrasalt	Mar Baltico
Visla	Vistola
Odra	Oder
Tönn	Dente
Vetni	Idrogeno
Helín	Elio
Helvíti	Inferno
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Litín	Litio
Beryllín	Berillio
Hátalari	Altoparlante
Bók	Libro
Dagur (tímatal)	Giorno
Austur-Tímor	Timor Est
Ár	Anno
Öld	Secolo
Łódź	Łódź
Hvítfjall	Monte Bianco
Rín (fljót)	Reno
Ósló	Oslo
Bonn	Bonn
Allraheilagramessa	Ognissanti
Katowice	Katowice
Svarthol	Buco nero
Luís de Camões	Luís de Camões
Seres (dvergreikistjarna)	Cerere (astronomia)
Lissabon	Lisbona
Rzeszów	Rzeszów
Ichiro Suzuki	Ichiro Suzuki
Rón	Rodano (fiume)
Michael Bloomberg	Michael Bloomberg
Eris (dvergreikistjarna)	Eris (astronomia)
Dúbaí	Dubai
Lionel Messi	Lionel Messi
Padúa	Padova
Bór	Boro
Nikulás Kópernikus	Niccolò Copernico
Versalir	Versailles
Ludwigsburg	Ludwigsburg
Kolefni	Carbonio
Volga	Volga
Köfnunarefni	Azoto
Súrefni	Ossigeno
F.C. Internazionale Milano	Football Club Internazionale Milano
Reikistjarna	Pianeta
Kleópatra 7.	Cleopatra VII
Tónlist	Musica
Feneyjar	Venezia
Pó	Po
Neva	Neva
Hitamælir	Termometro
Lille	Lilla
Moskva	Mosca (Russia)
Flúor	Fluoro
Ítalska	Lingua italiana
Neon	Neon
Sankti Pétursborg	San Pietroburgo
Tsjad	Ciad
Natrín	Sodio
Norður	Nord
Magnesín	Magnesio
Ál	Alluminio
Nýja-Sjáland	Nuova Zelanda
Suður	Sud
Indland	India
Kísill	Silicio
Fransín	Francio
Túvalú	Tuvalu
Fosfór	Fosforo
André-Marie Ampère	André-Marie Ampère
Óbundið mál	Prosa
Járn	Ferro
Tonga	Tonga
Vestur	Ovest
Brennisteinn	Zolfo
Samóa	Samoa
Austur	Est
Salómonseyjar	Isole Salomone
Vanúatú	Vanuatu
Molière	Molière
Klór	Cloro
Delft	Delft
Papúa Nýja-Gínea	Papua Nuova Guinea
William Shakespeare	William Shakespeare
Suður-Holland	Olanda Meridionale
Palá	Palau (stato)
Argon	Argon
Nárú	Nauru
Mozilla Firefox	Mozilla Firefox
Ævintýri	Fiaba
Norður-Holland	Olanda Settentrionale
Míkrónesía (ríki)	Stati Federati di Micronesia
Kalín	Potassio
Sjáland (Holland)	Zelanda (Paesi Bassi)
Kalsín	Calcio (elemento chimico)
Flevoland	Flevoland
Blý	Piombo
Marshalleyjar	Isole Marshall
Kíribatí	Kiribati
Mongólía	Mongolia
Fídjieyjar	Figi
Skandín	Scandio
Stevie Wonder	Stevie Wonder
Heilbronn	Heilbronn
Títan	Titanio
Venesúela	Venezuela
Skák	Scacchi
Gengis Kan	Gengis Khan
Vanadín	Vanadio
Maine	Maine
Króm	Cromo
Hestur	Equus caballus
Amsterdam	Amsterdam
Vopn	Arma
Dýr	Animalia
Súrínam	Suriname
Mangan	Manganese
Paragvæ	Paraguay
Gvæjana	Guyana
List	Arte
Ekvador	Ecuador
Renín	Renio
Kólumbía	Colombia
Kóbolt	Cobalto
Jean Racine	Jean Racine
Volfram	Tungsteno
Nikkel	Nichel
Jarðarber	Fragaria
Pierre Corneille	Pierre Corneille
Búddismi	Buddhismo
Bólivía	Bolivia
Osmín	Osmio
Groningen (fylki)	Groninga (provincia)
Kopar	Rame
Trínidad og Tóbagó	Trinidad e Tobago
Jurt	Plantæ
Sankti Vinsent og Grenadíneyjar	Saint Vincent e Grenadine
Sink	Zinco
New Hampshire	New Hampshire
Sankti Lúsía	Santa Lucia (Stato)
Leonardo da Vinci	Leonardo da Vinci
Sankti Kristófer og Nevis	Saint Kitts e Nevis
Sveppir	Fungi
Dario Fo	Dario Fo
Jamaíka	Giamaica
Grenada	Grenada
Frísland	Frisia (Paesi Bassi)
Massachusetts	Massachusetts
Drenthe	Drenthe
Overijssel	Overijssel
Gvatemala	Guatemala
Gelderland	Gheldria (provincia)
Utrecht (fylki)	Utrecht (provincia)
Google Chrome	Google Chrome
Bahamaeyjar	Bahamas
Connecticut	Connecticut
Nytjahænsni	Gallus gallus domesticus
Antígva og Barbúda	Antigua e Barbuda
Hawaii	Hawaii
Hondúras	Honduras
Dóminíka	Dominica
Jersey	Baliato di Jersey
Dóminíska lýðveldið	Repubblica Dominicana
Svín (tegund)	Sus scrofa domesticus
Norður-Íshaf	Mar Glaciale Artico
Haítí	Haiti
Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
El Salvador	El Salvador
Zwolle	Zwolle
Íran	Iran
Heimska	Stupidità
Írak	Iraq
Alaska	Alaska
Assen	Assen
Kosta Ríka	Costa Rica
Ísrael	Israele
Utrecht	Utrecht
Panama	Panamá
Jemen	Yemen
Lausanne	Losanna
Veira	Virus (biologia)
Pólska	Lingua polacca
Jórdanía	Giordania
Níkaragva	Nicaragua
Flórída	Florida
Kirgisistan	Kirghizistan
Arizona	Arizona
Kúveit	Kuwait
Laos	Laos
Líbanon	Libano
Oregon	Oregon
Maldíveyjar	Maldive
Ameríka	America
Utah	Utah
Nautgripur	Bos taurus
Malasía	Malesia
Valais	Canton Vallese
Mikhaíl Búlgakov	Michail Afanas'evič Bulgakov
Búrma	Birmania
Nepal	Nepal
Óman	Oman
Pakistan	Pakistan
James Bond	James Bond
Katar	Qatar
Tennis	Tennis
Sádí-Arabía	Arabia Saudita
Andrej Tarkovskíj	Andrej Arsen'evič Tarkovskij
Srí Lanka	Sri Lanka
Jósef Stalín	Iosif Stalin
Strikamerki	Codice a barre
Sýrland	Siria
Platon	Platone
Gallín	Gallio (elemento chimico)
Joseph Brodsky	Iosif Aleksandrovič Brodskij
Tadsjikistan	Tagikistan
Pokémon	Pokémon
Lýðveldið Kína	Taiwan
YouTube	YouTube
German	Germanio
Aristóteles	Aristotele
Taíland	Thailandia
Járnbrautarlest	Treno
Arsen	Arsenico
Útvarp	Radio (elettronica)
Meryl Streep	Meryl Streep
Túrkmenistan	Turkmenistan
Selen	Selenio
Iridín	Iridio
Sameinuðu arabísku furstadæmin	Emirati Arabi Uniti
Bróm	Bromo
Platína	Platino
Víetnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Suður-Kórea	Corea del Sud
Józef Piłsudski	Józef Piłsudski
Simpsonfjölskyldan	I Simpson
Krypton	Kripton
Afganistan	Afghanistan
J. R. R. Tolkien	J. R. R. Tolkien
Samara	Samara (città)
Rúbidín	Rubidio
Gull	Oro
Súesskurðurinn	Canale di Suez
Bangladess	Bangladesh
Bleach (anime)	Bleach (manga)
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa (Russia)
Malí	Mali
Sókrates	Socrate
Volgograd	Volgograd
Angóla	Angola
Bútan	Bhutan
Twitter	Twitter
Brúnei	Brunei
Tansanía	Tanzania
Kvikasilfur	Mercurio (elemento chimico)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filippseyjar	Filippine
Mið-Afríkulýðveldið	Repubblica Centrafricana
Þallín	Tallio
Suðurpóllinn	Polo sud
Norðurheimskautið	Polo nord
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Strontín	Stronzio
Yttrín	Ittrio
Bismút	Bismuto
Gulur	Giallo
Skammtafræði	Meccanica quantistica
Tógó	Togo
Donald Tusk	Donald Tusk
Túnis	Tunisia
John Bardeen	John Bardeen
Sambía	Zambia
Simbabve	Zimbabwe
Beijing	Pechino
Suður-Súdan	Sudan del Sud
Vladivostok	Vladivostok
Benín	Benin
Botsvana	Botswana
Búrkína Fasó	Burkina Faso
Búrúndí	Burundi
Kómoreyjar	Comore
Vestur-Kongó	Repubblica del Congo
Alkmaar	Alkmaar
Ob	Ob' (fiume)
Austur-Kongó	Repubblica Democratica del Congo
San Antonio	San Antonio
Djíbútí	Gibuti
Pólon	Polonio
Bæjaraland	Baviera
Miðbaugs-Gínea	Guinea Equatoriale
Baden-Württemberg	Baden-Württemberg
Erítrea	Eritrea
Nýja Delí	Nuova Delhi
Jóhannes Páll 2.	Papa Giovanni Paolo II
Fjodor Dostojevskíj	Fëdor Dostoevskij
Amersfoort	Amersfoort
Kamsjatka	Kamčatka
Tíblisi	Tbilisi
Andrei Sakarov	Andrej Dmitrievič Sacharov
Astat	Astato
Gabon	Gabon
Mohandas Gandhi	Mahatma Gandhi
Samstaða (pólskt verkalýðsfélag)	Solidarność
Teiknimyndasaga	Fumetto
Gambía	Gambia
Gínea	Guinea
Gínea-Bissá	Guinea-Bissau
Fílabeinsströndin	Costa d'Avorio
Kamerún	Camerun
Grænhöfðaeyjar	Capo Verde
Lesótó	Lesotho
Líbería	Liberia
Líbýa	Libia
Aachen	Aquisgrana
Madagaskar	Madagascar
Malaví	Malawi
Stuttgart	Stoccarda
Máritanía	Mauritania
Máritíus	Mauritius
Marokkó	Marocco
Mósambík	Mozambico
Namibía	Namibia
France Prešeren	France Prešeren
Níger	Niger
Nígería	Nigeria
Biel/Bienne	Bienne
Charles Darwin	Charles Darwin
Úganda	Uganda
Rúanda	Ruanda
Sirkon	Zirconio
Saó Tóme og Prinsípe	São Tomé e Príncipe
Karlsruhe	Karlsruhe
Senegal	Senegal
Seychelles-eyjar	Seychelles
Carolus Linnaeus	Linneo
Síerra Leóne	Sierra Leone
Sómalía	Somalia
Níóbín	Niobio
Jawaharlal Nehru	Jawaharlal Nehru
Júlíus Caesar	Gaio Giulio Cesare
Súdan	Sudan
Svasíland	Swaziland
Regnbogi	Arcobaleno
Mólýbden	Molibdeno
Teknetín	Tecnezio
Hamborg	Amburgo
Italo Balbo	Italo Balbo
Efnaskipti	Metabolismo
Ónæmiskerfi	Sistema immunitario
Gujarat	Gujarat
Þróunarkenningin	Evoluzione
Sameinuðu þjóðirnar	Organizzazione delle Nazioni Unite
Lake Superior	Lago Superiore
Dante Alighieri	Dante Alighieri
Jarðfræði	Geologia
Ahmedabad	Ahmedabad
Landfræði	Geografia
Hjarta	Cuore umano
Heili	Cervello
Húð	Pelle
Litur	Colore
Nafnorð	Sostantivo
Prag	Praga
Rúten	Rutenio
Ródín	Rodio
Blár	Blu
Palladín	Palladio (elemento chimico)
Silfur	Argento
Kadmín	Cadmio
Star Trek	Star Trek
Limburg (Holland)	Limburgo (Paesi Bassi)
Indín	Indio
Limburg (Belgía)	Provincia del Limburgo (Belgio)
Tin	Stagno (elemento chimico)
Úran	Uranio
Antímon	Antimonio
Tellúr	Tellurio
Norður-Brabant	Brabante Settentrionale
Plútóníum	Plutonio
Joð	Iodio
Neptúnín	Nettunio
Xenon	Xeno
Anime	Anime
Sesín	Cesio (elemento chimico)
Rafhleðsla	Carica elettrica
Barín	Bario
Vestur-Flæmingjaland	Provincia delle Fiandre Occidentali
Austur-Flæmingjaland	Provincia delle Fiandre Orientali
Þórín	Torio
Antwerpen-hérað	Provincia di Anversa
Flæmska Brabant	Provincia del Brabante Fiammingo
Hafnín	Afnio
Vallónska Brabant	Provincia del Brabante Vallone
Tantal	Tantalio
Bill Clinton	Bill Clinton
Lúxemborg (hérað)	Provincia del Lussemburgo
Liege (hérað)	Provincia di Liegi
Radín	Radio (elemento chimico)
Hainaut	Provincia dell'Hainaut
Radon	Radon
Elsass	Alsazia
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Merkúríus (guð)	Mercurio (divinità)
Hector Berlioz	Hector Berlioz
Mumbai	Mumbai
Andhra Pradesh	Andhra Pradesh
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bíhar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Michiganvatn	Lago Michigan
Góa (fylki)	Goa
Bourgogne	Borgogna
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Maurice Ravel	Maurice Ravel
Jammú og Kasmír	Jammu e Kashmir
Púertó Ríkó	Porto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipur
Slésvík-Holtsetaland	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklenborg-Vorpommern	Meclemburgo-Pomerania Anteriore
Neðra-Saxland	Bassa Sassonia
Norðurrín-Vestfalía	Renania Settentrionale-Vestfalia
Hessen	Assia
Rínarland-Pfalz	Renania-Palatinato
Saarland	Saarland
Saxland	Sassonia
John Lennon	John Lennon
Illinois	Illinois
Þýringaland	Turingia
Saxland-Anhalt	Sassonia-Anhalt
Norður-Dakóta	Dakota del Nord
Brandenborg	Brandeburgo
Langbarðaland	Lombardia
Suður-Dakóta	Dakota del Sud
Montana	Montana
Wyoming	Wyoming
Straight edge	Straight edge
Fjallaland	Piemonte
Jerúsalem	Gerusalemme
Idaho	Idaho
Ágústudalur	Valle d'Aosta
Washington (fylki)	Washington (stato)
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Rutherfordín	Rutherfordio
Nevada	Nevada
Don	Don (fiume russo)
Francesco Cossiga	Francesco Cossiga
Seborgín	Seaborgio
Giovanni Leone	Giovanni Leone
Trentínó-Suður-Týról	Trentino-Alto Adige
Indlandshaf	Oceano Indiano
Antonio Segni	Antonio Segni
Luigi Einaudi	Luigi Einaudi
Venetó	Veneto
Kosóvó	Kosovo
Karíbahaf	Mare Caraibico
Friúlí	Friuli-Venezia Giulia
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Lígúría	Liguria
Colorado	Colorado
Emilía-Rómanja	Emilia-Romagna
U Thant	U Thant
Frédéric Chopin	Fryderyk Chopin
Röntgenín	Roentgenio
Toskana	Toscana
Leonard Cohen	Leonard Cohen
Marke	Marche
Úmbría	Umbria
Flokkur:Efnisflokkar	Categoria:Categorie
Latíum	Lazio
Abrútsi	Abruzzo
Appennínafjöll	Appennini
Alpafjöll	Alpi
Jansenismi	Giansenismo
Karpatafjöll	Carpazi
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Damm	Dama
Dortmund	Dortmund
Gent	Gand
Chicago	Chicago
Bítlarnir	The Beatles
Ununquadín	Flerovio
Maastricht	Maastricht
Arnhem	Arnhem
Vetur	Inverno
Vor	Primavera
Sumar	Estate
Haust	Autunno
Jafndægur	Equinozio
Saddam Hussein	Saddam Hussein
Osama bin Laden	Osama bin Laden
Spænska	Lingua spagnola
Friedrich Hayek	Friedrich von Hayek
Montevídeó	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Pittsburgh	Pittsburgh
Ópera	Opera
Philadelphia	Filadelfia (Stati Uniti d'America)
Kolkata	Calcutta
Chennai	Chennai
Delí	Delhi
Dakka	Dacca
Bangalore	Bangalore
Vestur-Bengal	Bengala occidentale
Köngulær	Araneae
Áttfætlur	Arachnida
Liðdýr	Arthropoda
Hyderabad	Hyderabad
Islamabad	Islamabad
Tripura	Tripura
Ávöxtur	Frutto
Peningar	Denaro
Virginía (fylki)	Virginia
Vestur-Virginía	Virginia Occidentale
Píran	Pirano
New York-fylki	New York (Stato)
Rhode Island	Rhode Island
Skordýr	Insecta
Maryland	Maryland
Delaware (fylki)	Delaware
Vladímír Lenín	Lenin
Ohio	Ohio
Virgill	Publio Virgilio Marone
Niccolò Machiavelli	Niccolò Machiavelli
Pennsylvanía	Pennsylvania
Francesco Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Ágústus	Augusto
Microsoft Windows	Microsoft Windows
Tíberíus	Tiberio
New Jersey	New Jersey
Calígúla	Caligola
Gíbraltar	Gibilterra
Claudíus	Claudio
Finnska	Lingua finlandese
Neró	Nerone
Galba	Servio Sulpicio Galba (imperatore romano)
Indiana (fylki)	Indiana
Otho	Otone
Vitellius	Vitellio
Nokia	Nokia
Vespasíanus	Vespasiano
Bifreið	Autovettura
Títus	Tito (imperatore romano)
Juventus FC	Juventus Football Club
Dómitíanus	Domiziano
Nerva	Marco Cocceio Nerva
Trajanus	Traiano
Roger Federer	Roger Federer
Hadríanus	Publio Elio Traiano Adriano
Georgía (fylki BNA)	Georgia (Stati Uniti d'America)
Antonínus Píus	Antonino Pio
Markús Árelíus	Marco Aurelio
KDE	KDE
Lucius Verus	Lucio Vero
Commodus	Commodo
Zagreb	Zagabria
Rajasthan	Rajasthan
Kampanía	Campania
Texas	Texas
Didius Julianus	Didio Giuliano
Septimius Severus	Settimio Severo
Mólíse	Molise
Tamil Nadu	Tamil Nadu
Caracalla	Caracalla
Apúlía	Puglia
Genúa	Genova
Bruno Mars	Bruno Mars
Pínatúbó	Pinatubo
Basilíkata	Basilicata
Norður-Karólína	Carolina del Nord
Hokkí	Hockey su prato
Suður-Karólína	Carolina del Sud
Kalabría	Calabria
Sikiley	Sicilia
Maníla	Manila
Sardinía	Sardegna
Leira (fljót)	Loira
Signa	Senna
Davaó	Davao
Le Mans	Le Mans
Bordeaux	Bordeaux
Mayon	Monte Mayon
Rauðir úlfar	Lupus eritematoso sistemico
Búenos Aíres	Buenos Aires
Tölvuþrjótur	Hacker
Mexíkóborg	Città del Messico
Tókýó	Tokyo
La Paz	La Paz
