Afrika	Africa
Repubblika tal-Kongo	Repubblica del Congo
Repubblika Demokratika tal-Kongo	Repubblica Democratica del Congo
Ġibuti	Gibuti
Bavarja	Baviera
Ginea Ekwatorjali	Guinea Equatoriale
Eritrea	Eritrea
Papa Ġwanni Pawlu II	Papa Giovanni Paolo II
Gabon	Gabon
Mahatma Gandhi	Mahatma Gandhi
Gambja	Gambia
Ginea	Guinea
Ginea Bissaw	Guinea-Bissau
Kosta tal-Avorju	Costa d'Avorio
Kamerun	Camerun
Kap Verde	Capo Verde
Lesoto	Lesotho
Liberja	Liberia
Libja	Libia
Madagaskar	Madagascar
Malawi	Malawi
Mawritanja	Mauritania
Mawrizju	Mauritius
Marokk	Marocco
Możambik	Mozambico
Namibja	Namibia
Niġer	Niger
Niġerja	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Ruanda
São Tomé u Príncipe	São Tomé e Príncipe
Senegal	Senegal
Seychelles	Seychelles
Sierra Leone	Sierra Leone
Somalja	Somalia
Sudan	Sudan
Sważiland	Swaziland
Amburgu	Amburgo
Evoluzzjoni	Evoluzione
Ġnus Magħquda	Organizzazione delle Nazioni Unite
Dante Alighieri	Dante Alighieri
Ġeografija	Geografia
Qalb	Cuore umano
Praga	Praga
Ikħal	Blu
Limburgu (Belġju)	Provincia del Limburgo (Belgio)
Fjandri tal-Punent	Provincia delle Fiandre Occidentali
Fjandri tal-Lvant	Provincia delle Fiandre Orientali
Antwerp (provinċja)	Provincia di Anversa
Brabant Fjamming	Provincia del Brabante Fiammingo
Merkurju (mitoloġija)	Mercurio (divinità)
Hector Berlioz	Hector Berlioz
Giorgio Napolitano	Giorgio Napolitano
Francesco Cossiga	Francesco Cossiga
Oċean Indjan	Oceano Indiano
Kosovo	Kosovo
Frédéric Chopin	Fryderyk Chopin
Kategorija:Prinċipali	Categoria:Categorie
Dortmund	Dortmund
The Beatles	The Beatles
Osama Bin Laden	Osama bin Laden
Lingwa Spanjola	Lingua spagnola
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Brimba	Araneae
Virġilju	Publio Virgilio Marone
Uetersen	Uetersen
Karozza	Autovettura
Żagreb	Zagabria
Sqallija	Sicilia
Maurits Cornelis Escher	Maurits Cornelis Escher
Buenos Aires	Buenos Aires
Belt tal-Messiku	Città del Messico
Tokjo	Tokyo
Barċellona	Barcellona
Ateni	Atene
AC Milan	Associazione Calcio Milan
Ħavana	L'Avana
Édith Piaf	Édith Piaf
Kopenħagen	Copenaghen
Stokkolma	Stoccolma
Ħelsinki	Helsinki
Dublin	Dublino
Rejkjavik	Reykjavík
Tallinn	Tallinn
Riga	Riga
Bratislava	Bratislava
Gdańsk	Danzica
Lussemburgu (belt)	Lussemburgo (città)
Bibbja	Bibbia
Ho Chi Minh (belt)	Ho Chi Minh (città)
Knisja Vera ta' Ġesù	Vera Chiesa di Gesù
Dong Hoi	Dong Hoi
Concepción (Ċili)	Concepción (Cile)
Atalanta BC	Atalanta Bergamasca Calcio
Bolonja	Bologna
Bologna FC 1909	Bologna Football Club 1909
Cagliari	Cagliari
Kiev	Kiev
Cagliari Calcio	Cagliari Calcio
Karim Benzema	Karim Benzema
Patrice Evra	Patrice Evra
Końskowola	Końskowola
2014	2014
2015	2015
2007	2007
ACF Fiorentina	ACF Fiorentina
Serp	Serpentes
1 ta' Jannar	1º gennaio
2 ta' Jannar	2 gennaio
Rivoluzzjoni Industrijali	Rivoluzione industriale
Imperu Ruman	Impero romano
Minsk	Minsk
Microsoft	Microsoft
8 ta' Diċembru	8 dicembre
Kurów	Kurów
Kimika	Chimica
19 ta' Marzu	19 marzo
Papa Benedittu XVI	Papa Benedetto XVI
Papa Piju XII	Papa Pio XII
Watford FC	Watford Football Club
Futbol	Calcio (sport)
L-Olokawst	Olocausto
Madrid	Madrid
Michael Jackson	Michael Jackson
5 ta' Settembru	5 settembre
4 ta' Settembru	4 settembre
Santiago (Ċili)	Santiago del Cile
25 ta' Ottubru	15 ottobre
5 ta' Novembru	5 novembre
22 ta' Novembru	22 novembre
Aħdar	Verde
Aħmar	Rosso
Lourdes	Lourdes
Rabat (Marokk)	Rabat
Kometa	Cometa
Belgrad	Belgrado
Kategorija:Mudelli	Categoria:Template
George Sand	George Sand
Nikosija	Nicosia
Asterojde	Asteroide
Manama	Manama
Eklissi solari	Eclissi solare
Wikipedija:Paġna tal-provi	Wikipedia:Pagina delle prove
Nettunu (mitoloġija)	Nettuno (divinità)
Alġebra	Algebra
Ajruport Dong Hoi	Aeroporto di Dong Hoi
Miley Cyrus	Miley Cyrus
Curitiba	Curitiba
Pangea	Pangea
Kategorija:1888	Categoria:Eventi del 1888
Pika Alpina	Ochotona alpina
Konfuċju	Confucio
Corbin Bleu	Corbin Bleu
Kategorija:Matematika	Categoria:Matematica
Gżejjer Faroe	Fær Øer
Ġove (mitoloġija)	Giove (divinità)
Sherlock Holmes	Sherlock Holmes
Rinaxximent	Rinascimento
Kategorija:Twieldu fl-1888	Categoria:Nati nel 1888
Ewro	Euro
Baħar Mediterran	Mar Mediterraneo
Kristjaneżmu	Cristianesimo
Mudell:Favur	Template:Favorevole
Għasfur	Aves
Belt kapitali	Capitale (città)
Monzón	Monzón
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Mudell:Portal	Template:Portale
Huang Xianfan	Huang Xianfan
Bill Gates	Bill Gates
Struttura .NET	.NET Framework
Enċiklopedija	Enciclopedia
Il-Paġna prinċipali	Pagina principale
Baskitbol	Pallacanestro
Francisco Goya	Francisco Goya
Albrecht Dürer	Albrecht Dürer
Frida Kahlo	Frida Kahlo
Mikelanġlu	Michelangelo Buonarroti
Miguel de Cervantes	Miguel de Cervantes
Charles Dickens	Charles Dickens
Mekka	La Mecca
Che Guevara	Che Guevara
Mao Zedong	Mao Tse-tung
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Filosofija	Filosofia
Jimi Hendrix	Jimi Hendrix
Kategorija:Proposti għat-tħassir minnufih	Categoria:Cancellare subito
Hebe Camargo	Hebe Camargo
Komuniżmu	Comunismo
Saħara tal-Punent	Sahara Occidentale
Pajjiż	Paese (area geografica)
Kartaġni	Cartagine
Kategorija:Astronomija	Categoria:Astronomia
UTC−3:30	UTC-3:30
Søren Kierkegaard	Søren Kierkegaard
Bolzano	Bolzano
Rivoluzzjoni Franċiża	Rivoluzione francese
Saħara	Deserto del Sahara
Strażburgu	Strasburgo
Lingwa Kroata	Lingua croata
UTC+1	UTC+1
Omeru	Omero
UTC+2	UTC+2
UTC+3	UTC+3
Lena Meyer-Landrut	Lena Meyer-Landrut
Seklu XVII	XVII secolo
Ateiżmu	Ateismo
Ekoloġija	Ecologia
FC Barcelona	Futbol Club Barcelona
Marie Curie	Marie Curie
Premju Nobel	Premio Nobel
Alan Turing	Alan Turing
Ideoloġija	Ideologia
Ada Lovelace	Ada Lovelace
Franz Schubert	Franz Schubert
Igor' Stravinskij	Igor' Fëdorovič Stravinskij
Pëtr Il'ič Čajkovskij	Pëtr Il'ič Čajkovskij
Giuseppe Verdi	Giuseppe Verdi
Kristofru Kolombu	Cristoforo Colombo
Nagħġa	Ovis aries
Mammiferu	Mammalia
Naħla	Anthophila
Speċi	Specie
Tifel	Bambino
Napuljun III	Napoleone III di Francia
Vladimir Putin	Vladimir Putin
Analisi matematika	Analisi matematica
Commonwealth tan-Nazzjonijiet	Commonwealth delle nazioni
Organizzazzjoni Dinjija tas-Saħħa	Organizzazione mondiale della sanità
Demm	Sangue
Pulmun	Polmone
Casablanca	Casablanca
Xjenza Naturali	Scienze naturali
Santu Wistin	Agostino d'Ippona
Nelson Mandela	Nelson Mandela
Martin Luther King Jr.	Martin Luther King
Ġeometrija	Geometria
Atmosfera	Atmosfera
Kategorija:Bulgarija	Categoria:Bulgaria
Kategorija:Franza	Categoria:Francia
Kategorija:Mużika	Categoria:Musica
Elf Lejla u Lejla	Le mille e una notte
Kategorija:Letteratura	Categoria:Letteratura
Ilijade	Iliade
Alessandru Manju	Alessandro Magno
Edukazzjoni	Educazione
Hugo Chávez	Hugo Chávez
Raġel	Uomo (genere)
Otto von Bismarck	Otto von Bismarck
Abort	Aborto
Skjavitù	Schiavismo
Logħob Olimpiku tas-sajf 2008	Giochi della XXIX Olimpiade
US Sassuolo Calcio	Unione Sportiva Sassuolo Calcio
Logħob Olimpiku tas-sajf 2016	Giochi della XXXI Olimpiade
Gwerra Ċivili Amerikana	Guerra di secessione americana
Imperu Brittaniku	Impero britannico
Real Madrid CF	Real Madrid Club de Fútbol
Sivilja	Siviglia
Rivoluzzjoni Russa	Rivoluzione russa
Arkimede	Archimede
Thomas Edison	Thomas Edison
Ewklide	Euclide
Bit	Bit
Parlament Ewropew	Parlamento europeo
Kostellazzjoni	Costellazione
Karl Marx	Karl Marx
Voltaire	Voltaire
Ħinduiżmu	Induismo
Erwin Schrödinger	Erwin Schrödinger
Lingwa Maltija	Lingua maltese
Reliġjon	Religione
René Descartes	Cartesio
Pawlu minn Tarsu	Paolo di Tarso
Immanuel Kant	Immanuel Kant
Guy de Maupassant	Guy de Maupassant
Friedrich Nietzsche	Friedrich Nietzsche
Fwied	Fegato
Kilwa	Rene
Fenek	Coniglio
Psikoloġija	Psicologia
Gautama Buddha	Gautama Buddha
Premier League	Premier League
Muħammed	Maometto
Probabbiltà	Probabilità
Martin Luteru	Martin Lutero
Xigħa	Sciismo
Knisja Kattolika	Chiesa cattolica
Chelsea FC	Chelsea Football Club
Arsenal FC	Arsenal Football Club
Sistema diġestiva	Sistema digerente
Logħob Olimpiku tax-xitwa 2010	XXI Giochi olimpici invernali
Reġina Eliżabetta II	Elisabetta II del Regno Unito
Alfabett	Alfabeto
Ronald Reagan	Ronald Reagan
Francisco Varallo	Francisco Varallo
Festival tal-Eurovision 2005	Eurovision Song Contest 2005
Festival tal-Eurovision 2006	Eurovision Song Contest 2006
Festival tal-Eurovision 2007	Eurovision Song Contest 2007
Festival tal-Eurovision 2008	Eurovision Song Contest 2008
Festival tal-Eurovision 2009	Eurovision Song Contest 2009
Festival tal-Eurovision 2010	Eurovision Song Contest 2010
Festival tal-Eurovision 2011	Eurovision Song Contest 2011
Festival tal-Eurovision 2012	Eurovision Song Contest 2012
Festival tal-Eurovision 2013	Eurovision Song Contest 2013
Main-Spessart	Circondario del Meno-Spessart
Catherine Middleton	Catherine Middleton
David Beckham	David Beckham
Ryan Giggs	Ryan Giggs
Tom Cleverley	Tom Cleverley
Ben Foster	Benjamin Foster
Ashley Young	Ashley Young
Kim Jong-il	Kim Jong-il
Kategorija:Veneżwela	Categoria:Venezuela
Belfast	Belfast
Tavla perjodika	Tavola periodica degli elementi
Tórshavn	Tórshavn
Manuel Almunia	Manuel Almunia
Attakki tal-11 ta' Settembru	Attentati dell'11 settembre 2001
Chordata	Chordata
Kultura	Cultura
Trattat ta' Maastricht	Trattato di Maastricht
Mediċina	Medicina
Sarajevo	Sarajevo
Ekwazzjoni differenzjali	Equazione differenziale
Kategorija:Brażil	Categoria:Brasile
Kategorija:Rumanija	Categoria:Romania
Element kimiku	Elemento chimico
Funzjonijiet (matematika)	Funzione (matematica)
Kimika organika	Chimica organica
Mekkanika klassika	Meccanica classica
Klassifikazzjoni bijoloġika	Classificazione scientifica
Arti marzjali	Arte marziale
Rota	Bicicletta
Relatività ristretta	Relatività ristretta
Ħġieġ	Vetro
Karta	Carta
Kilogramm	Chilogrammo
Cristiano Ronaldo	Cristiano Ronaldo
Metru	Metro
Pittura	Pittura
Skultura	Scultura
Żfin	Danza
Pajjiżi tad-dinja	Stati del mondo
Preistorja	Preistoria
Silvio Berlusconi	Silvio Berlusconi
Eric Saade	Eric Saade
4′33″	4'33"
Kolera	Colera
Skerma	Scherma
Sfera ċelesti	Sfera celeste
Malarja	Malaria
AIDS	AIDS
Tuberkulożi	Tubercolosi
Inna	Inna
Mona Lisa	Gioconda
Teorija tan-numri	Teoria dei numeri
Kileb	Mensola
Biżantini	Impero bizantino
Kruċjata	Crociata
Imperu Ottoman	Impero ottomano
Malgrat de Mar	Malgrat de Mar
Stephan El Shaarawy	Stephan El Shaarawy
Kurgan (belt)	Kurgan (Russia)
Trapani	Trapani
Wikispeċi	Wikispecies
Lingwa Għarbija	Lingua araba
Jum ir-Ringrazzjament	Giorno del ringraziamento
Lingwa Oċċitanija	Lingua occitana
Lingwa tas-Sinjali Amerikana	Lingua dei segni americana
Kategorija:Provinċji tal-Italja	Province d'Italia
Alkoħoliżmu	Alcolismo
FC Bayern Munich	Fußball-Club Bayern München
Serie A	Serie A
Queen	Queen
Provinċja ta' Agrigento	Provincia di Agrigento
Provinċja ta' Bergamo	Provincia di Bergamo
Provinċja ta' Kaltanissetta	Provincia di Caltanissetta
Provinċja ta' Lodi	Provincia di Lodi
Wikipedija:Vetrina	Wikipedia:Vetrina
Mudell:Link FA	Template:Link V
Dinja	Mondo
Wikipedija:Pjazza	Wikipedia:Bar
Takson	Taxon
Papa Pawlu VI	Papa Paolo VI
Etna	Etna
Clube de Regatas do Flamengo	Clube de Regatas do Flamengo
Gerard Piqué	Gerard Piqué
San Lawrenz	San Lorenzo
Martin Schulz	Martin Schulz
KAA Gent	Koninklijke Atletiek Associatie Gent
Mudell Standard	Modello standard
Teorija ta' kollox	Teoria del tutto
Tamworth FC	Tamworth Football Club
Mafja	Mafia
Manchester United FC	Manchester United Football Club
Aston Villa FC	Aston Villa Football Club
West Ham United FC	West Ham United Football Club
UEFA Champions League	UEFA Champions League
UEFA Europa League	UEFA Europa League
Fenek tal-istrixxi ta' Sumatra	Nesolagus netscheri
Tazza tad-Dinja tal-Futbol	Campionato mondiale di calcio
Daniel Parejo Muñoz	Daniel Parejo
Blackburn Rovers FC	Blackburn Rovers Football Club
Wolverhampton Wanderers FC	Wolverhampton Wanderers Football Club
Rafael Correa	Rafael Correa
R. Charleroi SC	Royale Charleroi Sporting Club
FC Twente	Football Club Twente
Motorhead	Motörhead
Milied	Natale
Lingwi Romaniċi	Lingue romanze
Steve Jobs	Steve Jobs
Lady Gaga	Lady Gaga
Indoewropew	Lingue indoeuropee
Muammar al-Gaddafi	Mu'ammar Gheddafi
Francesco Totti	Francesco Totti
Chișinău	Chișinău
Soċjoloġija	Sociologia
Şalom	Şalom
Didelphidae	Didelphidae
Caenolestidae	Caenolestidae
Trojja	Troia
The Pirate Bay	The Pirate Bay
Kampjonati Ewropej tal-Futbol 2012	Campionato europeo di calcio 2012
Dasyuridae	Dasyuridae
Audi	Audi
Abkażja	Abcasia
Antropoloġija	Antropologia
Baħar l-Aħmar	Mar Rosso
Octave Mirbeau	Octave Mirbeau
Abjad	Bianco
Iswed	Nero
Lordi	Lordi
Lingwa uffiċjali	Lingua ufficiale
Provinċja ta' Quảng Bình	Provincia di Quang Binh
Entrena	Entrena
Mérida (Veneżwela)	Mérida (Venezuela)
Benito Mussolini	Benito Mussolini
LOST (Serje televiżiva)	Lost (serie televisiva)
Ġebla tal-ġir	Calcare
Valletta	La Valletta
Papa Ġwanni XXIII	Papa Giovanni XXIII
Benetice (Světlá nad Sázavou)	Benetice (Světlá nad Sázavou)
Prixtina	Pristina
Curaçao	Curaçao
Coccinellidae	Coccinellidae
Metatheria	Metatheria
Pangolin	Manis
Lagomorpha	Lagomorpha
Baqra tal-baħar	Sirenia
Eutheria	Eutheria
Fenek Ewropew	Oryctolagus cuniculus
Leporidae	Leporidae
Imperu Kushan	Impero Kusana
Qlugħ	Vela (sistema di propulsione)
Klaas-Jan Huntelaar	Klaas-Jan Huntelaar
Proboscidea	Proboscidea
Università Niccolò Cusano	Università degli Studi @@@u0026Niccolò Cusano"
Fażijiet lunari	Fasi lunari
Fariżej	Farisei
M'Baye Niang	M'Baye Niang
Liebru Ewropew	Lepus europaeus
Lepisma saccharina	Lepisma saccharina
Membru tal-Parlament Ewropew	Eurodeputato
Laurasiatheria	Laurasiatheria
Afrotheria	Afrotheria
Ewropa t'Isfel	Europa meridionale
Ewropa Ċentrali	Europa centrale
Kristadelfjani	Cristadelfiani
Tim nazzjonali tal-futbol tal-Eġittu	Nazionale di calcio dell'Egitto
Maja	Maya
Chow Chow	Chow chow
FC Kuban Krasnodar	Futbol'nyj Klub Kuban'
Derivata	Derivata
Kwalifikazzjoni għall-Kampjonati Ewropej tal-Futbol 2008	Qualificazioni al campionato europeo di calcio 2008
Chris Smalling	Chris Smalling
Jonny Evans	Jonny Evans
Lingwa tas-Sinjali Awstraljana	Lingua dei segni australiana
Michael Carrick	Michael Carrick
Multilingwiżmu	Multilinguismo
Lingwa Sileżjana	Lingua slesiana
Avril Lavigne	Avril Lavigne
Mikhail Gorbachev	Michail Gorbačëv
Slogan	Slogan
Madre Tereża ta' Kalkutta	Madre Teresa di Calcutta
UEFA Champions League 2013–14	UEFA Champions League 2013-2014
Rudolf Clausius	Rudolf Clausius
Auguste Rodin	Auguste Rodin
Blogg	Blog
Oscar Wilde	Oscar Wilde
Krakovja	Cracovia
Thylacinidae	Thylacinidae
Malala Yousafzai	Malala Yousafzai
Carlos Alonso González	Carlos Alonso González
Marsa FC	Marsa Football Club
Valery Leontiev	Valerij Jakovlevič Leont'ev
Lingwa tas-Sinjali Finlandiża	Lingua dei segni finlandese
Lingwa tas-Sinjali Franċiża	Lingua dei segni francese
Mużew	Museo
Du Fu	Du Fu
Popolazzjoni	Popolazione
Arċipelagu	Arcipelago
Lingwa Sqallija	Lingua siciliana
Valparaíso	Valparaíso
Nju	Niue
Tim nazzjonali tal-futbol tal-Iskozja	Nazionale di calcio della Scozia
Lingwa Leoniża	Lingua leonese
Żews	Zeus
Lingwa tas-Sinjali	Lingua dei segni
Astroloġija	Astrologia
Mošovce	Mošovce
Saint-Dié-des-Vosges	Saint-Dié-des-Vosges
Boris Yeltsin	Boris Nikolaevič El'cin
Hirohito	Hirohito
Baħar Eġew	Mar Egeo
J.K. Rowling	J. K. Rowling
Hiroshima	Hiroshima
Mitoloġija Griega	Mitologia greca
Ġeneru (tassonomija)	Genere (tassonomia)
Xjenzi soċjali	Scienze sociali
Lista ta' kodiċi telefoniċi	Prefissi telefonici internazionali
Lista ta' bliet kapitali	Lista delle capitali
Noemi (kantanta)	Noemi (cantante)
Sit elettroniku	Sito web
Odissea	Odissea
Lingwa Ido	Lingua ido
Etimoloġija	Etimologia
Nikita Krushchev	Nikita Sergeevič Chruščёv
Kia Motors	Kia Motors
Familja (bijoloġija)	Famiglia (tassonomia)
UEFA	Union of European Football Associations
Arthur Conan Doyle	Arthur Conan Doyle
Sport Club Corinthians Paulista	Sport Club Corinthians Paulista
Lingwa Kopta	Lingua copta
Folklor	Folclore
Siligo	Siligo
Mark Zuckerberg	Mark Zuckerberg
Lingwa tas-Sinjali Newzealander	Lingua dei segni neozelandese
Neolitiku	Neolitico
Katerina II tar-Russja	Caterina II di Russia
Guglielmo Marconi	Guglielmo Marconi
Ordni (bijoloġija)	Ordine (tassonomia)
Cork	Cork
Renju (bijoloġija)	Regno (biologia)
Novial	Novial
Aung San Suu Kyi	Aung San Suu Kyi
Kompożitur	Compositore
Influwenza tal-majjali	Influenza suina
Serbja u Montenegro	Serbia e Montenegro
Romantiċiżmu	Romanticismo
It-Trinita' Mqaddsa	Trinità (cristianesimo)
Faragħun	Faraone
Mariupol	Mariupol'
Tazza tad-Dinja tal-Futbol 2006	Campionato mondiale di calcio 2006
Klaus Ebner	Klaus Ebner
Klassi (bijoloġija)	Classe (tassonomia)
Campora San Giovanni	Campora San Giovanni
Bălţi	Bălți
Auckland Grammar School	Auckland Grammar School
Bolla postali	Francobollo
Era (mitoloġija)	Era (mitologia)
Premju Nobel għall-Fiżika	Premio Nobel per la fisica
Enya	Enya
Phylum	Phylum
Enriku VIII tal-Ingilterra	Enrico VIII d'Inghilterra
São Paulo FC	São Paulo Futebol Clube
Kelb tal-Fenek	Pharaon hound
Baħar Tirren	Mar Tirreno
Leeds	Leeds
NK Čelik Zenica	Nogometni Klub Čelik Zenica
Surrealiżmu	Surrealismo
San Ġwann (Malta)	San Giovanni (Malta)
Ħaż-Żabbar	Zabbar
Mosta	Musta
Tas-Sliema	Sliema
Ħal Qormi	Curmi
Birkirkara	Birchircara
Radio Studio 54 Network	Radio Studio 54 Network
Lamantin tal-Karibew	Trichechus manatus
Atti ta' l-Appostli	Atti degli Apostoli
Żodjaku	Zodiaco
Paulínia	Paulínia
Il-100 ktieb tas-seklu skont Le Monde	I 100 libri del secolo di le Monde
Fonoloġija	Fonologia
