Hĭ-ciŭ	Africa
Ciéng-cĕng	Guerra
1	1 (numero)
2	2 (numero)
3	3 (numero)
4	4 (numero)
5	5 (numero)
0	0 (numero)
George W. Bush	George W. Bush
Latvia	Lettonia
Ukraine	Ucraina
Ciék-káik	Repubblica Ceca
Slovakia	Slovacchia
Slovenia	Slovenia
Moldova	Moldavia
Romania	Romania
Bulgaria	Bulgaria
Lò̤-mā	Roma
Macedonia Gê̤ṳng-huò-guók	Repubblica di Macedonia
Albania	Albania
Croatia	Croazia
Bosnia gâe̤ng Herzegovina	Bosnia ed Erzegovina
Azerbaijan	Azerbaigian
Andorra	Andorra
Cyprus	Cipro
Georgia (guók-gă)	Georgia
Kazakhstan	Kazakistan
Malta	Malta
Monaco	Principato di Monaco
Montenegro	Montenegro
Vaticano	Città del Vaticano
San Marino	San Marino
Gū-bă	Cuba
Belize	Belize
Barbados	Barbados
Java	Java (linguaggio di programmazione)
Éng-dô-nà̤-să̤-ā	Indonesia
Tū-ī-gì-ngṳ̄	Lingua turca
Nàng-hĭ	Sudafrica
Algeria	Algeria
Wiki Dù-cṳ̆-guāng	Wikisource
Uzbekistan	Uzbekistan
Huà-să	Varsavia
Può-dò̤-ciū	Vino
Cūi	Acqua
Chà	Legno
Diêng-sê	Televisione
Chile	Cile
Ià-sŭ	Gesù
Galileo Galilei	Galileo Galilei
Cūi-sĭng	Mercurio (astronomia)
Lĭk-sṳ̄	Storia
Gĭng-sĭng	Venere (astronomia)
Ngṳ̄-ngiòng	Linguaggio
Ái	Amore
Mŭk-sĭng	Giove (astronomia)
Ngṳ̀ng-ò̤	Via Lattea
Tiĕng-uòng-sĭng	Urano (astronomia)
Hāi-uòng-sĭng	Nettuno (astronomia)
Tiĕng-ùng	Astronomia
Sĭng-gă-pŏ̤	Singapore
Kuŏ-hŏk	Scienza
Mìng-uòng-sĭng	Plutone (astronomia)
Ciŏng-lài	Futuro
Séng-mū Mā-lé-ā	Maria (madre di Gesù)
Liechtenstein	Liechtenstein
Adolf Hitler	Adolf Hitler
Dâ̤-nê-ché̤ṳ Sié-gái Dâi-ciéng	Seconda guerra mondiale
Wiki Gáu-kuŏ-cṳ̆	Wikibooks
Wiki Ngṳ̄-liŏh	Wikiquote
Wiki Dâi-hŏk	Wikiversità
Cṳ̆ng	Orologio
Ubuntu	Ubuntu
Linux	Linux
Só-hŏk	Matematica
Lá-dĭng-ngṳ̄	Lingua latina
Bahrain	Bahrein
Armenia	Armenia
Serbia	Serbia
Nguŏk-giù	Luna
Istanbul	Istanbul
Ó̤-ciŭ	Australia
Ŭk-lī	Fisica
Argentina	Argentina
Peru	Perù
Dièu-siēng Mìng-ciō-ciō-ngiê Ìng-mìng Gê̤ṳng-huò-guók	Corea del Nord
Gāng-puŏ-câi	Cambogia
Gū-làng-gĭng	Corano
Kṳ̄ng-lṳ̀ng	Dinosauria
Ĭ-sṳ̆-làng-gáu	Islam
Lì	Pyrus
Lùng-lùng	Ruota
Huò-bìng	Pace
Nṳ̄-gái	Donna
Gū-chiŏng-kĕ̤ng	Ano
Nìng-mùng	Citrus × limon
Bă-ciĕu	Banana
Huă	Fiore
Napoléon Bonaparte	Napoleone Bonaparte
Sĕng-lī	Fisiologia
Hèng-sĭng	Stella
Nĭk-tàu	Sole
Victor Hugo	Victor Hugo
Dâi-iòng-ciŭ	Oceania
Tái-iòng-hiê	Sistema solare
Ngāi	Dente
Kĭng	Idrogeno
Wiki Gê̤ṳng-hiōng	Wikimedia Commons
Cṳ̆	Libro
Nĭk	Giorno
Dĕ̤ng Timor	Timor Est
Màng-buŏ	Notte
Nièng	Anno
Ó̤-sṳ̆-lṳ̆k	Oslo
Lī-sṳ̆-buōng	Lisbona
Táng	Carbonio
Dâng	Azoto
Iōng	Ossigeno
Giàng-sĭng	Pianeta
Kleopatra 7-sié	Cleopatra VII
Ĭng-ngŏk	Musica
É-dâi-lé-ngṳ̄	Lingua italiana
Séng Peterburg	San Pietroburgo
Chad	Ciad
Lé̤ṳ	Alluminio
Sĭng-să̤-làng	Nuova Zelanda
Éng-dô	India
Tuvalu	Tuvalu
Tiék	Ferro
Tonga	Tonga
Samoa	Samoa
Solomon Gùng-dō̤	Isole Salomone
Vanuatu	Vanuatu
Papua New Guinea	Papua Nuova Guinea
William Shakespeare	William Shakespeare
Palau	Palau (stato)
Nauru	Nauru
Micronesia Lièng-băng	Stati Federati di Micronesia
Iòng (gĭng-sṳ̆k)	Piombo
Marshall Gùng-dō̤	Isole Marshall
Kiribati	Kiribati
Mūng-gū	Mongolia
Fiji	Figi
Venezuela	Venezuela
Guók-cié chiông-gì	Scacchi
Genghis Khan	Gengis Khan
Maine	Maine
Mā	Equus caballus
Ū-ké	Arma
Dông-ŭk	Animalia
Suriname	Suriname
Paraguay	Paraguay
Guyana	Guyana
Ecuador	Ecuador
Colombia	Colombia
Hŭk-gáu	Buddhismo
Bolivia	Bolivia
Dè̤ng	Rame
Trinidad gâe̤ng Tobago	Trinidad e Tobago
Sĭk-ŭk	Plantæ
Séng Vincent gâe̤ng Grenadines	Saint Vincent e Grenadine
New Hampshire	New Hampshire
Séng Lucia	Santa Lucia (Stato)
Séng Kitts gâe̤ng Nevis	Saint Kitts e Nevis
Cĭng-kṳ̄ng	Fungi
Jamaica	Giamaica
Grenada	Grenada
Massachusetts	Massachusetts
Guatemala	Guatemala
Bahamas	Bahamas
Connecticut	Connecticut
Giĕ	Gallus gallus domesticus
Antigua gâe̤ng Barbuda	Antigua e Barbuda
Hawaii	Hawaii
Honduras	Honduras
Dominica	Dominica
Dominica Gê̤ṳng-huò-guók	Repubblica Dominicana
Dṳ̆	Sus scrofa domesticus
Báe̤k-bĭng-iòng	Mar Glaciale Artico
Haiti	Haiti
El Salvador	El Salvador
Ĭ-lāng	Iran
Iraq	Iraq
Alaska	Alaska
Costa Rica	Costa Rica
Ī-sáik-liĕk	Israele
Panama	Panamá
Yemen	Yemen
Bâng-dŭk	Virus (biologia)
Pŏ̤-làng-ngṳ̄	Lingua polacca
Jordan	Giordania
Nicaragua	Nicaragua
Florida	Florida
Kyrgyzstan	Kirghizistan
Arizona	Arizona
Kuwait	Kuwait
Lō̤-kuŏ	Laos
Lebanon	Libano
Oregon	Oregon
Maldives	Maldive
Mī-ciŭ	America
Utah	Utah
Ngù	Bos taurus
Mā-lài-să̤-ā	Malesia
Miēng-diêng	Birmania
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudi Ā-lá-báik	Arabia Saudita
Sri Lanka	Sri Lanka
Joseph Stalin	Iosif Stalin
Syria	Siria
Platon	Platone
Tajikistan	Tagikistan
Dṳ̆ng-huà Mìng-guók	Taiwan
Aristoteles	Aristotele
Tái-guók	Thailandia
Huōi-chiă	Treno
Turkmenistan	Turkmenistan
Ā-lá-báik Lièng-hăk Dâi-gŭng-guók	Emirati Arabi Uniti
Băh-gĭng	Platino
Uŏk-nàng	Vietnam
Dâi-hàng Mìng-guók	Corea del Sud
Afghanistan	Afghanistan
Gĭng	Oro
Suez Ông-ò̤	Canale di Suez
Bangladesh	Bangladesh
Mali	Mali
Sokrates	Socrate
Angola	Angola
Bhutan	Bhutan
Ùng-lài	Brunei
Tanzania	Tanzania
Cūi-ngṳ̀ng	Mercurio (elemento chimico)
Hĭ-lĭ-pĭng	Filippine
Dṳ̆ng-hĭ Gê̤ṳng-huò-guók	Repubblica Centrafricana
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Uòng-sáik	Giallo
Togo	Togo
Tunisia	Tunisia
Zambia	Zambia
Zimbabwe	Zimbabwe
Báe̤k-gĭng	Pechino
Nàng Sudan	Sudan del Sud
Benin	Benin
Botswana	Botswana
Wiki Sĭng-ùng	Wikinotizie
Burkina Faso	Burkina Faso
Burundi	Burundi
Comoros	Comore
Congo Gê̤ṳng-huò-guók	Repubblica del Congo
Congo Mìng-ciō Gê̤ṳng-huò-guók	Repubblica Democratica del Congo
Djibouti	Gibuti
Chiáh-dô̤ Guinea	Guinea Equatoriale
Eritrea	Eritrea
Gabon	Gabon
Gambia	Gambia
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Côte d'Ivoire	Costa d'Avorio
Cameroon	Camerun
Cabo Verde	Capo Verde
Lesotho	Lesotho
Liberia	Liberia
Libya	Libia
Madagascar	Madagascar
Malawi	Malawi
Mauritania	Mauritania
Mauritius	Mauritius
Morocco	Marocco
Mozambique	Mozambico
Namibia	Namibia
Niger	Niger
Nigeria	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Ruanda
Séng Tomé gâe̤ng Príncipe	São Tomé e Príncipe
Senegal	Senegal
Seychelles	Seychelles
Carl Linnaeus	Linneo
Sierra Leone	Sierra Leone
Somalia	Somalia
Julius Caesar	Gaio Giulio Cesare
Sudan	Sudan
Swaziland	Swaziland
Kê̤ṳng	Arcobaleno
Lièng-hăk-guók	Organizzazione delle Nazioni Unite
Dê-cék	Geologia
Dê-lī	Geografia
Sĭng-câung	Cuore umano
Puòi-hŭ	Pelle
Ngàng-sáik	Colore
Làng-sáik	Blu
Ngṳ̀ng	Argento
Sék	Stagno (elemento chimico)
Michigan	Michigan
Illinois	Illinois
North Dakota	Dakota del Nord
South Dakota	Dakota del Sud
Montana	Montana
Wyoming	Wyoming
Idaho	Idaho
Washington	Washington (stato)
Nevada	Nevada
Éng-dô-iòng	Oceano Indiano
Kosovo	Kosovo
Colorado	Colorado
分類:Hŭng-lôi	Categoria:Categorie
Chicago	Chicago
Dĕ̤ng-tiĕng	Inverno
Chŭng-tiĕng	Primavera
Hâ-tiĕng	Estate
Chiŭ-tiĕng	Autunno
Saddam Hussein	Saddam Hussein
Osama bin Laden	Osama bin Laden
Să̤-băng-ngà-ngṳ̄	Lingua spagnola
Philadelphia	Filadelfia (Stati Uniti d'America)
Tĭ-tṳ̆	Araneae
Guō-sĭk	Frutto
Cièng	Denaro
Virginia	Virginia
West Virginia	Virginia Occidentale
Huăng-ciĕu	Capsicum annuum
Niū-iók-ciŭ	New York (Stato)
Rhode Island	Rhode Island
Kŏng-tṳ̀ng	Insecta
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Lenin
Ohio	Ohio
Pennsylvania	Pennsylvania
Augustus	Augusto
Microsoft Windows	Microsoft Windows
New Jersey	New Jersey
Hŭng-làng-ngṳ̄	Lingua finlandese
Indiana	Indiana
Ké-chiă	Autovettura
Georgia	Georgia (Stati Uniti d'America)
Texas	Texas
North Carolina	Carolina del Nord
South Carolina	Carolina del Sud
Manila	Manila
Dĕ̤ng-gĭng	Tokyo
Uòng-lì	Ananas comosus
Mississippi	Mississippi
Tennessee	Tennessee
New Mexico	Nuovo Messico
Ngà-diēng	Atene
Minnesota	Minnesota
Baghdad	Baghdad
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Kansas	Kansas
Hŏng-giāng	Sigaretta
Missouri	Missouri
Louisiana	Louisiana
Kentucky	Kentucky
Arkansas	Arkansas
Oklahoma	Oklahoma
Madonna	Madonna (cantante)
Aceh	Aceh
Séng-gĭng	Bibbia
Phnom Penh	Phnom Penh
Hù Cé-mìng Chê	Ho Chi Minh (città)
Ò̤-nô̤i	Hanoi
Cĭng Ià-sŭ Gáu-huôi	Vera Chiesa di Gesù
Ĭng-ngṳ̄	Lingua inglese
Màng-gók	Bangkok
Kuala Lumpur	Kuala Lumpur
Bangka Belitung Gùng-dō̤	Bangka-Belitung
Dài-báe̤k	Taipei
Concepción	Concepción (Cile)
Bengkulu	Bengkulu
Końskowola	Końskowola
Nê-iōng-huá-táng	Anidride carbonica
Jambi	Jambi
Siè	Serpentes
Lampung	Lampung
Guŏng-sók	Velocità della luce
Riau	Riau
Riau Gùng-dō̤	Isole Riau
Nàng Sumatra	Sumatra Meridionale
Lò̤-mā Dá̤-guók	Impero romano
Mì-niōng	Microsoft
Kó-lū-hŭ	Kurów
Huá-hŏk	Chimica
Sièng-sŏng	Acido cloridrico
Ôi-sĭng	Satellite naturale
Kă-giù	Calcio (sport)
Să̤ Sumatra	Sumatra Occidentale
Mā-dáik-lī	Madrid
Michael Jackson	Michael Jackson
Cê̤ṳ-iù	Libertà
Sék-nà̤	Sydney
Liŏh-sáik	Verde
È̤ng-sáik	Rosso
Huōi	Fuoco
Sĭng Nàng Wales	Nuovo Galles del Sud
Nile Ò̤	Nilo
Banten	Banten
Dṳ̆ng Jawa	Giava Centrale
Chēng-chiū-sĭng	Cometa
Dĕ̤ng Jawa	Giava Orientale
Jakarta	Giacarta
Ăng-kā-lá	Ankara
Să̤ Jawa	Giava Occidentale
Yogyakarta	Yogyakarta
Dṳ̆ng Kalimantan	Kalimantan Centrale
Dĕ̤ng Kalimantan	Kalimantan Orientale
Báe̤k Kalimantan	Kalimantan Settentrionale
Nàng Kalimantan	Kalimantan Meridionale
Hŏk-hâu	Scuola
Să̤ Kalimantan	Kalimantan Occidentale
Dâi-hŏk	Università
Wikipedia:Să-buàng	Wikipedia:Pagina delle prove
Chió	Casa
Dê-dù	Mappa
Ò̤	Fiume
Osasco	Osasco (San Paolo)
Chiĕng-lī-giáng	Telescopio
分類:Dài-uăng lĭk-sṳ̄	Categoria:Storia di Taiwan
Curitiba	Curitiba
Sĕng-lìng	Foresta
分類:Uŏk-nàng lĭk-sṳ̄	Categoria:Storia del Vietnam
Iók-báik-cṳ̆	Libro di Giobbe
Cĭng-ngiòng	Libro dei Proverbi
Kūng-cṳ̄	Confucio
Hà	Decapoda
分類:Só-hŏk	Categoria:Matematica
Bali	Bali
Ĕu-nguòng	Euro
Mī-gĭng	Dollaro statunitense
Dâi-lièu	Dinastia Liao
Hòng-ciŭ	Hangzhou
Gĭ-dók-gáu	Cristianesimo
Dĕ̤ng Nusa Tenggara	Nusa Tenggara Orientale
Să̤ Nusa Tenggara	Nusa Tenggara Occidentale
Dṳ̆ng Sulawesi	Sulawesi Centrale
Gĭng-guók	Dinastia Jīn
Gorontalo	Provincia di Gorontalo
Báe̤k Sulawesi	Sulawesi Settentrionale
Dĕ̤ng-nàng Sulawesi	Sulawesi Sudorientale
Nàng Sulawesi	Sulawesi Meridionale
Să̤ Sulawesi	Sulawesi Occidentale
Seattle	Seattle
Maluku	Provincia di Maluku
Báe̤k Maluku	Maluku Settentrionale
Papua	Papua (provincia indonesiana)
Să̤ Papua	Papua Occidentale
Cēu	Aves
Siū-dŭ	Capitale (città)
Può-dò̤-ngà-ngṳ̄	Lingua portoghese
Nguŏk	Mese
Uòng Hiêng-huàng	Huang Xianfan
Cōng	Diamante
Nĭk-buōng-ngṳ̄	Lingua giapponese
Báik-kuŏ-ciòng-cṳ̆	Enciclopedia
Tàu Hiĕk	Pagina principale
模板:Ô-lī-kó̤	Template:Voce di qualità
Saratov	Saratov
Làng-giù	Pallacanestro
Olympic Ông-dông-huôi	Giochi olimpici
Diòng-gĕ̤ng	Fiume Azzurro
Che Guevara	Che Guevara
Mò̤ Dĕk-dŭng	Mao Tse-tung
Să̤-ăng	Xi'an
Lá-sák	Lhasa
Séng-gău	Rapporto sessuale
Ĭng-dô̤	Vagina
Diék-hŏk	Filosofia
分類:Ché̤ṳk-káik chēng-dṳ̀	Categoria:Cancellare subito
Gáung-kìng	Pianoforte
Dà	Tè
Marco Polo	Marco Polo
Hebe Camargo	Hebe Camargo
Gê̤ṳng-sāng-ciō-ngiê	Comunismo
Cṳ̆-buōng-ciō-ngiê	Capitalismo
Guók-gă	Paese (area geografica)
Mìng-cŭk	Nazione
Carthago	Cartagine
Uōng-hiĕk liù-lāng-ké	Browser
Siù-cūi	Nuoto
分類:Tiĕng-ùng	Categoria:Astronomia
Hŭk	Buddha
Lī Bĕk	Li Bai
Dù-cṳ̆-guāng	Biblioteca
Sĕng-tái	Ecologia
Céng-dê	Politica
Mìng-ciō	Democrazia
Cìng-dièu	Dinastia Qin
Nobel Ciōng	Premio Nobel
Cìng Sṳ̄-huòng	Qin Shi Huang
Dṳ̆ng-dĕ̤ng	Medio Oriente
Háng-dièu	Dinastia Han
Làu Băng	Gao Zu (imperatore Han)
Háng Gīng-dá̤	Jingdi
Háng Ū-dá̤	Han Wudi
Sĕng-ŭk	Organismo vivente
Rabindranath Tagore	Rabindranath Tagore
Háng Guŏng-ū-dá̤	Liu Xiu
Gŭng-ciō-cié-dô	Monarchia
Siâ-huôi-ciō-ngiê	Socialismo
Cṳ̆ng-chói	Bacio
Nguòng-dièu	Dinastia Yuan
Nazi Dáik-guók	Germania nazista
Christopher Columbus	Cristoforo Colombo
Dâng Huò	Zheng He
Panama Ông-ò̤	Canale di Panama
Céng-dièu	Dinastia Jìn
Nàng-bĭng-iòng	Oceano antartico
Uòng-ò̤	Fiume Giallo
Sṳ̆-mā Ièng	Wu Di (imperatore Jin)
Ngê	Orecchio
Pé	Naso
Mĕ̤k-ciŭ	Occhio
Hŭng-muòng	Culicidae
Săi-ngṳ̀	Selachimorpha
Lŏk-dò̤	Camelus
Mā-ngiê	Formicidae
Sùi-dièu	Dinastia Sui
Hò̤-làng-ngṳ̄	Lingua olandese
Sùi Ùng-dá̤	Sui Wendi
Sùi Iòng-dá̤	Sui Yangdi
Să̤-hâ	Dinastia Xia occidentale
Sóng-dièu	Dinastia Song
Sóng Tái-cŭng	Song Tai Zong
Sóng Cĭng-cŭng	Song Zhenzong
Sóng Ìng-cŭng	Song Renzong
Sóng Hŭi-cŭng	Hui Zong (imperatore Song)
Ögedei	Ögödei
Güyük	Güyük
Möngke	Munke
Kublai	Kublai Khan
Huă-chái	Brassica oleracea var. botrytis
Giò (sĭk-ŭk)	Solanum melongena
Siók	Neve
Niè-giāng	Bambino
Cā-tàu	Mattino
Hŭng-cṳ̆ng	Minuto
Ngò̤-lò̤-sṳ̆-ngṳ̄	Lingua russa
Huák-lŭk	Diritto
Hièng-huák	Costituzione
Háng-ngṳ̄	Lingua cinese
Sá̤-bàu	Cellula
Háik	Sangue
Hié (ké-guăng)	Polmone
Romania-ngṳ̄	Lingua romena
Bulgaria-ngṳ̄	Lingua bulgara
Ṳ̄	Pioggia
Dê-cīng	Terremoto
Cūi-căi	Inondazione
Hāi-lâung	Maremoto
Hùng	Nuvola
Hŭng-tăi	Ciclone tropicale
Hŭng	Vento
Georgia-ngṳ̄	Lingua georgiana
Háng-cê	Carattere cinese
Dièu-siēng-cê	Hangŭl
Lá-dĭng cê-mō̤	Alfabeto latino
Ùng-hŏk	Letteratura
分類:Ĭng-ngŏk	Categoria:Musica
分類:Ùng-hŏk	Categoria:Letteratura
È̤ng-làu-máe̤ng	Il sogno della camera rossa
Hù-lì	Volpe
Harry Potter	Harry Potter
Chiū-ìng	Masturbazione
Siâ-huôi	Società (sociologia)
Gáu-ṳ̆k	Educazione
Nàng-gái	Uomo (genere)
Ìng-guòng	Diritti umani
Temür	Temür Khan
Gŭng-sê̤ṳ	Militare
Gă-pĭ	Caffè
Săng	Montagna
Khayisan	Külüg Khan
Ayurbarwada	Buyantu Khan
Shidibala	Gegeen Khan
Yesün Temür	Yesün Temür Khan
Sŏng Dṳ̆ng-săng	Sun Yat-sen
Hiŏng-gē̤ng	Hong Kong
Miami	Miami
Ragibagh	Ragibagh Khan
Tugh Temür	Jayaatu Khan
Kuśala	Khutughtu Khan
Hàng Ciéng	Guerra di Corea
Rinchinbal	Rinchinbal Khan
Toghon Temür	Hui Zong
Siū-ék	Seul
Siông-hāi	Shanghai
Ùng-huá Dâi-gáik-mêng	Grande rivoluzione culturale
Chĭng-dièu	Dinastia Qing
Uŏk-nàng Ciéng-cĕng	Guerra del Vietnam
Thomas Edison	Thomas Edison
Armenia-ngṳ̄	Lingua armena
Ukraine-ngṳ̄	Lingua ucraina
HTML	HTML
Steven Spielberg	Steven Spielberg
Mŏ̤h-ngiòng	Mo Yan
Sôi-diēng-ngṳ̄	Lingua svedese
Dăng-măk-ngṳ̄	Lingua danese
Nò̤-ŭi-ngṳ̄	Lingua norvegese
Luxembourg-ngṳ̄	Lingua lussemburghese
Ciék-káik-ngṳ̄	Lingua ceca
Karl Marx	Karl Marx
Nĕng-nĕng	Mammella
Guŏng	Luce
Hĭ-lé-nà̤-ngṳ̄	Lingua greca
Ái-ī-làng-ngṳ̄	Lingua irlandese
Kié-ngò̤	Spheniscidae
Pŏ̤-sṳ̆-ngṳ̄	Lingua persiana
Cŭng-gáu	Religione
Hàng-guók-ngṳ̄	Lingua coreana
Cháung-sié-gé	Genesi
Chók-Ăi-gĭk-gé	Libro dell'Esodo
Háng-ngṳ̄ Guăng-uâ	Lingua cinese mandarino
Uŏk-nàng-ngṳ̄	Lingua vietnamita
Sigmund Freud	Sigmund Freud
Tái-guók-ngṳ̄	Lingua thailandese
Mā-lài-ngṳ̄	Lingua malese
Mūng-gū-ngṳ̄	Lingua mongola
Bandar Seri Begawan	Bandar Seri Begawan
Hĭ-báik-lài-ngṳ̄	Lingua ebraica
Ŭi-ī-sê̤ṳ-ngṳ̄	Lingua gallese
Sŭ-gáik-làng-ngṳ̄	Lingua gaelica scozzese
Vientiane	Vientiane
Lō̤-cṳ̄	Laozi
Găng-câung	Fegato
Sṳ̆-mā Chiĕng	Sima Qian
Tó	Coniglio
Ciŏ Hĭ	Zhu Xi
Cìng-gāng	Emozione
Dâi-iòng	Oceano
Victoria Nṳ̄-uòng	Vittoria del Regno Unito
Sék-giă-mèu-nà̤	Gautama Buddha
Mŭk-hâng-mĕk-dáik	Maometto
Hŭ-ngék	Respirazione
Ṳ̀-gă	Confucianesimo
Bók-lō̤	Addome
Dô̤-gáu	Taoismo
Chói-siĕk	Lingua (anatomia)
Dâiu-gáuk	Collo
Chói	Bocca
Elizabeth 2-sié	Elisabetta II del Regno Unito
Dòng-dièu	Dinastia Tang
Dòng Gŏ̤-cū	Gao Zu
Dòng Tái-cŭng	Tai Zong (imperatore Tang)
Dòng Gŏ̤-cŭng	Gao Zong
Dòng Dṳ̆ng-cŭng	Zhong Zong
Dòng Iô-cŭng	Rui Zong
Ū Cáik-tiĕng	Imperatrice Wu
Dòng Hièng-cŭng	Xuan Zong
Dòng Sé̤ṳk-cŭng	Su Zong (imperatore Tang)
Dòng Dâi-cŭng	Dai Zong
Dòng Dáik-cŭng	De Zong
Siēu-hŏk	Scuola primaria
Mìng-dièu	Dinastia Ming
Ciŏ Nguòng-ciŏng	Zhu Yuanzhang
Ronald Reagan	Ronald Reagan
Gióng-ùng Huòng-dá̤	Jianwen
Īng-lŏk Huòng-dá̤	Yongle
Hùng-hĭ Huòng-dá̤	Hongxi
Sŏng-dáik Huòng-dá̤	Xuande
Mìng Ĭng-cŭng	Zhengtong
Gīng-tái Huòng-dá̤	Jingtai
Sìng-huá Huòng-dá̤	Chenghua
Hùng-dé Huòng-dá̤	Hongzhi
Céng-dáik Huòng-dá̤	Zhengde
Gă-cêng Huòng-dá̤	Jiajing
Lè̤ng-kéng Huòng-dá̤	Longqing
Uâng-lĭk Huòng-dá̤	Wanli
Tái-chiŏng Huòng-dá̤	Taichang
Tiĕng-kiē Huòng-dá̤	Tianqi
Sùng-dĭng Huòng-dá̤	Chongzhen
Gĭng Céng-nĭk	Kim Jong-il
Nguòng-só ciŭ-gĭ-biēu	Tavola periodica degli elementi
Chăng-màng	Cecità
Sá̤-kṳ̄ng	Bacteria
Chéu	Albero
Può-dò̤	Uva
Huăng-giāng-sṳ̀	Solanum tuberosum
Uòng-dâu	Glycine max
Séng-sék	Informazione
Bó̤-cāi	Giornale
Diêng-uâ	Telefono
Ùng-huá	Cultura
Huáng-ngṳ̄	Lingua sanscrita
Dâi-diòng	Intestino crasso
Siēu-diòng	Intestino tenue
Ĭ-hŏk	Medicina
Huá-hŏk nguòng-só	Elemento chimico
Unix	Unix
Ùi-gì	Go (gioco)
Káh-dièu-nó̤h	Giocattolo
Diêng-īng	Film
Gĭng-sṳ̆k	Metallo
Kă-dăk-chiă	Bicicletta
Mièng-huă	Cotone (fibra)
Sók-dô	Velocità
Sì-găng	Tempo
Cāi	Carta
Só-lâiu	Materie plastiche
Miêng-cék	Area
Gŭng-chióh	Metro
Iù-diĕng-bău	Zea mays
Duâi-măk	Hordeum vulgare
Dĕ̤ng-nàng-ā	Sud-est asiatico
Sīng-iòng	Shenyang
Tṳ̀ng-kéng	Chongqing
Tiĕng-cĭng	Tientsin
Ū-háng	Wuhan
Gū Ăi-gĭk	Antico Egitto
Gū Hĭ-lé-nà̤	Antica Grecia
Hṳ̀ng	Ursidae
Britney Spears	Britney Spears
Măk	Triticum
Cié-sē̤	Sorghum
Pó̤-sióng	Disabilità
Lĭk-huák	Calendario
Sìng-gĭng-bâng	Disturbo mentale
Gregorius Lĭk-huák	Calendario gregoriano
Tutankhamun	Tutankhamon
Nguŏk-gĭng	Mestruazione
