Áfríkà	Africa
Jẹ́mánì	Germania
Bẹ̀lárùs	Bielorussia
Il Canto degli Italiani	Il Canto degli Italiani
Èdè Jẹ́mánì	Lingua tedesca
Íslándì	Islanda
Ọlọ́run	Dio
Estóníà	Estonia
David Cameron	David Cameron
Sátúrnù	Saturno (astronomia)
Ọkọ̀ òfurufú	Aeroplano
Ogun	Guerra
1 (nọ́mbà)	1 (numero)
2 (nọ́mbà)	2 (numero)
3 (nọ́mbà)	3 (numero)
4 (nọ́mbà)	4 (numero)
5 (nọ́mbà)	5 (numero)
0 (nọ́mbà)	0 (numero)
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Látfíà	Lettonia
Ukréìn	Ucraina
Tsẹ́kì Olómìnira	Repubblica Ceca
Slofákíà	Slovacchia
Sloféníà	Slovenia
Filnius	Vilnius
Móldófà	Moldavia
Románíà	Romania
Bùlgáríà	Bulgaria
Rómù	Roma
Orílẹ̀-èdè Olómìnira ilẹ̀ Makẹdóníà	Repubblica di Macedonia
Albáníà	Albania
Grínlándì	Groenlandia
Kroatíà	Croazia
Bósníà àti Hẹrjẹgòfínà	Bosnia ed Erzegovina
Nuuk	Nuuk
Azerbaijan	Azerbaigian
Àndórà	Andorra
Kíprù	Cipro
Georgia	Georgia
Kàsàkstán	Kazakistan
Máltà	Malta
Mónakò	Principato di Monaco
Montenẹ́grò	Montenegro
Ìlú Fatikan	Città del Vaticano
San Màrínò	San Marino
Kúbà	Cuba
Bẹ̀lísè	Belize
Bárbádọ̀s	Barbados
Indonésíà	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Èdè Túrkì	Lingua turca
Gúúsù Áfríkà	Sudafrica
Àlgéríà	Algeria
Wikisource	Wikisource
Ùsbẹ̀kìstán	Uzbekistan
Tashkent	Tashkent
Warsaw	Varsavia
Omi	Acqua
Tẹlifísàn	Televisione
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Tsílè	Cile
Jésù	Gesù
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileo Galilei
Mẹ́rkúríù (plánẹ̀tì)	Mercurio (astronomia)
Ìtàn	Storia
Apple Inc.	Apple
Àgùàlà	Venere (astronomia)
Èdè	Linguaggio
Júpítérì	Giove (astronomia)
Michelle Bachelet	Michelle Bachelet
Úránù	Urano (astronomia)
Eduardo Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Nicolas Sarkozy	Nicolas Sarkozy
Ricardo Lagos	Ricardo Lagos
Nẹ́ptúnù	Nettuno (astronomia)
Ìtòràwọ̀	Astronomia
Singapore	Singapore
Patricio Aylwin	Patricio Aylwin
Sáyẹ́nsì	Scienza
Plùtò	Plutone (astronomia)
Màríà (ìyá Jésù)	Maria (madre di Gesù)
Louis 9k ilẹ̀ Fránsì	Luigi IX di Francia
Líktẹ́nstáìnì	Liechtenstein
Adolf Hitler	Adolf Hitler
Ogun Àgbáyé Kìíní	Prima guerra mondiale
Ogun Àgbáyé Ẹlẹ́ẹ̀kejì	Seconda guerra mondiale
Ìwàìbàjẹ́	Corruzione
Augusto Pinochet	Augusto Pinochet
Skopje	Skopje
Bob Dylan	Bob Dylan
Mathimátíkì	Matematica
Èdè Látìnì	Lingua latina
Báháráìnì	Bahrein
Arméníà	Armenia
Bósónì Higgs	Bosone di Higgs
Sérbíà	Serbia
Òṣùpá	Luna
Istanbul	Istanbul
Austrálíà	Australia
Bob Marley	Bob Marley
Físíksì	Fisica
Argẹntínà	Argentina
Ìbánisọ̀rọ̀-ọ̀ọ́kán	Telecomunicazione
Perú	Perù
Kòréà Àríwá	Corea del Nord
Kàmbódíà	Cambogia
Kùránì	Corano
Ìmàle	Islam
Ljubljana	Lubiana
Salvador Allende	Salvador Allende
Lech Wałęsa	Lech Wałęsa
Ìṣọ̀kan Europe	Unione europea
Obìnrin	Donna
Sofia	Sofia
Eduardo Frei Montalva	Eduardo Frei Montalva
Ewì	Poesia
Ọ̀gẹ̀dẹ̀	Banana
Émile Zola	Émile Zola
666	666
Ìlú	Città
Napoleon Bonaparte	Napoleone Bonaparte
Ìràwọ̀	Stella
Òrùn	Sole
Louis Pasteur	Louis Pasteur
Victor Hugo	Victor Hugo
Oṣéáníà	Oceania
Sístẹ̀mù Òrùn	Sistema solare
Háídrójìn	Idrogeno
Hílíọ̀mù	Elio
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Lítíọ̀mù	Litio
Bẹ́rílíọ̀mù	Berillio
Ìwé	Libro
Ọjọ́	Giorno
Ìlàòrùn Timor	Timor Est
Jorge Alessandri	Jorge Alessandri Rodríguez
Ọdún	Anno
Ọ̀rúndún	Secolo
Carlos Ibáñez del Campo	Carlos Ibáñez del Campo
Oslo	Oslo
Lisbon	Lisbona
Dubai	Dubai
Bórọ̀nù	Boro
Nicolaus Copernicus	Niccolò Copernico
Kárbọ̀nù	Carbonio
Nítrójìn	Azoto
Ọ́ksíjìn	Ossigeno
Plánẹ̀tì	Pianeta
Cleopatra 7k	Cleopatra VII
Orin	Musica
Lille	Lilla
Mọsko	Mosca (Russia)
Fluorínì	Fluoro
Nẹ́ọ̀nù	Neon
Saint Petersburg	San Pietroburgo
Tsad	Ciad
Sódíọ̀mù	Sodio
Àríwá	Nord
Magnésíọ̀mù	Magnesio
Alumíníọ̀mù	Alluminio
New Zealand	Nuova Zelanda
Índíà	India
Sílíkọ́nù	Silicio
Fránsíọ̀m	Francio
Tufalu	Tuvalu
Fósfórù	Fosforo
André-Marie Ampère	André-Marie Ampère
Iron	Ferro
Tóngà	Tonga
Alessandro Volta	Alessandro Volta
Súlfúrù	Zolfo
Sàmóà	Samoa
Àwọn Erékùsù Sólómọ́nì	Isole Salomone
Fanuatu	Vanuatu
Molière	Molière
Klorínì	Cloro
Papua Guinea Titun	Papua Nuova Guinea
William Shakespeare	William Shakespeare
Páláù	Palau (stato)
Árgọ̀nù	Argon
Nàúrù	Nauru
Àwọn Ìpínlẹ̀ Àṣepapọ̀ ilẹ̀ Mikronésíà	Stati Federati di Micronesia
Pòtásíọ̀mù	Potassio
Calcium	Calcio (elemento chimico)
Òjé	Piombo
Àwọn Erékùṣù Marshall	Isole Marshall
Kìrìbátì	Kiribati
Mòngólíà	Mongolia
Fíjì	Figi
Scandium	Scandio
Stevie Wonder	Stevie Wonder
Titaniomu	Titanio
Fenesuela	Venezuela
Saginaw	Saginaw
Banadiomu	Vanadio
Maine	Maine
Krómíọ̀mù	Cromo
Amsterdam	Amsterdam
Ẹranko	Animalia
Sùrìnámù	Suriname
Manganisi	Manganese
Paragúáì	Paraguay
Gùyánà	Guyana
Ọnà	Arte
Ẹ̀kùàdọ̀r	Ecuador
Rhenium	Renio
Kòlómbìà	Colombia
Cobalt	Cobalto
Wolframu	Tungsteno
Nickel	Nichel
Ẹ̀sìn Búddà	Buddhismo
Bòlífíà	Bolivia
Osmium	Osmio
Bàbà	Rame
Trínídád àti Tòbágò	Trinidad e Tobago
Ọ̀gbìn	Plantæ
Saint Vincent àti àwọn Grẹnadínì	Saint Vincent e Grenadine
Zinc	Zinco
New Hampshire	New Hampshire
Lùsíà Mímọ́	Santa Lucia (Stato)
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts àti Nevis	Saint Kitts e Nevis
Èbu	Fungi
Dario Fo	Dario Fo
Jamáíkà	Giamaica
Grẹ̀nádà	Grenada
Massachusetts	Massachusetts
Guatẹmálà	Guatemala
Àwọn Bàhámà	Bahamas
Connecticut	Connecticut
Ántígúà àti Bàrbúdà	Antigua e Barbuda
Hawaii	Hawaii
Họ̀ndúràs	Honduras
Dòmíníkà	Dominica
Jersey	Baliato di Jersey
Orílẹ̀òmìnira Dómíníkì	Repubblica Dominicana
Òkun Árktìkì	Mar Glaciale Artico
Hàítì	Haiti
El Salfador	El Salvador
Ìránì	Iran
Irak	Iraq
Alaska	Alaska
Kóstá Rikà	Costa Rica
Ísráẹ́lì	Israele
Panamá	Panamá
Yemen	Yemen
Lausanne	Losanna
Èràn	Virus (biologia)
Èdè Pólándì	Lingua polacca
Jọ́rdánì	Giordania
Nikarágúà	Nicaragua
Florida	Florida
Kirgistani	Kirghizistan
Gabriel González Videla	Gabriel González Videla
Arizona	Arizona
Kuwaiti	Kuwait
Láọ̀s	Laos
Juan Antonio Ríos	Juan Antonio Ríos
Lẹ́bánọ́nì	Libano
Oregon	Oregon
Àwọn Maldive	Maldive
Amẹ́ríkà	America
Utah	Utah
Malaysia	Malesia
Myanmar	Birmania
Nepal	Nepal
Oman	Oman
Pakístàn	Pakistan
Pedro Aguirre Cerda	Pedro Aguirre Cerda
Katar	Qatar
Tẹ́nìs	Tennis
Arturo Alessandri	Arturo Alessandri Palma
Sáúdí Arábíà	Arabia Saudita
Sri Lanka	Sri Lanka
Joseph Stalin	Iosif Stalin
Juan Luis Sanfuentes	Juan Luis Sanfuentes
Síríà	Siria
Plato	Platone
Gallium	Gallio (elemento chimico)
Joseph Brodsky	Iosif Aleksandrovič Brodskij
Tajikistan	Tagikistan
Orílẹ̀-èdè Olómìnira ilẹ̀ Ṣáínà	Taiwan
Jẹ́rmáníọ́mù	Germanio
Aristotulu	Aristotele
Tháílàndì	Thailandia
Arsenic	Arsenico
Meryl Streep	Meryl Streep
Turkmẹ́nìstán	Turkmenistan
Selenium	Selenio
Iridium	Iridio
Àwọn Ẹ́mírétì Árábù Aṣọ̀kan	Emirati Arabi Uniti
Brómìnì	Bromo
Platinum	Platino
Fiẹtnám	Vietnam
Kòréà Gúúsù	Corea del Sud
Krypton	Kripton
Afghanístàn	Afghanistan
J. R. R. Tolkien	J. R. R. Tolkien
Rubidium	Rubidio
Wúrà	Oro
Ìladò Suez	Canale di Suez
Bangladẹ́shì	Bangladesh
Bleach (mángà)	Bleach (manga)
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Málì	Mali
Socrates	Socrate
Àngólà	Angola
Bhùtán	Bhutan
Brunei	Brunei
Tànsáníà	Tanzania
Fàdákàolómi	Mercurio (elemento chimico)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipínì	Filippine
Orílẹ̀-èdè Olómìnira Àrin Áfríkà	Repubblica Centrafricana
Thallium	Tallio
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Strontium	Stronzio
Yttrium	Ittrio
Bismuth	Bismuto
Tógò	Togo
Donald Tusk	Donald Tusk
Tùnísíà	Tunisia
John Bardeen	John Bardeen
Sámbíà	Zambia
Sìmbábúè	Zimbabwe
Beijing	Pechino
Gúúsù Sudan	Sudan del Sud
Benin	Benin
Bòtswánà	Botswana
Wikinews	Wikinotizie
Bùrkínà Fasò	Burkina Faso
Bùrúndì	Burundi
Kòmórò	Comore
Orílẹ̀-èdè Olómìnira ilẹ̀ Kóngò	Repubblica del Congo
Orílẹ̀-èdè Olómìnira Olóṣèlú ilẹ̀ Kóngò	Repubblica Democratica del Congo
San Antonio	San Antonio
Djìbútì	Gibuti
Polonium	Polonio
Bavaria	Baviera
Guinea Alágedeméjì	Guinea Equatoriale
Baden-Württemberg	Baden-Württemberg
Ẹritrẹ́à	Eritrea
Delhi Titun	Nuova Delhi
Pópù Jòhánù Páúlù Èkejì	Papa Giovanni Paolo II
Fyodor Dostoyevsky	Fëdor Dostoevskij
Tbilisi	Tbilisi
Andrei Sakharov	Andrej Dmitrievič Sacharov
Astatínì	Astato
Gàbọ̀n	Gabon
Mohandas Karamchand Gandhi	Mahatma Gandhi
Gámbíà	Gambia
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Côte d'Ivoire	Costa d'Avorio
Kamẹrúùn	Camerun
Kepu Ferde	Capo Verde
Lèsóthò	Lesotho
Làìbéríà	Liberia
Líbyà	Libia
Madagáskàr	Madagascar
Màláwì	Malawi
Stuttgart	Stoccarda
Mauritáníà	Mauritania
Àwọn ọmọ Pólàndì	Polacchi
Mọ́rísì	Mauritius
Mòrókò	Marocco
Mòsámbìk	Mozambico
Nàmíbíà	Namibia
Nìjẹ̀r	Niger
Nàìjíríà	Nigeria
Charles Darwin	Charles Darwin
Ùgándà	Uganda
Rùwándà	Ruanda
Zirconium	Zirconio
Sao Tome àti Principe	São Tomé e Príncipe
Sẹ̀nẹ̀gàl	Senegal
Ṣèíhẹ́lẹ́sì	Seychelles
Carl Linnaeus	Linneo
Siẹrra Léònè	Sierra Leone
Sòmálíà	Somalia
Niobium	Niobio
Jawaharlal Nehru	Jawaharlal Nehru
Juliu Késárì	Gaio Giulio Cesare
Sudan	Sudan
Swásílándì	Swaziland
Molybdenum	Molibdeno
Technetium	Tecnezio
Hamburg	Amburgo
Gujarat	Gujarat
Àgbájọ àwọn Orílẹ̀-èdè Aṣòkan	Organizzazione delle Nazioni Unite
Dante Alighieri	Dante Alighieri
Jẹ́ọ́gráfì	Geografia
Ọkàn	Cuore umano
Prague	Praga
Ruthenium	Rutenio
Rhodium	Rodio
Palladium	Palladio (elemento chimico)
Fàdákà	Argento
Kadmium	Cadmio
Indium	Indio
Tánganran	Stagno (elemento chimico)
Ùráníọ̀m	Uranio
Antimony	Antimonio
Tellurium	Tellurio
Plùtòníọ̀m	Plutonio
Iodínì	Iodio
Nẹ́ptúníọ̀m	Nettunio
Ksenon	Xeno
Anime	Anime
Kesium	Cesio (elemento chimico)
Protaktiníọ̀m	Protoattinio
Àdìjọ ìtanná	Carica elettrica
Barium	Bario
Tóríọ̀m	Torio
Hafnium	Afnio
Àktíníọ̀m	Attinio
Tantalum	Tantalio
Bill Clinton	Bill Clinton
Radiomu	Radio (elemento chimico)
Radon	Radon
Ununennium	Ununennio
Indira Gandhi	Indira Gandhi
Mumbai	Mumbai
Andhra Pradesh	Andhra Pradesh
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bihar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Goa	Goa
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Jammu àti Kashmir	Jammu e Kashmir
Púẹ́rtò Ríkò	Porto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Manipur	Manipur
Schleswig-Holstein	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklenburg-Vorpommern	Meclemburgo-Pomerania Anteriore
Lower Saxony	Bassa Sassonia
Nordrhein-Westfalen	Renania Settentrionale-Vestfalia
Hesse	Assia
Rhineland-Palatinate	Renania-Palatinato
Saarland	Saarland
Saxony	Sassonia
John Lennon	John Lennon
Illinois	Illinois
Thuringia	Turingia
Saxony-Anhalt	Sassonia-Anhalt
Àríwá Dakota	Dakota del Nord
Brandenburg	Brandeburgo
Bremen (ìpínlẹ̀)	Brema (stato)
Gúúsù Dakota	Dakota del Sud
Montana	Montana
Wyoming	Wyoming
Jerúsálẹ́mù	Gerusalemme
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Ìpínlẹ̀ Washington	Washington (stato)
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Rutherfordium	Rutherfordio
Nevada	Nevada
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Francesco Cossiga	Francesco Cossiga
Dubnium	Dubnio
Sandro Pertini	Sandro Pertini
Seaborgium	Seaborgio
Giovanni Leone	Giovanni Leone
Giuseppe Saragat	Giuseppe Saragat
Òkun Índíà	Oceano Indiano
Antonio Segni	Antonio Segni
Giovanni Gronchi	Giovanni Gronchi
Luigi Einaudi	Luigi Einaudi
Enrico De Nicola	Enrico De Nicola
Kósófò	Kosovo
Òkun Kàríbẹ́ánì	Mare Caraibico
Bohriomu	Bohrio
Hassiomu	Hassio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Meitneriomu	Meitnerio
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar Guerra
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Darmstadtium	Darmstadtio
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Fryderyk Chopin
Roentgenium	Roentgenio
Kopernisiomu	Copernicio
Ẹ̀ka:Àwọn àkóónú	Categoria:Categorie
Blaise Pascal	Blaise Pascal
Ramón Barros Luco	Ramón Barros Luco
Ṣìkágò	Chicago
Pedro Montt	Pedro Montt
The Beatles	The Beatles
Germán Riesco	Germán Riesco
Ununtrium	Ununtrio
Flẹ́rófíọ́mù	Flerovio
Ununpentium	Ununpentio
Livermorium	Livermorio
Ununseptium	Ununseptio
Ununoctium	Ununoctio
Saddam Hussein	Saddam Hussein
Osama bin Laden	Osama bin Laden
Federico Errázuriz Echaurren	Federico Errázuriz Echaurren
Jorge Montt	Jorge Montt
Èdè Spéìn	Lingua spagnola
José Manuel Balmaceda	José Manuel Balmaceda
Domingo Santa María	Domingo Santa María
Aníbal Pinto	Aníbal Pinto
Friedrich Hayek	Friedrich von Hayek
Federico Errázuriz Zañartu	Federico Errázuriz Zañartu
José Joaquín Pérez	José Joaquín Pérez
Manuel Montt	Manuel Montt
Manuel Bulnes	Manuel Bulnes
José Joaquín Prieto	José Joaquín Prieto
Manuel Blanco Encalada	Manuel Blanco Encalada
Ramón Freire	Ramón Freire
Francisco Antonio Pinto	Francisco Antonio Pinto
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Philadelphia	Filadelfia (Stati Uniti d'America)
Delhi	Delhi
Dhaka	Dacca
Bangalore	Bangalore
Ìwọòrùn Bẹ̀ngál	Bengala occidentale
Islàmabad	Islamabad
Tripura	Tripura
Firginia	Virginia
Ìwọ̀orùn Firginia	Virginia Occidentale
Ìpínlẹ̀ New York	New York (Stato)
Cerium	Cerio
Praseodymium	Praseodimio
Erékùṣù Rhode	Rhode Island
Neodymium	Neodimio
Kòkòrò	Insecta
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Lenin
Europium	Europio
Ohio	Ohio
Virgil	Publio Virgilio Marone
Niccolò Machiavelli	Niccolò Machiavelli
Pennsylvania	Pennsylvania
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Augustus	Augusto
Microsoft Windows	Microsoft Windows
Tiberius	Tiberio
New Jersey	New Jersey
Caligula	Caligola
Gibraltar	Gibilterra
Claudius	Claudio
Èdè Fínlándì	Lingua finlandese
Nero	Nerone
Galba	Servio Sulpicio Galba (imperatore romano)
Indiana	Indiana
Otho	Otone
Vitellius	Vitellio
Vespasian	Vespasiano
Titu	Tito (imperatore romano)
Domitian	Domiziano
Nerva	Marco Cocceio Nerva
Trajan	Traiano
Roger Federer	Roger Federer
Hadrian	Publio Elio Traiano Adriano
Ìpínlẹ̀ Georgia	Georgia (Stati Uniti d'America)
Antoninus Pius	Antonino Pio
Marcus Aurelius	Marco Aurelio
Lucius Verus	Lucio Vero
Commodus	Commodo
Zagreb	Zagabria
Pertinax	Pertinace
Rajasthan	Rajasthan
Texas	Texas
Didius Julianus	Didio Giuliano
Septimius Severus	Settimio Severo
Tamil Nadu	Tamil Nadu
Caracalla	Caracalla
Àríwá Carolina	Carolina del Nord
Gúúsù Carolina	Carolina del Sud
Sicily	Sicilia
Manila	Manila
Noynoy Aquino	Benigno Aquino III
Ìlú Quezon	Quezon
Bordeaux	Bordeaux
Buenos Aires	Buenos Aires
Ìlú Mẹ́ksíkò	Città del Messico
Tokyo	Tokyo
La Paz	La Paz
Ìpínlẹ̀ Mississippi	Mississippi
Ferdinand Magellan	Ferdinando Magellano
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
Mizoram	Mizoram
Sikkim	Sikkim
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Abidjan	Abidjan
Abu Dhabi	Abu Dhabi
Astana	Astana
Ìpínlẹ̀ Titun Mẹ́ksíkò	Nuovo Messico
Ramesses 2k	Ramses II
Áténì	Atene
Ramesses 1k	Ramses I
Minnesota	Minnesota
Ramesses 3k	Ramses III
Baghdad	Baghdad
Ramesses 4k	Ramses IV
Caracas	Caracas
Ajọfọ̀nàkò Àsìkò Káríayé	Tempo coordinato universale
Wisconsin	Wisconsin
Kísẹ́rò	Marco Tullio Cicerone
Iowa	Iowa
Nebraska	Nebraska
Ìlú Guatẹmálà	Città del Guatemala
Kansas	Kansas
Havana	L'Avana
Èdè Híndì	Lingua hindi
Ìpínlẹ̀ Missouri	Missouri
Georg Ohm	Georg Ohm
Louisiana	Louisiana
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Oklahoma	Oklahoma
Yohan Blake	Yohan Blake
Odò Dánúbì	Danubio
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hanover	Hannover
Düsseldorf	Düsseldorf
Mainz	Magonza
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Munich	Monaco di Baviera
Erfurt	Erfurt
Dresden	Dresda
Magdeburg	Magdeburgo
Volleyball	Pallavolo
Fienna	Vienna
Madonna	Madonna (cantante)
Copenhagen	Copenaghen
Kaliningrad Oblast	Oblast' di Kaliningrad
Macrinus	Macrino
Stockholm	Stoccolma
Helsinki	Helsinki
Dublin	Dublino
Elagabalus	Eliogabalo
Reykjavík	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Alessandro Severo
Tallinn	Tallinn
Riga	Riga
Zanzibar	Zanzibar
Maximinus Thrax	Massimino Trace
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gordian 1k	Gordiano I
Frankfurt	Francoforte sul Meno
Pupienus	Marco Clodio Pupieno Massimo
Lanthanum	Lantanio
Gordian 2k	Gordiano II
Balbinus	Decimo Celio Calvino Balbino
Promethium	Promezio
Gordian 3k	Gordiano III
Filip Áràbù	Filippo l'Arabo
Samarium	Samario
Aceh	Aceh
Decius	Decio
Gadolinium	Gadolinio
Terbium	Terbio
Luxembourg (ìlú)	Lussemburgo (città)
Dysprosium	Disprosio
Vaduz	Vaduz
Bíbélì Mímọ́	Bibbia
Holmium	Olmio
Ìlú San Màrínò	Città di San Marino
Erbium	Erbio
Phnom Penh	Phnom Penh
Thulium	Tulio
Ytterbium	Itterbio
Lutetium	Lutezio
Hanoi	Hanoi
Ìjọ Jéésù Lótìítọ́	Vera Chiesa di Gesù
Èdè Gẹ̀ẹ́sì	Lingua inglese
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Amẹrísíọ̀m	Americio
Kùríọ̀m	Curio
Concepción, Chile	Concepción (Cile)
Bẹ́rkẹ́líọ̀m	Berkelio
Kalifọ́rníọ̀m	Californio
Einsteiniom	Einsteinio
Fẹ́rmíọ̀m	Fermio
Mẹ̀ndẹ̀lẹ́fíọ̀m	Mendelevio
Kiev	Kiev
Nobelium	Nobelio
Lawrencium	Laurenzio
Ottawa	Ottawa
Yerevan	Erevan
Końskowola	Końskowola
Dar es Salaam	Dar es Salaam
Khartoum	Khartum
Formula One	Formula 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
Kárbónì ọlọ́ksíjínìméjì	Anidride carbonica
2013	2013
2014	2014
2015	2015
Newfoundland àti Labrador	Terranova e Labrador
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Jacques Chirac	Jacques Chirac
Valéry Giscard d'Estaing	Valéry Giscard d'Estaing
1 Oṣù Kínní	1º gennaio
Oṣù Kínní 2	2 gennaio
1920	1920
Oṣù Kínní 3	3 gennaio
1919	1919
1921	1921
1922	1922
Oṣù Kínní 4	4 gennaio
1923	1923
1924	1924
Ìgbàjá ástẹ́rọ́ìdì	Fascia principale
Orílẹ̀-èdè Olómìnira Àpapọ̀ Sófìẹ̀tì Sósíálístì Rọ́síà	Repubblica Socialista Federativa Sovietica Russa
Georges Pompidou	Georges Pompidou
Graphics Interchange Format	Graphics Interchange Format
Windows Media Audio	Windows Media Audio
JPEG	JPEG
