Afrika	Africa
Xayawaan	Animalia
Surinam	Suriname
Manganiis	Manganese
Paraguay	Paraguay
Guyana	Guyana
Fan	Arte
Ikwadoor	Ecuador
Reheniyaam	Renio
Kolombiya	Colombia
Kobalti	Cobalto
Tungsten	Tungsteno
Nikel	Nichel
Boliifia	Bolivia
Osmiyaam	Osmio
Groningen	Groninga (provincia)
Kober	Rame
Beer	Plantæ
Sinki	Zinco
Leonardo da Vinci	Leonardo da Vinci
Boqoshaa	Fungi
Jamayka	Giamaica
Friesland	Frisia (Paesi Bassi)
Drenthe	Drenthe
Overijssel	Overijssel
Guatemala	Guatemala
Gelderland	Gheldria (provincia)
Utrecht	Utrecht (provincia)
Bahamas	Bahamas
Dooro	Gallus gallus domesticus
Antigua iyo Barbuda	Antigua e Barbuda
Hawaay	Hawaii
Dominika	Dominica
Doofaar	Sus scrofa domesticus
Haiti	Haiti
El Salfador	El Salvador
Iiraan	Iran
Ciraaq	Iraq
Xikmad	Saggezza
Kosta Rika	Costa Rica
Israaiil	Israele
Magaalada Utrecht	Utrecht
Banama	Panamá
Yemen	Yemen
Virus	Virus (biologia)
Urdun	Giordania
Nikaragua	Nicaragua
Florida	Florida
Qargistan	Kirghizistan
Kuwayt	Kuwait
Laos	Laos
Lubnaan	Libano
Jasiirada Maldiif	Maldive
Ameerika	America
Lo'	Bos taurus
Malaysiya	Malesia
Burma	Birmania
Nebal	Nepal
Cumaan	Oman
Bakistaan	Pakistan
Qatar	Qatar
Ciyaarta Teeniska	Tennis
Sacuudi Carabiya	Arabia Saudita
Siri Lanka	Sri Lanka
Suuriya	Siria
Gaaliyaam	Gallio (elemento chimico)
Tadsjikistan	Tagikistan
Pokemon	Pokémon
Taywan	Taiwan
YouTube	YouTube
Jermaaniyaam	Germanio
Tayland	Thailandia
Tareen	Treno
Aarsenik	Arsenico
Turkmenistan	Turkmenistan
Seleniyaam	Selenio
Iridiyaam	Iridio
Imaaraatka Carabta	Emirati Arabi Uniti
Boromiin	Bromo
Balatiniyaam	Platino
Fiyetnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Koonfur Kuuriya	Corea del Sud
Kiribtoon	Kripton
Afgaanistan	Afghanistan
Gangnam Style	Gangnam Style
Rubiidhiyaam	Rubidio
Dahab	Oro
Kanaalka Suweys	Canale di Suez
Bangladesh	Bangladesh
Maali	Mali
Sokrades	Socrate
Angola	Angola
Butaan	Bhutan
Twitter	Twitter
Barunay	Brunei
Tansaaniya	Tanzania
Meerkuri	Mercurio (elemento chimico)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filibiin	Filippine
Jamhuuriyadda Bartamaha Afrika	Repubblica Centrafricana
Cirifka Koonfur	Polo sud
Cirifka waqooyi	Polo nord
Isxaaq Newton	Isaac Newton
Albert Einstein	Albert Einstein
Istoroontiyaam	Stronzio
Itriyaam	Ittrio
Bismuth	Bismuto
Jaale	Giallo
Togo	Togo
Tunisiya	Tunisia
Saambiya	Zambia
Simbaabwi	Zimbabwe
Beijing	Pechino
Koonfur Suudaan	Sudan del Sud
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoros	Comore
Jamhuuriyadda Kongo	Repubblica del Congo
Jamhuuriyada Dimuqaraadiga Kongo	Repubblica Democratica del Congo
Jabuuti	Gibuti
Boloniyaam	Polonio
Ikweetiga Guinea	Guinea Equatoriale
Eratareya	Eritrea
New Delhi	Nuova Delhi
Astatiin	Astato
Gabon	Gabon
Mahatma Gandhi	Mahatma Gandhi
Gambia	Gambia
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Xeebta Foolmaroodi	Costa d'Avorio
Kamiruun	Camerun
Kab Ferde	Capo Verde
Lesotho	Lesotho
Liberia	Liberia
Libiya	Libia
Madagaskar	Madagascar
Malaawi	Malawi
Mauritania	Mauritania
Mauritius	Mauritius
Marooko	Marocco
Musanbiig	Mozambico
Nambiya	Namibia
Nayjar	Niger
Nayjeeriya	Nigeria
Yugandha	Uganda
Ruwanda	Ruanda
Sirkooniyaam	Zirconio
Sao Tome iyo Prinsipe	São Tomé e Príncipe
Sinigaal	Senegal
Seyshelles	Seychelles
Sierra Leone	Sierra Leone
Soomaaliya	Somalia
Niyobiyaam	Niobio
Julius Caesar	Gaio Giulio Cesare
Suudaan	Sudan
Swasiland	Swaziland
Qaansa Roobaad	Arcobaleno
Molybdenum	Molibdeno
Teknetiyaam	Tecnezio
Qaramada Midoobay	Organizzazione delle Nazioni Unite
Juquraafi	Geografia
Wadno	Cuore umano
Maskax	Cervello
Maqaar	Pelle
Midab	Colore
Rutheniyaam	Rutenio
Roodhiyaam	Rodio
Baluug	Blu
Baladiyaam	Palladio (elemento chimico)
Naxaas	Argento
Kaadmiyaam	Cadmio
Limburg	Limburgo (Paesi Bassi)
Tin (curiye)	Stagno (elemento chimico)
Antimony	Antimonio
Teluriyaam	Tellurio
Waqooyiga Brabant	Brabante Settentrionale
Aaydhiin	Iodio
Siinoon	Xeno
Kaasiyaam	Cesio (elemento chimico)
Baariyaam	Bario
Haafniyaam	Afnio
Aktiiniyaam	Attinio
Tantalum	Tantalio
Bill Clinton	Bill Clinton
Raadhiyaam	Radio (elemento chimico)
Raadhoon	Radon
Lorraine	Lorena (regione francese)
Buerto Riko	Porto Rico
Niedersachsen	Bassa Sassonia
Lombardia	Lombardia
Qudus	Gerusalemme
Rutherfordium	Rutherfordio
Dubniyaam	Dubnio
Siiborgiyaam	Seaborgio
Badweynta Hindiya	Oceano Indiano
Kosofo	Kosovo
Badda Karabiya	Mare Caraibico
Bohriyaam	Bohrio
Hasiyaam	Hassio
Meitneriyaam	Meitnerio
Darmstadtiyaam	Darmstadtio
Roentgeniyaam	Roentgenio
Dortmund	Dortmund
Ununtriyaam	Ununtrio
Lifermoriyaam	Livermorio
Ununoktiyaam	Ununoctio
Maastricht	Maastricht
Jiilaal	Inverno
Gu	Primavera
Xagaa	Estate
Dayr	Autunno
Sadaam Xuseen	Saddam Hussein
Usaama bin Laadin	Osama bin Laden
Caarcaaro	Araneae
Miro	Frutto
Lacagta	Denaro
Xasharaad	Insecta
Faladimir Lenin	Lenin
Uetersen	Uetersen
Augustus Octavian	Augusto
Microsoft Windows	Microsoft Windows
Jibraltaar	Gibilterra
Nokia	Nokia
Baabuur	Autovettura
Juventus FC	Juventus Football Club
Texas	Texas
Bruno Mars	Bruno Mars
Sasiiliya	Sicilia
Sardiiniya	Sardegna
Fuuqbax	Malattia di Crohn
Buenos Aires	Buenos Aires
Tokyo	Tokyo
Barcelona	Barcellona
Abidjan	Abidjan
Minnesota	Minnesota
Baqdaad	Baghdad
Isuduwaha Waqtiga Caalamiga	Tempo coordinato universale
AC Milan	Associazione Calcio Milan
Buuri	Tabacco
Internet Explorer	Internet Explorer
Sigaar	Sigaretta
Nayl armistaroong	Neil Armstrong
Maxamed Faarax	Mohamed Farah
München	Monaco di Baviera
Fiyena	Vienna
Kobanhaygan	Copenaghen
Stockholm	Stoccolma
Helsinki	Helsinki
Dublin	Dublino
Bratislava	Bratislava
Budapest	Budapest
Frankfurt	Francoforte sul Meno
Lanthanum	Lantanio
Kitaabka quduska	Bibbia
Phnom Penh	Phnom Penh
Ho Chi Minh City	Ho Chi Minh (città)
Luteetiyaam	Lutezio
Mida Rumeed Kaniisada Ciise	Vera Chiesa di Gesù
Ingiriis (luqad)	Lingua inglese
Bangkok	Bangkok
Dong Hoi	Dong Hoi
Concepción	Concepción (Cile)
Franck Ribéry	Franck Ribéry
Ottawa	Ottawa
Dayaxa Cirjeex	Satelliti naturali di Giove
Juba	Giuba (Sudan del Sud)
Końskowola	Końskowola
Dar es Salaam	Dar es Salaam
Khartuum	Khartum
Dayaxa raage	Satelliti naturali di Saturno
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
2013	2013
2014	2014
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
Charles De Gaulle	Charles de Gaulle
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1997	1997
1998	1998
1999	1999
1918	1918
Cunto	Alimento
Mas	Serpentes
Dayaxa docay	Satelliti naturali di Nettuno
Dashiishe	1º gennaio
1920	1920
1919	1919
1921	1921
Georges Pompidou	Georges Pompidou
Malmö	Malmö
Birmingham	Birmingham
Microsoft	Microsoft
Borotoon	Protone
Kurów	Kurów
Kimisteri	Chimica
Robin van Persie	Robin van Persie
27	27
1989	1989
1988	1988
1987	1987
1986	1986
1985	1985
1984	1984
1983	1983
1982	1982
1981	1981
1980	1980
Muqdisho	Mogadiscio
Sana'a	Sana’a
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
18 Abriil	18 aprile
25 Abriil	25 aprile
26 Abriil	26 aprile
Dayax	Satellite naturale
Kristian Wulff	Christian Wulff
15 Meey	15 maggio
SSC Napoli	Società Sportiva Calcio Napoli
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
27 Juun	27 giugno
Kubadda Cagta	Calcio (sport)
AS Roma	Associazione Sportiva Roma
1963	1963
Holokost	Olocausto
1962	1962
Michael Jackson	Michael Jackson
Bogota	Bogotá
29 Diseembar	29 dicembre
Quito	Quito
Adhi	Capra hircus
21 Oktoobar	21 ottobre
Paramaribo	Paramaribo
Kanbera	Canberra
Sydney	Sydney
Cagaar	Verde
Gaduud	Rosso
Perth	Perth (Australia Occidentale)
Galbeed Australia (gobol)	Australia Occidentale
New South Wales	Nuovo Galles del Sud
Wabiga Niil	Nilo
Jini	Jinn
Wabiga Nijer	Niger (fiume)
Rabat	Rabat
Algiers	Algeri
Tunis	Tunisi
Triboli	Tripoli
Rede Globo	Rede Globo
Jabuuti (magaalo)	Gibuti (città)
Tahraan	Teheran
Addis Abeba	Addis Abeba
Ankara	Ankara
Asmara	Asmara
Nijamiina	N'Djamena
Niamey	Niamey
Nawakshot	Nouakchott
1961	1961
Bamako	Bamako
Belgaraad	Belgrado
Dakar	Dakar
Banjul	Banjul
Konakri	Conakry
Bissau	Bissau
Category:Template	Categoria:Template
Monrofia	Monrovia
Braia	Praia
1960	1960
Akara	Accra
Dimishiq	Damasco
Yamoussoukro	Yamoussoukro
Faransiis Guyana	Guyana francese
Ougadougou	Ouagadougou
Freetown	Freetown
Abuja	Abuja
Lome	Lomé
Borto-Novo	Porto-Novo
Yawunde	Yaoundé
Malabo	Malabo
Librefille	Libreville
Bangui	Bangui
Kinshasa	Kinshasa
Barasafille	Brazzaville
Bujumbura	Bujumbura
Kigali	Kigali
Dodoma	Dodoma
Nayroobi	Nairobi
Lilongwe	Lilongwe
Lusaka	Lusaka
Qorax madoobaad	Eclissi solare
Mabuto	Maputo
Kambaala	Kampala
Luanda	Luanda
Moroni	Moroni (Comore)
Mabane	Mbabane
Maseru	Maseru
Dugsi	Scuola
Antananarifo	Antananarivo
Jaamacad	Università
Gaborone	Gaborone
Harare	Harare
Pretoria	Pretoria
Bort Lois	Port Louis
Sao Tome	São Tomé
Windhoek	Windhoek
Wikipedia:Bacaadka	Wikipedia:Pagina delle prove
Fiktoria	Victoria (Seychelles)
Guri	Casa
Kombuyuuterka Dhabta	Computer portatile
Computer Hardware	Hardware
Aljebra	Algebra
Webiyada	Fiume
Osasko	Osasco (San Paolo)
Garoonka ee Dong Hoi	Aeroporto di Dong Hoi
Curitiba	Curitiba
Pangea	Pangea
Keyn	Foresta
Anne Frank	Anna Frank
Shilin Soomaali	Scellino somalo
Confucius	Confucio
Category:Taariikhda Ciraaq	Categoria:Storia dell'Iraq
Corbin Bleu	Corbin Bleu
Category:Xisaab	Categoria:Matematica
Jasiiradaha Feroe	Fær Øer
Maxamed Morsi	Mohamed Morsi
Euro	Euro
Bada Dhexe	Mar Mediterraneo
Haashim	Banu Hashim
Masiixiyad	Cristianesimo
Windows 8	Windows 8
Template:Dalalka Aasiya	Template:Asia
Céline Dion	Céline Dion
Qaaradaha	Continente
Adelaide	Adelaide (Australia)
Shimbir	Aves
Bilaha	Mese
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
1948	1948
Jeejniya	Cecenia
1949	1949
Garoosni	Groznyj
Huang Xianfan	Huang Xianfan
1956	1956
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
1944	1944
1952	1952
Bill Gates	Bill Gates
Encyclopedia	Enciclopedia
DVD	DVD
Bogga Hore	Pagina principale
CPU	CPU
1959	1959
Template:Maqaal Cusub	Template:Voce di qualità
Dhesibel	Decibel
Kubadda Koleyga	Pallacanestro
Kab town	Città del Capo
Bada Qaswiin	Mar Caspio
Harta Fiktooriya	Lago Vittoria
Harada malaawi	Lago Malawi
Salvador Dalí	Salvador Dalí
Finsent van Gogh	Vincent van Gogh
Hokusai	Katsushika Hokusai
Mishelangelo	Michelangelo Buonarroti
Bablo bekaso	Pablo Picasso
Rembrandt van Rijn	Rembrandt
Eminem	Eminem
Bas	Autobus
Baabiyloon	Babilonia
Katalooniya	Catalogna
Samarqanda	Samarcanda
Bukhaara	Bukhara
Mekka	La Mecca
Che Guvara	Che Guevara
Mao Zedong	Mao Tse-tung
Kabul	Kabul
Luqada Tamil-ka	Lingua tamil
Filasoofiyada	Filosofia
50 Cent	50 Cent
Dr. Dre	Dr. Dre
Snoop Dogg	Snoop Dogg
Shaax	Tè
Tupac Shakur	Tupac Shakur
Xidig-dhul	Erinaceinae
1507	1507
Shuuciyad	Comunismo
Amadeyo afogadro	Numero di Avogadro
Liberalinimo	Liberalismo
Wadan	Paese (area geografica)
Qaran	Nazione
Jow Bayden	Joe Biden
Hillary Clinton	Hillary Clinton
Dabaal	Nuoto
Category:Xiddigis	Categoria:Astronomia
1542	1542
1543	1543
Jaan Jaak Rosoo	Jean-Jacques Rousseau
Saxaara	Deserto del Sahara
Hambeegar	Hamburger
Shaydaanka	Diavolo
1606	1606
Maktabad	Biblioteca
FC Barcelona	Futbol Club Barcelona
Midowga afrika	Unione africana
Siyaasadda,	Politica
Jaamacada Carabta	Lega araba
Dimoqraadi	Democrazia
Hay'ada laanqayrta cas	Croce Rossa e Mezzaluna Rossa Internazionale
Gaashaanbuurta NATO	Organizzazione del Trattato dell'Atlantico del Nord
Qin Shi Huang	Qin Shi Huang
Bariga Dhexe	Medio Oriente
Jamhuriyadda	Repubblica
Hantiwadaag	Socialismo
Dowlad	Stato
Xisbi	Partito politico
Kilimanjaaro	Kilimangiaro
Kristoffer Kolombus	Cristoforo Colombo
Rixlaat Ibn Batuuta	Ibn Battuta
Kanaalka Banama	Canale di Panama
Dheg	Orecchio
San	Naso
Muruq	Muscolo
Hees	Canzone
Kaneeco	Culicidae
Libaax Badeed	Selachimorpha
Geel	Camelus
Naasley	Mammalia
Quraansho	Formicidae
Shini	Anthophila
Software	Software
Af-Holandees	Lingua olandese
DNA	DNA
Nuucyada dhirta	Specie
Hooyo	Madre
Aabe	Padre
Waalid	Genitore
Gaadiidka Dadweynaha	Trasporto
Debian	Debian
1669	1669
1670	1670
1671	1671
1672	1672
1673	1673
1674	1674
1675	1675
1676	1676
1677	1677
1678	1678
1679	1679
1680	1680
1856	1856
Af-Ruush	Lingua russa
Faladimir Putin	Vladimir Putin
Dastuur	Costituzione
Dalalka Kommonwels	Commonwealth delle nazioni
OPEC	Organizzazione dei Paesi esportatori di petrolio
Rooti	Pane
UNESCO	Organizzazione delle Nazioni Unite per l'Educazione, la Scienza e la Cultura
Baaqa Caalamiga ee Xuquuqda Aadanaha	Dichiarazione universale dei diritti umani
1796	1796
1797	1797
1899	1889
Sawaaxili	Lingua swahili
1893	1893
Unug	Cellula
Dhiig	Sangue
Qolfoof	Scheletro (anatomia)
Sambab	Polmone
Hab Neefsi	Apparato respiratorio
Habdhiska Taranka	Apparato genitale
Af-Romani	Lingua romena
Roob	Pioggia
Dhulgariir	Terremoto
Ibn Siinaa	Avicenna
Nelson Mandela	Nelson Mandela
Martin Luther King,	Martin Luther King
Ensiim	Enzima
Borotiin	Proteine
Daad	Inondazione
Tsunami	Maremoto
Fulkaano	Vulcano
Caad	Nuvola
Tirignoometeri	Trigonometria
Joomitiri	Geometria
Qarnigii 2aad	II secolo
Qarnigii 1aad	I secolo
Dhaqaale	Economia
Warshad	Industria
Farta laatiinka	Alfabeto latino
Suugaan	Letteratura
Category:Faransiiska	Categoria:Francia
Category:Muusig	Categoria:Musica
Kun Habeen Iyo Habeen	Le mille e una notte
Category:Suugaanta	Categoria:Letteratura
Category:Gabayada	Categoria:Poesia
Waxbarasho	Educazione
Qoys	Famiglia
Hugo Chavez	Hugo Chávez
Nin	Uomo (genere)
Guur	Matrimonio
Midab Takoor	Razzismo
Adoon	Schiavismo
Dagaal Sokeeye	Guerra civile
Cumar	ʿUmar ibn al-Khaṭṭāb
Suldaan Suleymaan kan 1aad	Solimano il Magnifico
Bun	Caffè
Caano	Latte
Buur	Montagna
Salaaxudiin al-Ayyuubi	Saladino
Karaaji	Karachi
Riyaal Madrid	Real Madrid Club de Fútbol
Dagaalkii qaboobaa	Guerra fredda
Seoul	Seul
Tomas Edison	Thomas Edison
Michael Faraday	Michael Faraday
Internet protocol	Internet Protocol
HTML	HTML
Af-Iswiidhan	Lingua svedese
Muxamed bin Muuse al-Khwarizmī	Muhammad ibn Musa al-Khwarizmi
Karl Marx	Karl Marx
Nabi Muuse C.S.	Mosè
Aqoon	Conoscenza
Naas	Mammella
Atom	Atomo
Ileys	Luce
Af Giriig	Lingua greca
Operating system	Sistema operativo
Naf	Anima
Af-Faarsi	Lingua persiana
Diin	Religione
Nabi Ibraahiim C.S.	Abramo
Saladh	Insalata
Yuhuuda	Ebraismo
Af-Hebrow	Lingua ebraica
Ibn Khalduun	Ibn Khaldun
Beer (xubin)	Fegato
Bakeyle	Coniglio
Cilminafsi	Psicologia
Badweyn	Oceano
Gootama buuda	Gautama Buddha
Muxamed	Maometto
BBC	BBC
Shahrukh Khan	Shah Rukh Khan
Al-Ghazaali	Al-Ghazali
Gerald Ford	Gerald Ford
Shiica	Sciismo
Suufi	Sufismo
Carab	Lingua (anatomia)
Chelsea FC	Chelsea Football Club
Arsenal F.C.	Arsenal Football Club
Ganac	Pancreas
Qolfoofta Dadka	Scheletro (anatomia umana)
Qoor	Collo
Af	Bocca
Elizabeth II	Elisabetta II del Regno Unito
Caajiska	Affaticamento
Schiphol	Aeroporto di Amsterdam-Schiphol
Haarlem	Haarlem
Ronald Reagan	Ronald Reagan
Af-Zulu	Lingua zulu
Foosto	Botte
Sabool	Povertà
Gordon Brown	Gordon Brown
Jadwalka Curiyayaasha	Tavola periodica degli elementi
Robert Mugabe	Robert Mugabe
Xamaam(Shinbir)	Columbidae
Bakteeri	Bacteria
Geed	Albero
Canab	Uva
Malab	Miele
Hilib	Carne
Barandho	Solanum tuberosum
Khudaar	Verdura
Robot	Robot
Makiinad	Macchina
Saxaafad	Giornalismo
Taleefoon	Telefono
Dhaqan	Cultura
RNA	RNA
Xidigisyahan	Astronomo
Habdhiska Wareega Dhiiga	Apparato circolatorio
Mindhicirka weyn	Intestino crasso
Mindhicirka yar	Intestino tenue
Ibn Haytham	Alhazen
Isku dhis	Composto chimico
Sharci dajinta	Potere legislativo
Windows 7	Windows 7
Boqolleey	Percentuale
Windows Vista	Windows Vista
Fidel Castaro	Fidel Castro
Category:Barasiil	Categoria:Brasile
Tamar	Energia
Abala-abalayn bayoloji	Classificazione scientifica
Awood	Forza
Cufisjiidad	Interazione gravitazionale
Cuf	Massa (fisica)
Bir	Metallo
Hawo	Gas
Dareere	Liquido
Adke	Solido
Bushkuleeti	Bicicletta
Markab	Nave
Beeraha	Agricoltura
Cudbi	Cotone (fibra)
Tiknolajiga nano	Nanotecnologia
Xaansho	Carta
Bac	Materie plastiche
Bed	Area
Lambar	Numero
Kiilogaraam	Chilogrammo
Cristiano Ronaldo	Cristiano Ronaldo
Mitir	Metro
Ilbiriqsi	Secondo
Galley	Zea mays
Kelvinka	Kelvin
Dalalka	Stati del mondo
Ludwik Lejzer Zamenhof	Ludwik Lejzer Zamenhof
Mesobotaamiya	Mesopotamia
Buti	Ursidae
